https://docs.google.com/spreadsheets/d/10MLqjGDvIINGGV-AurbX0WG3Q6z4AstiZTe3sjWxdQQ/edit?gid=866519638#gid=866519638,,,,,,,,,,,,
,,,SWR,,,,,,,,AGRI,
Item Code,Plan,,Item Code,Plan,,,Item Code,Plan,,,Item Code,Plan
PW98S,0,,,,,,A-34A,-31,,,,
PW99S,0,,,,,,A-44A,394,,,,
PW100S,0,,,,,,A-45A,375,,,,
PW11S,-519,,,,,,A-46A,-1064,,,,
PW12S,0,,,,,,A-47A,3,,,,
PW13S,557,,,,,,A-48A,-191,,,,
PW14S,-1,,,,,,A-49A,-28,,,,
PW15S,0,,,,,,A-50A,0,,,,
PW16S,0,,,,,,A-51A,0,,,,
PW17S,0,,,,,,A-52A,0,,,,
PW18S,0,,,,,,A-53A,0,,,,
PW19S,0,,,,,,A-54A,-79,,,,
PW20S,0,,,,,,A-81A,-1049,,,,
PW61S,-50,,,,,,A-82A,-1229,,,,
PW62S,-18,,,,,,A-83A,-477,,,,
PW63S,-21,,,,,,A-84A,10,,,,
PW64S,-29,,,,,,A-85A,10,,,,
PW65S,0,,,,,,A-86A,0,,,,
PW66S,0,,,,,,A-87A,0,,,,
PW67S,0,,,,,,A-88A,0,,,,
PW68S,0,,,,,,A-89A,0,,,,
PW69S,0,,,,,,A-90A,0,,,,
PW70S,0,,,,,,A-91A,0,,,,
PW31S,-422,,,,,,A-92A,0,,,,
PW32S,0,,,,,,A-93A,0,,,,
PW33S,-147,,,,,,A-94A,0,,,,
PW34S,0,,,,,,A264,0,,,,
PW35S,0,,,,,,A265,0,,,,
PW36S,0,,,,,,A266,0,,,,
PW37S,0,,,,,,A267,0,,,,
PW38S,0,,,,,,A268,0,,,,
PW39S,0,,,,,,A269,0,,,,
PW40S,0,,,,,,A270,0,,,,
PW81S,-95,,,,,,A271,0,,,,
PW82S,0,,,,,,A272,0,,,,
PW83S,-353,,,,,,A364,0,,,,
PW84S,0,,,,,,A365,0,,,,
PW85S,0,,,,,,A366,0,,,,
PW86S,0,,,,,,A367,0,,,,
PW87S,0,,,,,,A368,0,,,,
PW88S,0,,,,,,A369,0,,,,
PW89S,0,,,,,,A370,0,,,,
PW90S,0,,,,,,A371,0,,,,
PW21S,-234,,,,,,A372,0,,,,
PW22S,-30,,,,,,A464,0,,,,
PW23S,92,,,,,,A465,0,,,,
PW24S,0,,,,,,A466,0,,,,
