https://docs.google.com/spreadsheets/d/170xrcWDdTMvTLSJyCw3yGBWxqOOSfZkesGWunqKr8Rw/edit?gid=1817895758#gid=1817895758,,,,,,,,,,,,,,,1-Jun-2026,WEEK-1,,7-Jun-2026,8-Jun-2026,WEEK-2,,14-Jun-2026,15-Jun-2026,WEEK-3,,21-Jun-2026,22-Jun-2026,WEEK-4,,30-Jun-2026
REPORT 4!G14:Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SELECT Col1,Col2,Col15,Col16,Col17,Col18,Col19",,,,,,,,,,,"37,461",0,0,0,"35,026",0,0,0,37,0,0,0,"1,353",0,0,0,648,0,0,0
,ITEM CODE,ITEM COLOR,TOTAL PLAN,WEEK-1,WEEK-2,WEEK-3,WEEK-4,,ITEM CODE,ITEM COLOR,TOTAL PLAN,TOTAL PROD,TOTAL ORDER,TOTAL SALE,PLANNED,PRODUCED,ORDER,SALE,PLANNED,PRODUCED,ORDER,SALE,PLANNED,PRODUCED,ORDER,SALE,PLANNED,PRODUCED,ORDER,SALE
CH-01WHITE,CH-01,WHITE,38,38,0,0,0,CH-01WHITE,CH-01,WHITE,38,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
313GOLD,313,GOLD,56,56,0,0,0,313GOLD,313,GOLD,56,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126WHITE,126,WHITE,215,215,0,0,0,126WHITE,126,WHITE,215,0,0,0,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CS-01WHITE,CS-01,WHITE,38,38,0,0,0,CS-01WHITE,CS-01,WHITE,38,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNS-15.,CNS-15,.,96,96,0,0,0,CNS-15.,CNS-15,.,96,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
316GOLD,316,GOLD,8,8,0,0,0,316GOLD,316,GOLD,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
315GOLD,315,GOLD,8,8,0,0,0,315GOLD,315,GOLD,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
