https://docs.google.com/spreadsheets/d/170xrcWDdTMvTLSJyCw3yGBWxqOOSfZkesGWunqKr8Rw/edit?gid=1817895758#gid=1817895758,,,,,,,,,,,,1-Jun-2026,WEEK-1,,7-Jun-2026,8-Jun-2026,WEEK-2,,14-Jun-2026,15-Jun-2026,WEEK-3,,21-Jun-2026,22-Jun-2026,WEEK-4,,30-Jun-2026
REPORT 2!B17:Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SELECT Col1,Col20,Col21,Col22,Col23,Col24",,,,,,,,"26,951",0,0,0,"23,925",0,0,0,898,0,0,0,"1,027",0,0,0,591,0,0,0
ITEM CODE,TOTAL PLAN,WEEK-1,WEEK-2,WEEK-3,WEEK-4,,ITEM CODE,TOTAL PLAN,TOTAL PROD,TOTAL ORDER,TOTAL SALE,PLANNED,PRODUCED,ORDER,SALE,PLANNED,PRODUCED,ORDER,SALE,PLANNED,PRODUCED,ORDER,SALE,PLANNED,PRODUCED,ORDER,SALE
135-RR,10,10,0,0,0,135-RR-,135-RR,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134-UR,77,77,0,0,0,134-UR-,134-UR,77,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144-DR,185,185,0,0,0,144-DR-,144-DR,185,0,0,0,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132-IR,131,131,0,0,0,132-IR-,132-IR,131,0,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1375-QR,93,93,0,0,0,1375-QR-,1375-QR,93,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144-UR,91,91,0,0,0,144-UR-,144-UR,91,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130-IR,55,55,0,0,0,130-IR-,130-IR,55,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127-SR,294,294,0,0,0,127-SR-,127-SR,294,0,0,0,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130-UR,60,60,0,0,0,130-UR-,130-UR,60,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129-NW,63,63,0,0,0,129-NW-,129-NW,63,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145-QR,176,176,0,0,0,145-QR-,145-QR,176,0,0,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
