https://docs.google.com/spreadsheets/d/170xrcWDdTMvTLSJyCw3yGBWxqOOSfZkesGWunqKr8Rw/edit?gid=1817895758#gid=1817895758,,,,,,,,,,,,,,,1-Jun-2026,WEEK-1,,7-Jun-2026,8-Jun-2026,WEEK-2,,14-Jun-2026,15-Jun-2026,WEEK-3,,21-Jun-2026,22-Jun-2026,WEEK-4,,30-Jun-2026
REPORT 9!B7:Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SELECT Col1,Col6,Col20,Col21,Col22,Col23,Col24",,,,,,,,,,,"92,361",0,0,0,"91,527",0,0,0,253,0,0,0,539,0,0,0,21,0,0,0
,ITEM CODE,ITEM COLOR,TOTAL PLAN,WEEK-1,WEEK-2,WEEK-3,WEEK-4,,ITEM CODE,ITEM COLOR,TOTAL PLAN,TOTAL PROD,TOTAL ORDER,TOTAL SALE,PLANNED,PRODUCED,ORDER,SALE,PLANNED,PRODUCED,ORDER,SALE,PLANNED,PRODUCED,ORDER,SALE,PLANNED,PRODUCED,ORDER,SALE
344WHITE,344,WHITE,4705,4705,0,0,0,344WHITE,344,WHITE,4705,0,0,0,4705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
343WHITE,343,WHITE,4390,4390,0,0,0,343WHITE,343,WHITE,4390,0,0,0,4390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3271WHITE,3271,WHITE,9896,9896,0,0,0,3271WHITE,3271,WHITE,9896,0,0,0,9896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3272-BCWHITE,3272-BC,WHITE,4576,4576,0,0,0,3272-BCWHITE,3272-BC,WHITE,4576,0,0,0,4576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
341WHITE,341,WHITE,6821,6821,0,0,0,341WHITE,341,WHITE,6821,0,0,0,6821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3272-CWHITE,3272-C,WHITE,2827,2827,0,0,0,3272-CWHITE,3272-C,WHITE,2827,0,0,0,2827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
342WHITE,342,WHITE,6242,6242,0,0,0,342WHITE,342,WHITE,6242,0,0,0,6242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
