https://docs.google.com/spreadsheets/d/170xrcWDdTMvTLSJyCw3yGBWxqOOSfZkesGWunqKr8Rw/edit?gid=1817895758#gid=1817895758,,,,,,,,,,,,,,,1-Jun-2026,WEEK-1,,7-Jun-2026,8-Jun-2026,WEEK-2,,14-Jun-2026,15-Jun-2026,WEEK-3,,21-Jun-2026,22-Jun-2026,WEEK-4,,30-Jun-2026
REPORT 6!B14:Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SELECT Col1,Col6,Col20,Col21,Col22,Col23,Col24",,,,,,,,,,,"1,158",0,0,0,945,0,0,0,124,0,0,0,81,0,0,0,8,0,0,0
,ITEM CODE,ITEM COLOR,TOTAL PLAN,WEEK-1,WEEK-2,WEEK-3,WEEK-4,,ITEM CODE,ITEM COLOR,TOTAL PLAN,TOTAL PROD,TOTAL ORDER,TOTAL SALE,PLANNED,PRODUCED,ORDER,SALE,PLANNED,PRODUCED,ORDER,SALE,PLANNED,PRODUCED,ORDER,SALE,PLANNED,PRODUCED,ORDER,SALE
551WHITE,551,WHITE,573,573,0,0,0,551WHITE,551,WHITE,573,0,0,0,573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
667WHITE,667,WHITE,293,293,0,0,0,667WHITE,667,WHITE,293,0,0,0,293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
551-FWHITE,551-F,WHITE,28,28,0,0,0,551-FWHITE,551-F,WHITE,28,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
554WHITE,554,WHITE,51,51,0,0,0,554WHITE,554,WHITE,51,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
661IVORY,661,IVORY,124,0,124,0,0,661IVORY,661,IVORY,124,0,0,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0
555-FWHITE,555-F,WHITE,35,0,0,35,0,555-FWHITE,555-F,WHITE,35,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0
551IVORY,551,IVORY,29,0,0,29,0,551IVORY,551,IVORY,29,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0
557WHITE,557,WHITE,13,0,0,13,0,557WHITE,557,WHITE,13,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0
556WHITE,556,WHITE,5,0,0,5,0,556WHITE,556,WHITE,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
662WHITE,662,WHITE,8,0,0,0,8,662WHITE,662,WHITE,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
663WHITE,663,WHITE,-1,0,0,0,-1,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
665WHITE,665,WHITE,-3,0,0,0,-3,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
551-FIVORY,551-F,IVORY,-3,0,0,0,-3,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
667IVORY,667,IVORY,-9,0,0,0,-9,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
555WHITE,555,WHITE,-25,0,0,0,-25,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
661WHITE,661,WHITE,-27,0,0,0,-27,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
666WHITE,666,WHITE,-12,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
664-MWHITE,664-M,WHITE,-20,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
554IVORY,554,IVORY,-97,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
556IVORY,556,IVORY,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
555IVORY,555,IVORY,-5,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
553-FWHITE,553-F,WHITE,-8,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
557-FWHITE,557-F,WHITE,-3,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
553WHITE,553,WHITE,-27,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
557-FIVORY,557-F,IVORY,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
665IVORY,665,IVORY,-6,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
662IVORY,662,IVORY,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
555-FIVORY,555-F,IVORY,-81,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
553IVORY,553,IVORY,-54,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
557IVORY,557,IVORY,-76,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
666IVORY,666,IVORY,-8,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
557-FIVORY,557-F,IVORY,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
664-MIVORY,664-M,IVORY,-11,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
553-FIVORY,553-F,IVORY,-54,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
663IVORY,663,IVORY,-22,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
557,557,,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
555,555,,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
556,556,,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
667,667,,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
