https://docs.google.com/spreadsheets/d/10kBMisQ6dNcBLNO0GuD85w1eL1BUm8tKaAb9gl8-38M/edit?gid=963706410#gid=963706410,,,,,,,20-Aug-2026,,1-May-2026,WEEK-1,,7-May-2026,8-May-2025,WEEK-2,,14-May-2026,15-May-2026,WEEK-3,,21-May-2026,22-May-2026,WEEK-4,,31-May-2025
FITTING,U242,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,U275,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
PIPE,PU-6S,#REF!,86,0,0,0,86,,43,,,,0,,,,0,,,,43,,,
FITTING,U251,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
PIPE,PU-8,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,UH88-S,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,U842,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,U273N,#REF!,"28,722",0,0,0,"28,722",,"14,361",,,,"14,361",,,,0,,,,0,,,
FITTING,U262,#REF!,148,0,0,0,148,,74,,,,74,,,,0,,,,0,,,
FITTING,U821,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,U53,#REF!,"216,720",0,0,0,"216,720",,"108,360",,,,"108,360",,,,0,,,,0,,,
FITTING,U232,#REF!,"3,833",0,0,0,"3,833",,"1,917",,,,"1,917",,,,0,,,,0,,,
FITTING,U531,#REF!,"3,410",0,0,0,"3,410",,"1,705",,,,0,,,,0,,,,"1,705",,,
PIPE,PU-2S,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,U61,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,U64,#REF!,"4,186",0,0,0,"4,186",,"2,093",,,,0,,,,0,,,,"2,093",,,
FITTING,U274N,#REF!,"5,356",0,0,0,"5,356",,"2,678",,,,"2,678",,,,0,,,,0,,,
FITTING,U85,#REF!,918,0,0,0,918,,459,,,,459,,,,0,,,,0,,,
FITTING,U252,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,U963,#REF!,34,0,0,0,34,,17,,,,0,,,,17,,,,0,,,
FITTING,U11,#REF!,"1,144",0,0,0,"1,144",,572,,,,0,,,,572,,,,0,,,
PIPE,PU-15S,#REF!,980,0,0,0,980,,490,,,,490,,,,0,,,,0,,,
FITTING,U603,#REF!,"1,000",0,0,0,"1,000",,"1,000",,,,0,,,,0,,,,0,,,
FITTING,U102,#REF!,"8,974",0,0,0,"8,974",,"4,487",,,,"4,487",,,,0,,,,0,,,
FITTING,U930,#REF!,"2,904",0,0,0,"2,904",,"1,452",,,,0,,,,"1,452",,,,0,,,
FITTING,U72,#REF!,"8,337",0,0,0,"8,337",,"4,169",,,,"4,169",,,,0,,,,0,,,
FITTING,U21-L,#REF!,"6,564",0,0,0,"6,564",,"3,282",,,,"3,282",,,,0,,,,0,,,
FITTING,U276N,#REF!,962,0,0,0,962,,481,,,,481,,,,0,,,,0,,,
PIPE,PU-15,#REF!,"2,118",0,0,0,"2,118",,"1,059",,,,0,,,,"1,059",,,,0,,,
PIPE,PU-11S,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,U503,#REF!,"21,562",0,0,0,"21,562",,"10,781",,,,"10,781",,,,0,,,,0,,,
FITTING,U12,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
PIPE,PU-14,#REF!,"9,350",0,0,0,"9,350",,"4,675",,,,"4,675",,,,0,,,,0,,,
FITTING,U43,#REF!,"109,554",0,0,0,"109,554",,"54,777",,,,"54,777",,,,0,,,,0,,,
FITTING,U83,#REF!,"2,278",0,0,0,"2,278",,"1,139",,,,"1,139",,,,0,,,,0,,,
FITTING,U862,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,U13,#REF!,"1,860",0,0,0,"1,860",,930,,,,0,,,,930,,,,0,,,
FITTING,U24N,#REF!,502,0,0,0,502,,251,,,,251,,,,0,,,,0,,,
FITTING,U853,#REF!,992,0,0,0,992,,496,,,,0,,,,0,,,,496,,,
FITTING,U75,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,U275N,#REF!,"1,858",0,0,0,"1,858",,929,,,,929,,,,0,,,,0,,,
FITTING,U231,#REF!,"10,092",0,0,0,"10,092",,"5,046",,,,"5,046",,,,0,,,,0,,,
FITTING,U21,#REF!,"3,260",0,0,0,"3,260",,"1,630",,,,0,,,,0,,,,"1,630",,,
FITTING,U523,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,U322,#REF!,"8,579",0,0,0,"8,579",,"4,290",,,,"4,290",,,,0,,,,0,,,
PIPE,PU-16S,#REF!,43,0,0,0,43,,43,,,,0,,,,0,,,,0,,,
FITTING,U65,#REF!,"3,356",0,0,0,"3,356",,"1,678",,,,0,,,,"1,678",,,,0,,,
FITTING,U105,#REF!,572,0,0,0,572,,286,,,,0,,,,286,,,,0,,,
FITTING,U601,#REF!,"8,766",0,0,0,"8,766",,"4,383",,,,"4,383",,,,0,,,,0,,,
FITTING,U943,#REF!,"3,764",0,0,0,"3,764",,"1,882",,,,"1,882",,,,0,,,,0,,,
PIPE,PU-16,#REF!,732,0,0,0,732,,366,,,,366,,,,0,,,,0,,,
FITTING,UH74-S,#REF!,48,0,0,0,48,,48,,,,0,,,,0,,,,0,,,
FITTING,U253,#REF!,550,0,0,0,550,,275,,,,0,,,,0,,,,275,,,
