https://docs.google.com/spreadsheets/d/170xrcWDdTMvTLSJyCw3yGBWxqOOSfZkesGWunqKr8Rw/edit?gid=1817895758#gid=1817895758,,,,,,,,,,,,,,,1-Jun-2026,WEEK-1,,7-Jun-2026,8-Jun-2026,WEEK-2,,14-Jun-2026,15-Jun-2026,WEEK-3,,21-Jun-2026,22-Jun-2026,WEEK-4,,30-Jun-2026
REPORT 1!B15:Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SELECT Col1,Col6,Col20,Col21,Col22,Col23,Col24 WHERE Col1 IS NOT NULL AND Col20 > 0",,,,,,,,,,,"443,822",0,0,0,"411,224",0,0,0,"22,934",0,0,0,"9,025",0,0,0,392,0,0,0
,ITEM CODE,ITEM COLOR,TOTAL PLAN,WEEK-1,WEEK-2,WEEK-3,WEEK-4,,ITEM CODE,ITEM COLOR,TOTAL PLAN,TOTAL PROD,TOTAL ORDER,TOTAL SALE,PLANNED,PRODUCED,ORDER,SALE,PLANNED,PRODUCED,ORDER,SALE,PLANNED,PRODUCED,ORDER,SALE,PLANNED,PRODUCED,ORDER,SALE
1375-SIVORY,1375-S,IVORY,384,384,0,0,0,1375-SIVORY,1375-S,IVORY,384,0,0,0,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1375-SWHITE,1375-S,WHITE,623,623,0,0,0,1375-SWHITE,1375-S,WHITE,623,0,0,0,623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132-CWHITE,132-C,WHITE,1342,1342,0,0,0,132-CWHITE,132-C,WHITE,1342,0,0,0,1342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145IVORY,145,IVORY,3704,3704,0,0,0,145IVORY,145,IVORY,3704,0,0,0,3704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1491-CWHITE,1491-C,WHITE,1125,1125,0,0,0,1491-CWHITE,1491-C,WHITE,1125,0,0,0,1125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1375-SPWHITE,1375-SP,WHITE,28,28,0,0,0,1375-SPWHITE,1375-SP,WHITE,28,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1375-SFWHITE,1375-SF,WHITE,41,41,0,0,0,1375-SFWHITE,1375-SF,WHITE,41,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125-OIVORY,125-O,IVORY,1746,1746,0,0,0,125-OIVORY,125-O,IVORY,1746,0,0,0,1746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1375-CWHITE,1375-C,WHITE,407,407,0,0,0,1375-CWHITE,1375-C,WHITE,407,0,0,0,407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130WHITE,130,WHITE,3929,3929,0,0,0,130WHITE,130,WHITE,3929,0,0,0,3929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127WHITE,127,WHITE,2927,2927,0,0,0,127WHITE,127,WHITE,2927,0,0,0,2927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143WHITE,143,WHITE,1789,1789,0,0,0,143WHITE,143,WHITE,1789,0,0,0,1789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147-OWHITE,147-O,WHITE,901,901,0,0,0,147-OWHITE,147-O,WHITE,901,0,0,0,901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144-SIVORY,144-S,IVORY,783,783,0,0,0,144-SIVORY,144-S,IVORY,783,0,0,0,783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129IVORY,129,IVORY,9966,9966,0,0,0,129IVORY,129,IVORY,9966,0,0,0,9966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145-OWHITE,145-O,WHITE,394,394,0,0,0,145-OWHITE,145-O,WHITE,394,0,0,0,394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124-PWHITE,124-P,WHITE,619,619,0,0,0,124-PWHITE,124-P,WHITE,619,0,0,0,619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125-OWHITE,125-O,WHITE,943,943,0,0,0,125-OWHITE,125-O,WHITE,943,0,0,0,943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144-CWHITE,144-C,WHITE,6399,6399,0,0,0,144-CWHITE,144-C,WHITE,6399,0,0,0,6399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129-CWHITE,129-C,WHITE,989,989,0,0,0,129-CWHITE,129-C,WHITE,989,0,0,0,989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1391WHITE,1391,WHITE,7729,7729,0,0,0,1391WHITE,1391,WHITE,7729,0,0,0,7729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130-OWHITE,130-O,WHITE,1630,1630,0,0,0,130-OWHITE,130-O,WHITE,1630,0,0,0,1630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120-WSWHITE,120-WS,WHITE,46524,46524,0,0,0,120-WSWHITE,120-WS,WHITE,46524,0,0,0,46524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132-HWHITE,132-H,WHITE,651,651,0,0,0,132-HWHITE,132-H,WHITE,651,0,0,0,651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131WHITE,131,WHITE,624,624,0,0,0,131WHITE,131,WHITE,624,0,0,0,624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1391-MWHITE,1391-M,WHITE,1356,1356,0,0,0,1391-MWHITE,1391-M,WHITE,1356,0,0,0,1356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140WHITE,140,WHITE,1882,1882,0,0,0,140WHITE,140,WHITE,1882,0,0,0,1882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149-NWHITE,149-N,WHITE,909,909,0,0,0,149-NWHITE,149-N,WHITE,909,0,0,0,909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132WHITE,132,WHITE,1917,1917,0,0,0,132WHITE,132,WHITE,1917,0,0,0,1917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127-CWHITE,127-C,WHITE,2573,2573,0,0,0,127-CWHITE,127-C,WHITE,2573,0,0,0,2573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124-CWHITE,124-C,WHITE,3632,3632,0,0,0,124-CWHITE,124-C,WHITE,3632,0,0,0,3632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133-SWHITE,133-S,WHITE,80,80,0,0,0,133-SWHITE,133-S,WHITE,80,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133-CWHITE,133-C,WHITE,342,342,0,0,0,133-CWHITE,133-C,WHITE,342,0,0,0,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130-CWHITE,130-C,WHITE,543,543,0,0,0,130-CWHITE,130-C,WHITE,543,0,0,0,543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
