https://docs.google.com/spreadsheets/d/170xrcWDdTMvTLSJyCw3yGBWxqOOSfZkesGWunqKr8Rw/edit?gid=1817895758#gid=1817895758,,,,,,,,,,,,,,,1-Jun-2026,WEEK-1,,7-Jun-2026,8-Jun-2026,WEEK-2,,14-Jun-2026,15-Jun-2026,WEEK-3,,21-Jun-2026,22-Jun-2026,WEEK-4,,30-Jun-2026
REPORT 3!G15:Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SELECT Col1,Col2,Col15,Col16,Col17,Col18,Col19",,,,,,,,,,,"68,101",0,0,0,"67,205",0,0,0,293,0,0,0,273,0,0,0,245,0,0,0
,ITEM CODE,ITEM COLOR,TOTAL PLAN,WEEK-1,WEEK-2,WEEK-3,WEEK-4,,ITEM CODE,ITEM COLOR,TOTAL PLAN,TOTAL PROD,TOTAL ORDER,TOTAL SALE,PLANNED,PRODUCED,ORDER,SALE,PLANNED,PRODUCED,ORDER,SALE,PLANNED,PRODUCED,ORDER,SALE,PLANNED,PRODUCED,ORDER,SALE
1813-CIVORY,1813-C,IVORY,4796,4796,0,0,0,1813-CIVORY,1813-C,IVORY,4796,0,0,0,4796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1813-BWHITE,1813-B,WHITE,1592,1592,0,0,0,1813-BWHITE,1813-B,WHITE,1592,0,0,0,1592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188WHITE,188,WHITE,3482,3482,0,0,0,188WHITE,188,WHITE,3482,0,0,0,3482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1817-CWHITE,1817-C,WHITE,3200,3200,0,0,0,1817-CWHITE,1817-C,WHITE,3200,0,0,0,3200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1813-CWHITE,1813-C,WHITE,3166,3166,0,0,0,1813-CWHITE,1813-C,WHITE,3166,0,0,0,3166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1821-CWHITE,1821-C,WHITE,1213,1213,0,0,0,1821-CWHITE,1821-C,WHITE,1213,0,0,0,1213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189IVORY,189,IVORY,808,808,0,0,0,189IVORY,189,IVORY,808,0,0,0,808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1871WHITE,1871,WHITE,552,552,0,0,0,1871WHITE,1871,WHITE,552,0,0,0,552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5211WHITE,5211,WHITE,550,550,0,0,0,5211WHITE,5211,WHITE,550,0,0,0,550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
522IVORY,522,IVORY,4,4,0,0,0,522IVORY,522,IVORY,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1815-CWHITE,1815-C,WHITE,974,974,0,0,0,1815-CWHITE,1815-C,WHITE,974,0,0,0,974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187IVORY,187,IVORY,13774,13774,0,0,0,187IVORY,187,IVORY,13774,0,0,0,13774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1814-CWHITE,1814-C,WHITE,995,995,0,0,0,1814-CWHITE,1814-C,WHITE,995,0,0,0,995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1817-CIVORY,1817-C,IVORY,2458,2458,0,0,0,1817-CIVORY,1817-C,IVORY,2458,0,0,0,2458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181-CWHITE,181-C,WHITE,1996,1996,0,0,0,181-CWHITE,181-C,WHITE,1996,0,0,0,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187WHITE,187,WHITE,17927,17927,0,0,0,187WHITE,187,WHITE,17927,0,0,0,17927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HF-190WHITE,HF-190,WHITE,1427,1427,0,0,0,HF-190WHITE,HF-190,WHITE,1427,0,0,0,1427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187-RR BLUE,187-R,R BLUE,275,275,0,0,0,187-RR BLUE,187-R,R BLUE,275,0,0,0,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1831WHITE,1831,WHITE,252,252,0,0,0,1831WHITE,1831,WHITE,252,0,0,0,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
