https://docs.google.com/spreadsheets/d/170xrcWDdTMvTLSJyCw3yGBWxqOOSfZkesGWunqKr8Rw/edit?gid=1817895758#gid=1817895758,,,,,,,,,,,,,,,1-Jun-2026,WEEK-1,,7-Jun-2026,8-Jun-2026,WEEK-2,,14-Jun-2026,15-Jun-2026,WEEK-3,,21-Jun-2026,22-Jun-2026,WEEK-4,,30-Jun-2026
REPORT 8!B8:Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SELECT Col1,Col6,Col20,Col21,Col22,Col23,Col24",,,,,,,,,,,"134,411",0,0,0,"133,520",0,0,0,93,0,0,0,696,0,0,0,102,0,0,0
,ITEM CODE,ITEM COLOR,TOTAL PLAN,WEEK-1,WEEK-2,WEEK-3,WEEK-4,,ITEM CODE,ITEM COLOR,TOTAL PLAN,TOTAL PROD,TOTAL ORDER,TOTAL SALE,PLANNED,PRODUCED,ORDER,SALE,PLANNED,PRODUCED,ORDER,SALE,PLANNED,PRODUCED,ORDER,SALE,PLANNED,PRODUCED,ORDER,SALE
326WHITE,326,WHITE,16988,16988,0,0,0,326WHITE,326,WHITE,16988,0,0,0,16988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
348WHITE,348,WHITE,2543,2543,0,0,0,348WHITE,348,WHITE,2543,0,0,0,2543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
323WHITE,323,WHITE,27931,27931,0,0,0,323WHITE,323,WHITE,27931,0,0,0,27931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
325WHITE,325,WHITE,11003,11003,0,0,0,325WHITE,325,WHITE,11003,0,0,0,11003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
324WHITE,324,WHITE,73211,73211,0,0,0,324WHITE,324,WHITE,73211,0,0,0,73211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
326-HWHITE,326-H,WHITE,873,873,0,0,0,326-HWHITE,326-H,WHITE,873,0,0,0,873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350WHITE,350,WHITE,96,96,0,0,0,350WHITE,350,WHITE,96,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
322WHITE,322,WHITE,56,56,0,0,0,322WHITE,322,WHITE,56,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
324IVORY,324,IVORY,819,819,0,0,0,324IVORY,324,IVORY,819,0,0,0,819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
325PINK,325,PINK,93,0,93,0,0,325PINK,325,PINK,93,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0
321WHITE,321,WHITE,473,0,0,473,0,321WHITE,321,WHITE,473,0,0,0,0,0,0,0,0,0,0,0,473,0,0,0,0,0,0,0
323-HIVORY,323-H,IVORY,223,0,0,223,0,323-HIVORY,323-H,IVORY,223,0,0,0,0,0,0,0,0,0,0,0,223,0,0,0,0,0,0,0
323IVORY,323,IVORY,102,0,0,0,102,323IVORY,323,IVORY,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0
324-HWHITE,324-H,WHITE,-910,0,0,0,-910,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
324-HIVORY,324-H,IVORY,-310,0,0,0,-310,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
324PINK,324,PINK,-151,0,0,0,-151,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
323-HWHITE,323-H,WHITE,-3571,0,0,0,-3571,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
325-HWHITE,325-H,WHITE,-887,0,0,0,-887,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
326IVORY,326,IVORY,-224,0,0,0,-224,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
323PINK,323,PINK,-284,0,0,0,-284,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
328-CWHITE,328-C,WHITE,-649,0,0,0,0,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
326-HIVORY,326-H,IVORY,-200,0,0,0,0,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
