https://docs.google.com/spreadsheets/d/170xrcWDdTMvTLSJyCw3yGBWxqOOSfZkesGWunqKr8Rw/edit?gid=1817895758#gid=1817895758,,,,,,,,,,,,,,,1-Jun-2026,WEEK-1,,7-Jun-2026,8-Jun-2026,WEEK-2,,14-Jun-2026,15-Jun-2026,WEEK-3,,21-Jun-2026,22-Jun-2026,WEEK-4,,30-Jun-2026,25-Jul-2025,WEEK-4,,31-Jul-2025
REPORT 7!B9:Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SELECT Col1,Col6,Col20,Col21,Col22,Col23,Col24",,,,,,,,,,,"66,988",0,0,0,"66,648",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
,ITEM CODE,ITEM COLOR,TOTAL PLAN,WEEK-1,WEEK-2,WEEK-3,WEEK-4,,ITEM CODE,ITEM COLOR,TOTAL PLAN,TOTAL PROD,TOTAL ORDER,TOTAL SALE,PLANNED,PRODUCED,ORDER,SALE,PLANNED,PRODUCED,ORDER,SALE,PLANNED,PRODUCED,ORDER,SALE,PLANNED,PRODUCED,ORDER,SALE,,,,
172SILVER,172,SILVER,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
171SILVER,171,SILVER,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
170SILVER,170,SILVER,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
169SILVER,169,SILVER,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
168SILVER,168,SILVER,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
167SILVER,167,SILVER,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,,.,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,,.,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,,.,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,,.,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,,.,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,,.,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,,.,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,,.,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,,.,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,,.,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,,.,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,,-,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,,-,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,,-,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,,-,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,,-,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,,-,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,,-,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,,-,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,,-,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,,-,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,,-,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,,-,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,,-,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,,-,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,,-,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,,-,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,,-,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,,-,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,,-,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,,-,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,,-,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,,-,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,,-,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,,-,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,,-,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,,-,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,,-,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,,-,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,,-,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,,-,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,,-,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,,-,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,,-,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,,-,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,,-,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,,-,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,,-,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,,-,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,,-,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,,-,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,,-,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,,-,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,,-,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,,-,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,,-,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,,-,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,,-,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,,-,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,,-,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,,-,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,,-,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,,-,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,,-,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,,-,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,,-,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,,-,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,,-,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,,-,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,,-,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,,-,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,,-,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,,-,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,,-,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,,-,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,,-,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,,-,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,,-,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,,-,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,,-,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,,-,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,,-,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,,-,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,,-,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
