item_code,division,series,product_name,discontinued_from,checked_by,status_note
6092-ON-OFF-P,CP Fittings / Faucets,POLO 60,Single Lever High Flow Concealed Diverter Bath & Shower 46mm (ON-OFF),2026-08-01,Preeti,"Removed from 01st Aug, 2026"
DB-60-H-ON-OFF-P,CP Fittings / Faucets,POLO 60,"Exposed Parts (Wall Flange, Handle, Sleeve & Knob)",2026-08-01,Preeti,"Removed from 01st Aug, 2026"
121-VB,PTMT & Plastic Fittings,,Bib Cock Fancy 15mm (Foam Flow) with Flange,2026-03-05,Preeti,"Removed from 05th Mar, 2026"
124-APF,PTMT & Plastic Fittings,,Bib Cock Long Body 15mm Foam Flow with Flange,2026-03-05,Preeti,"Removed from 05th Mar, 2026"
124-ASF,PTMT & Plastic Fittings,,Bib Cock Long Body 15mm Foam Flow with Flange,2026-03-05,Preeti,"Removed from 05th Mar, 2026"
124-EBF,PTMT & Plastic Fittings,,Bib Cock Long Body 15mm Foam Flow with Flange,2026-03-05,Preeti,"Removed from 05th Mar, 2026"
124-VB,PTMT & Plastic Fittings,,Bib Cock Long Smart Body 15mm with Flange,2026-03-05,Preeti,"Removed from 05th Mar, 2026"
127-VB,PTMT & Plastic Fittings,,Bib Cock Nozzle with Flange,2026-03-05,Preeti,"Removed from 05th Mar, 2026"
129-VB,PTMT & Plastic Fittings,,2 Way Bib Cock with Flange,2026-03-05,Preeti,"Removed from 05th Mar, 2026"
130-VB,PTMT & Plastic Fittings,,Pillar Cock with Flange,2026-03-05,Preeti,"Removed from 05th Mar, 2026"
132-VB,PTMT & Plastic Fittings,,Sink Cock (W/M) Foam Flow with Flange,2026-03-05,Preeti,"Removed from 05th Mar, 2026"
1322-VB,PTMT & Plastic Fittings,,Sink Cock Swing Arm Short (W/M) Foam Flow with Flange,2026-03-05,Preeti,"Removed from 05th Mar, 2026"
133-VB,PTMT & Plastic Fittings,,Sink Cock (T/M) Long Spout Foam Flow with Flange,2026-03-05,Preeti,"Removed from 05th Mar, 2026"
134-VB,PTMT & Plastic Fittings,,Sink Mixer Foam Flow with Flange,2026-03-05,Preeti,"Removed from 05th Mar, 2026"
135-VB,PTMT & Plastic Fittings,,Wall Mixer Foam Flow with Flange,2026-03-05,Preeti,"Removed from 05th Mar, 2026"
1375-VB,PTMT & Plastic Fittings,,Wall Mixer with L Bend,2026-03-05,Preeti,"Removed from 05th Mar, 2026"
144-VB,PTMT & Plastic Fittings,,Angle Cock with Flange,2026-03-05,Preeti,"Removed from 05th Mar, 2026"
145-VB,PTMT & Plastic Fittings,,2 Way Angle Cock with Flange,2026-03-05,Preeti,"Removed from 05th Mar, 2026"
147-VB,PTMT & Plastic Fittings,,Pillar Cock Swan Neck Foam Flow with Flange,2026-03-05,Preeti,"Removed from 05th Mar, 2026"
149-VB,PTMT & Plastic Fittings,,Washing Machine Tap with Flange,2026-03-05,Preeti,"Removed from 05th Mar, 2026"
400-L,PTMT & Plastic Fittings,,Single Lever Basin Mixer Foam Flow,2026-03-05,Preeti,"Removed from 05th Mar, 2026"
400-LG,PTMT & Plastic Fittings,,Single Lever Basin Mixer Foam Flow,2026-03-05,Preeti,"Removed from 05th Mar, 2026"
400-LP,PTMT & Plastic Fittings,,Single Lever Basin Mixer Foam Flow,2026-03-05,Preeti,"Removed from 05th Mar, 2026"
400-LR,PTMT & Plastic Fittings,,Single Lever Basin Mixer Foam Flow,2026-03-05,Preeti,"Removed from 05th Mar, 2026"
400-LW,PTMT & Plastic Fittings,,Single Lever Basin Mixer Foam Flow,2026-03-05,Preeti,"Removed from 05th Mar, 2026"
400-QB,PTMT & Plastic Fittings,,Single Lever Basin Mixer Foam Flow,2026-03-05,Preeti,"Removed from 05th Mar, 2026"
C121,Pipes & Fittings,,,2026-02-01,Preeti,"Removed from 01st Feb, 2026"
C122,Pipes & Fittings,,,2026-02-01,Preeti,"Removed from 01st Feb, 2026"
C123,Pipes & Fittings,,,2026-02-01,Preeti,"Removed from 01st Feb, 2026"
C124,Pipes & Fittings,,,2026-02-01,Preeti,"Removed from 01st Feb, 2026"
C125,Pipes & Fittings,,,2026-02-01,Preeti,"Removed from 01st Feb, 2026"
C126,Pipes & Fittings,,,2026-02-01,Preeti,"Removed from 01st Feb, 2026"
C230L,Pipes & Fittings,,,2026-02-01,Preeti,"Removed from 01st Feb, 2026"
C231L,Pipes & Fittings,,,2026-02-01,Preeti,"Removed from 01st Feb, 2026"
C232L,Pipes & Fittings,,,2026-02-01,Preeti,"Removed from 01st Feb, 2026"
C233L,Pipes & Fittings,,,2026-02-01,Preeti,"Removed from 01st Feb, 2026"
C234L,Pipes & Fittings,,,2026-02-01,Preeti,"Removed from 01st Feb, 2026"
C235L,Pipes & Fittings,,,2026-02-01,Preeti,"Removed from 01st Feb, 2026"
U121,Pipes & Fittings,UPVC Fittings,,2026-02-01,Preeti,"Removed from 01st Feb, 2026"
U122,Pipes & Fittings,UPVC Fittings,,2026-02-01,Preeti,"Removed from 01st Feb, 2026"
U123,Pipes & Fittings,UPVC Fittings,,2026-02-01,Preeti,"Removed from 01st Feb, 2026"
U124,Pipes & Fittings,UPVC Fittings,,2026-02-01,Preeti,"Removed from 01st Feb, 2026"
U125,Pipes & Fittings,UPVC Fittings,,2026-02-01,Preeti,"Removed from 01st Feb, 2026"
U126,Pipes & Fittings,UPVC Fittings,,2026-02-01,Preeti,"Removed from 01st Feb, 2026"
