month,category,multiplier,suggested_multiplier,override_multiplier,cv_value,z_score,source_observations,data_quality,last_computed_at,updated_at
2026-08,Cistern & Seat Cover,1.45,1.45,,0.27,1.65,3,ok,2026-09-05 06:01:57.578+00,2026-09-05 06:02:37.776933+00
2026-08,Cocks Premium,1.43,1.43,,0.26,1.65,3,ok,2026-09-05 06:01:57.578+00,2026-09-05 06:02:37.776933+00
2026-08,Cocks Standard,1.21,1.21,,0.13,1.65,3,ok,2026-09-05 06:01:57.578+00,2026-09-05 06:02:37.776933+00
2026-08,Faucets & Jetsprays & Shower,1.23,1.23,,0.14,1.65,3,ok,2026-09-05 06:01:57.578+00,2026-09-05 06:02:37.776933+00
2026-08,P.V.C. Connections,,,,,1.65,0,insufficient,2026-09-05 06:01:57.578+00,2026-09-05 06:02:37.776933+00
2026-08,Waste Pipes,,,,,1.65,0,insufficient,2026-09-05 06:01:57.578+00,2026-09-05 06:02:37.776933+00
2026-09,Accessorise,2.18,2.18,,0.71,1.65,3,ok,2026-09-05 06:01:57.578+00,2026-09-05 06:02:37.776933+00
2026-09,Ball Cock,1.01,1.01,,0,1.65,2,ok,2026-09-05 06:01:57.578+00,2026-09-05 06:02:37.776933+00
2026-09,Cabinet,1.38,1.38,,0.23,1.65,2,ok,2026-09-05 06:01:57.578+00,2026-09-05 06:02:37.776933+00
2026-09,Cistern & Seat Cover,1.82,1.82,,0.5,1.65,2,ok,2026-09-05 06:01:57.578+00,2026-09-05 06:02:37.776933+00
2026-09,Cocks Premium,1.1,1.1,,0.06,1.65,2,ok,2026-09-05 06:01:57.578+00,2026-09-05 06:02:37.776933+00
2026-09,Cocks Standard,1.2,1.2,,0.12,1.65,2,ok,2026-09-05 06:01:57.578+00,2026-09-05 06:02:37.776933+00
2026-09,Faucets & Jetsprays & Shower,1.2,1.2,,0.12,1.65,2,ok,2026-09-05 06:01:57.578+00,2026-09-05 06:02:37.776933+00
2026-09,P.V.C. Connections,,,,,1.65,0,insufficient,2026-09-05 06:01:57.578+00,2026-09-05 06:02:37.776933+00
2026-09,Waste Pipes,,,,,1.65,0,insufficient,2026-09-05 06:01:57.578+00,2026-09-05 06:02:37.776933+00
2026-10,Accessorise,1,1,,0,1.65,2,ok,2026-09-05 06:01:57.578+00,2026-09-05 06:02:37.776933+00
2026-10,Ball Cock,1.03,1.03,,0.02,1.65,2,ok,2026-09-05 06:01:57.578+00,2026-09-05 06:02:37.776933+00
2026-10,Cabinet,1.15,1.15,,0.09,1.65,2,ok,2026-09-05 06:01:57.578+00,2026-09-05 06:02:37.776933+00
2026-10,Cistern & Seat Cover,1.2,1.2,,0.12,1.65,2,ok,2026-09-05 06:01:57.578+00,2026-09-05 06:02:37.776933+00
2026-10,Cocks Premium,1.27,1.27,,0.17,1.65,2,ok,2026-09-05 06:01:57.578+00,2026-09-05 06:02:37.776933+00
2026-10,Cocks Standard,1.2,1.2,,0.12,1.65,2,ok,2026-09-05 06:01:57.578+00,2026-09-05 06:02:37.776933+00
2026-10,Faucets & Jetsprays & Shower,1.03,1.03,,0.02,1.65,2,ok,2026-09-05 06:01:57.578+00,2026-09-05 06:02:37.776933+00
2026-10,P.V.C. Connections,,,,,1.65,0,insufficient,2026-09-05 06:01:57.578+00,2026-09-05 06:02:37.776933+00
2026-10,Waste Pipes,,,,,1.65,0,insufficient,2026-09-05 06:01:57.578+00,2026-09-05 06:02:37.776933+00
2026-11,Accessorise,1.03,1.03,,0.02,1.65,2,ok,2026-09-05 06:01:57.578+00,2026-09-05 06:02:37.776933+00
2026-11,Ball Cock,1.02,1.02,,0.01,1.65,2,ok,2026-09-05 06:01:57.578+00,2026-09-05 06:02:37.776933+00
2026-11,Cabinet,1.15,1.15,,0.09,1.65,2,ok,2026-09-05 06:01:57.578+00,2026-09-05 06:02:37.776933+00
2026-11,Cistern & Seat Cover,1.09,1.09,,0.06,1.65,2,ok,2026-09-05 06:01:57.578+00,2026-09-05 06:02:37.776933+00
2026-11,Cocks Premium,1.09,1.09,,0.05,1.65,2,ok,2026-09-05 06:01:57.578+00,2026-09-05 06:02:37.776933+00
2026-11,Cocks Standard,1.03,1.03,,0.02,1.65,2,ok,2026-09-05 06:01:57.578+00,2026-09-05 06:02:37.776933+00
2026-11,Faucets & Jetsprays & Shower,1.07,1.07,,0.04,1.65,2,ok,2026-09-05 06:01:57.578+00,2026-09-05 06:02:37.776933+00
2026-11,P.V.C. Connections,,,,,1.65,0,insufficient,2026-09-05 06:01:57.578+00,2026-09-05 06:02:37.776933+00
2026-11,Waste Pipes,,,,,1.65,0,insufficient,2026-09-05 06:01:57.578+00,2026-09-05 06:02:37.776933+00
2026-12,Accessorise,1.19,1.19,,0.11,1.65,2,ok,2026-09-05 06:01:57.578+00,2026-09-05 06:02:37.776933+00
2026-12,Ball Cock,1.14,1.14,,0.09,1.65,2,ok,2026-09-05 06:01:57.578+00,2026-09-05 06:02:37.776933+00
2026-12,Cabinet,1.39,1.39,,0.23,1.65,2,ok,2026-09-05 06:01:57.578+00,2026-09-05 06:02:37.776933+00
2026-12,Cistern & Seat Cover,1.05,1.05,,0.03,1.65,2,ok,2026-09-05 06:01:57.578+00,2026-09-05 06:02:37.776933+00
2026-12,Cocks Premium,1.11,1.11,,0.07,1.65,2,ok,2026-09-05 06:01:57.578+00,2026-09-05 06:02:37.776933+00
2026-12,Cocks Standard,1.12,1.12,,0.07,1.65,2,ok,2026-09-05 06:01:57.578+00,2026-09-05 06:02:37.776933+00
2026-12,Faucets & Jetsprays & Shower,1.2,1.2,,0.12,1.65,2,ok,2026-09-05 06:01:57.578+00,2026-09-05 06:02:37.776933+00
2026-12,P.V.C. Connections,,,,,1.65,0,insufficient,2026-09-05 06:01:57.578+00,2026-09-05 06:02:37.776933+00
2026-12,Waste Pipes,,,,,1.65,0,insufficient,2026-09-05 06:01:57.578+00,2026-09-05 06:02:37.776933+00
2027-01,Accessorise,1,1,,0,1.65,2,ok,2026-09-05 06:01:57.578+00,2026-09-05 06:02:37.776933+00
2027-01,Ball Cock,1.16,1.16,,0.1,1.65,2,ok,2026-09-05 06:01:57.578+00,2026-09-05 06:02:37.776933+00
2027-01,Cabinet,1.05,1.05,,0.03,1.65,2,ok,2026-09-05 06:01:57.578+00,2026-09-05 06:02:37.776933+00
2027-01,Cistern & Seat Cover,1.19,1.19,,0.11,1.65,2,ok,2026-09-05 06:01:57.578+00,2026-09-05 06:02:37.776933+00
2027-01,Cocks Premium,1.15,1.15,,0.09,1.65,2,ok,2026-09-05 06:01:57.578+00,2026-09-05 06:02:37.776933+00
2027-01,Cocks Standard,1.17,1.17,,0.1,1.65,2,ok,2026-09-05 06:01:57.578+00,2026-09-05 06:02:37.776933+00
2027-01,Faucets & Jetsprays & Shower,1.02,1.02,,0.01,1.65,2,ok,2026-09-05 06:01:57.578+00,2026-09-05 06:02:37.776933+00
2027-01,P.V.C. Connections,,,,,1.65,0,insufficient,2026-09-05 06:01:57.578+00,2026-09-05 06:02:37.776933+00
2027-01,Waste Pipes,,,,,1.65,0,insufficient,2026-09-05 06:01:57.578+00,2026-09-05 06:02:37.776933+00
2027-02,Accessorise,1.08,1.08,,0.05,1.65,2,ok,2026-09-05 06:01:57.578+00,2026-09-05 06:02:37.776933+00
2027-02,Ball Cock,1.47,1.47,,0.28,1.65,2,ok,2026-09-05 06:01:57.578+00,2026-09-05 06:02:37.776933+00
2027-02,Cabinet,1.07,1.07,,0.04,1.65,2,ok,2026-09-05 06:01:57.578+00,2026-09-05 06:02:37.776933+00
2027-02,Cistern & Seat Cover,1.44,1.44,,0.27,1.65,2,ok,2026-09-05 06:01:57.578+00,2026-09-05 06:02:37.776933+00
2027-02,Cocks Premium,1.08,1.08,,0.05,1.65,2,ok,2026-09-05 06:01:57.578+00,2026-09-05 06:02:37.776933+00
2027-02,Cocks Standard,1.08,1.08,,0.05,1.65,2,ok,2026-09-05 06:01:57.578+00,2026-09-05 06:02:37.776933+00
2027-02,Faucets & Jetsprays & Shower,1.08,1.08,,0.05,1.65,2,ok,2026-09-05 06:01:57.578+00,2026-09-05 06:02:37.776933+00
2027-02,P.V.C. Connections,,,,,1.65,0,insufficient,2026-09-05 06:01:57.578+00,2026-09-05 06:02:37.776933+00
2027-02,Waste Pipes,,,,,1.65,0,insufficient,2026-09-05 06:01:57.578+00,2026-09-05 06:02:37.776933+00
2027-03,Accessorise,1.14,1.14,,0.09,1.65,2,ok,2026-09-05 06:01:57.578+00,2026-09-05 06:02:37.776933+00
2027-03,Ball Cock,1.17,1.17,,0.1,1.65,2,ok,2026-09-05 06:01:57.578+00,2026-09-05 06:02:37.776933+00
2027-03,Cabinet,1.1,1.1,,0.06,1.65,2,ok,2026-09-05 06:01:57.578+00,2026-09-05 06:02:37.776933+00
2027-03,Cistern & Seat Cover,1.34,1.34,,0.2,1.65,2,ok,2026-09-05 06:01:57.578+00,2026-09-05 06:02:37.776933+00
2027-03,Cocks Premium,1.02,1.02,,0.01,1.65,2,ok,2026-09-05 06:01:57.578+00,2026-09-05 06:02:37.776933+00
2027-03,Cocks Standard,1.23,1.23,,0.14,1.65,2,ok,2026-09-05 06:01:57.578+00,2026-09-05 06:02:37.776933+00
2027-03,Faucets & Jetsprays & Shower,1.1,1.1,,0.06,1.65,2,ok,2026-09-05 06:01:57.578+00,2026-09-05 06:02:37.776933+00
2027-03,P.V.C. Connections,,,,,1.65,0,insufficient,2026-09-05 06:01:57.578+00,2026-09-05 06:02:37.776933+00
2027-03,Waste Pipes,,,,,1.65,0,insufficient,2026-09-05 06:01:57.578+00,2026-09-05 06:02:37.776933+00
