id,item_code,colour,category,buffer_req,production_plan
420886,124-LW,,Cocks Premium,0,0
420887,124-N,IVORY,Cocks Standard,0,0
420888,124-N,WHITE,Cocks Standard,66,11
420889,124-NB,,Cocks Premium,121,218
420890,124-NG,,Cocks Premium,44.33,0
420891,124-NP,,Cocks Premium,55,0
420892,124-NR,,Cocks Premium,176,0
420893,124-NW,,Cocks Premium,11,0
420894,124-O,BURGUNDY,Cocks Standard,0,0
420895,124-O,GREEN,Cocks Standard,0,0
420896,124-O,IVORY,Cocks Standard,1520,0
420897,124-O,M GREEN,Cocks Standard,0,0
420898,124-O,PINK,Cocks Standard,0,0
420899,124-O,WHITE,Cocks Standard,3600.33,414.33
420900,124-P,BURGUNDY,Cocks Standard,0,0
420901,124-P,GREEN,Cocks Standard,0,0
420902,124-P,IVORY,Cocks Standard,276,343
420903,124-P,M GREEN,Cocks Standard,0,0
420904,124-P,PINK,Cocks Standard,0,0
420905,124-P,WHITE,Cocks Standard,146,0
420906,124-PR,,Cocks Standard,0,0
420907,124-R,BURGUNDY,Cocks Standard,0,0
420908,124-R,GREEN,Cocks Standard,0,0
420909,124-R,IVORY,Cocks Standard,0,0
420910,124-R,M GREEN,Cocks Standard,0,0
420911,124-R,PINK,Cocks Standard,0,0
420912,124-R,WHITE,Cocks Standard,80,240
420913,124-RG,,Cocks Premium,60,55
420914,124-RP,,Cocks Premium,0,0
420915,124-RR,,Cocks Premium,20,79
420916,124-RW,,Cocks Premium,0,0
420917,124-S,BURGUNDY,Cocks Standard,0,0
420918,124-S,GREEN,Cocks Standard,0,0
420919,124-S,IVORY,Cocks Standard,216,0
420920,124-S,M GREEN,Cocks Standard,0,0
420921,124-S,PINK,Cocks Standard,0,0
420922,124-S,WHITE,Cocks Standard,353.33,235.33
420923,124-SG,,Cocks Premium,84.67,155.67
420924,124-SP,,Cocks Premium,72,233
