item_code,category,colour,segment
121-JJM,Cocks Standard,WHITE,PTMT
121-K,Cocks Standard,WHITE,PTMT
121-KF,Cocks Standard,WHITE,PTMT
121-L,Cocks Standard,IVORY,PTMT
121-L,Cocks Standard,WHITE,PTMT
121-LG,Cocks Premium,,PTMT
121-LP,Cocks Premium,,PTMT
121-LR,Cocks Premium,,PTMT
121-LSF,Cocks Standard,,PTMT
121-LSFB,Cocks Standard,BLUE,PTMT
121-LW,Cocks Premium,,PTMT
121-O,Cocks Standard,,PTMT
121-O,Cocks Standard,BLUE,PTMT
121-O,Cocks Standard,BURGUNDY,PTMT
121-O,Cocks Standard,GREEN,PTMT
121-O,Cocks Standard,IVORY,PTMT
121-O,Cocks Standard,M GREEN,PTMT
121-O,Cocks Standard,PINK,PTMT
121-O,Cocks Standard,WHITE,PTMT
121-P,Cocks Standard,BURGUNDY,PTMT
121-P,Cocks Standard,GREEN,PTMT
121-P,Cocks Standard,IVORY,PTMT
121-P,Cocks Standard,M GREEN,PTMT
121-P,Cocks Standard,PINK,PTMT
121-P,Cocks Standard,WHITE,PTMT
121-PF,Cocks Standard,,PTMT
121-R,Cocks Standard,BURGUNDY,PTMT
121-R,Cocks Standard,GREEN,PTMT
121-R,Cocks Standard,IVORY,PTMT
121-R,Cocks Standard,M GREEN,PTMT
121-R,Cocks Standard,PINK,PTMT
121-R,Cocks Standard,WHITE,PTMT
121-RG,Cocks Premium,,PTMT
121-RP,Cocks Premium,,PTMT
121-RR,Cocks Premium,,PTMT
121-RW,Cocks Premium,,PTMT
121-S,Cocks Standard,BURGUNDY,PTMT
121-S,Cocks Standard,GREEN,PTMT
121-S,Cocks Standard,IVORY,PTMT
121-S,Cocks Standard,M GREEN,PTMT
121-S,Cocks Standard,PINK,PTMT
121-S,Cocks Standard,WHITE,PTMT
121-SG,Cocks Premium,,PTMT
121-SP,Cocks Premium,,PTMT
121-SR,Cocks Premium,,PTMT
121-SW,Cocks Premium,,PTMT
121-V,Cocks Standard,BURGUNDY,PTMT
121-V,Cocks Standard,GREEN,PTMT
121-V,Cocks Standard,IVORY,PTMT
121-V,Cocks Standard,M GREEN,PTMT
121-V,Cocks Standard,PINK,PTMT
121-V,Cocks Standard,WHITE,PTMT
121-VG,Cocks Premium,,PTMT
121-VP,Cocks Premium,,PTMT
121-VR,Cocks Premium,,PTMT
121-VW,Cocks Premium,,PTMT
122-O,Cocks Standard,BURGUNDY,PTMT
122-O,Cocks Standard,GREEN,PTMT
122-O,Cocks Standard,IVORY,PTMT
122-O,Cocks Standard,M GREEN,PTMT
122-O,Cocks Standard,PINK,PTMT
122-O,Cocks Standard,WHITE,PTMT
123,Cocks Standard,BLUE,PTMT
123,Cocks Standard,BURGUNDY,PTMT
123,Cocks Standard,GREEN,PTMT
123,Cocks Standard,IVORY,PTMT
123,Cocks Standard,M GREEN,PTMT
123,Cocks Standard,PINK,PTMT
123,Cocks Standard,WHITE,PTMT
123-A,Cocks Standard,IVORY,PTMT
123-A,Cocks Standard,WHITE,PTMT
123-AB,Cocks Standard,BLACK,PTMT
123-ABF,Cocks Standard,BLACK,PTMT
123-ABN,Cocks Standard,,PTMT
123-AF,Cocks Standard,IVORY,PTMT
123-AF,Cocks Standard,WHITE,PTMT
123-AN,Cocks Standard,WHITE,PTMT
123-C,Cocks Standard,BURGUNDY,PTMT
123-C,Cocks Standard,GREEN,PTMT
123-C,Cocks Standard,IVORY,PTMT
123-C,Cocks Standard,M GREEN,PTMT
123-C,Cocks Standard,PINK,PTMT
123-C,Cocks Standard,WHITE,PTMT
123-CF,Cocks Standard,BURGUNDY,PTMT
123-CF,Cocks Standard,GREEN,PTMT
123-CF,Cocks Standard,IVORY,PTMT
123-CF,Cocks Standard,M GREEN,PTMT
123-CF,Cocks Standard,PINK,PTMT
123-CF,Cocks Standard,WHITE,PTMT
123-CN,Cocks Standard,BURGUNDY,PTMT
123-CN,Cocks Standard,GREEN,PTMT
123-CN,Cocks Standard,IVORY,PTMT
123-CN,Cocks Standard,M GREEN,PTMT
123-CN,Cocks Standard,PINK,PTMT
123-CN,Cocks Standard,WHITE,PTMT
123-D,Cocks Standard,BURGUNDY,PTMT
123-D,Cocks Standard,GREEN,PTMT
123-D,Cocks Standard,IVORY,PTMT
123-D,Cocks Standard,M GREEN,PTMT
123-D,Cocks Standard,PINK,PTMT
123-D,Cocks Standard,WHITE,PTMT
123-DB,Cocks Standard,BLACK,PTMT
123-DG,Cocks Premium,33,PTMT
123-DP,Cocks Premium,,PTMT
123-DR,Cocks Premium,61,PTMT
123-DW,Cocks Premium,,PTMT
123-E,Cocks Standard,BURGUNDY,PTMT
123-E,Cocks Standard,GREEN,PTMT
123-E,Cocks Standard,IVORY,PTMT
123-E,Cocks Standard,M GREEN,PTMT
123-E,Cocks Standard,PINK,PTMT
123-E,Cocks Standard,WHITE,PTMT
123-EF,Cocks Standard,BURGUNDY,PTMT
123-EF,Cocks Standard,GREEN,PTMT
123-EF,Cocks Standard,IVORY,PTMT
123-EF,Cocks Standard,M GREEN,PTMT
123-EF,Cocks Standard,PINK,PTMT
123-EF,Cocks Standard,WHITE,PTMT
123-EN,Cocks Standard,BURGUNDY,PTMT
123-EN,Cocks Standard,GREEN,PTMT
123-EN,Cocks Standard,IVORY,PTMT
123-EN,Cocks Standard,M GREEN,PTMT
123-EN,Cocks Standard,PINK,PTMT
123-EN,Cocks Standard,WHITE,PTMT
123-F,Cocks Standard,BURGUNDY,PTMT
123-F,Cocks Standard,GREEN,PTMT
123-F,Cocks Standard,IVORY,PTMT
123-F,Cocks Standard,M GREEN,PTMT
123-F,Cocks Standard,PINK,PTMT
123-F,Cocks Standard,WHITE,PTMT
123-FH,Cocks Premium,IVORY,PTMT
123-FH,Cocks Standard,IVORY,PTMT
123-FH,Cocks Standard,WHITE,PTMT
