item_code,category,colour,segment
127-DW,Cocks Standard,,PTMT
127-E,Cocks Standard,BURGUNDY,PTMT
127-E,Cocks Standard,GREEN,PTMT
127-E,Cocks Standard,IVORY,PTMT
127-E,Cocks Standard,M GREEN,PTMT
127-E,Cocks Standard,PINK,PTMT
127-E,Cocks Standard,WHITE,PTMT
127-EB,Cocks Standard,IVORY,PTMT
127-EB,Cocks Standard,WHITE,PTMT
127-H,Cocks Standard,BURGUNDY,PTMT
127-H,Cocks Standard,GREEN,PTMT
127-H,Cocks Standard,IVORY,PTMT
127-H,Cocks Standard,M GREEN,PTMT
127-H,Cocks Standard,PINK,PTMT
127-H,Cocks Standard,WHITE,PTMT
127-HG,Cocks Premium,,PTMT
127-HP,Cocks Premium,,PTMT
127-HR,Cocks Premium,,PTMT
127-HW,Cocks Premium,,PTMT
127-K,Cocks Standard,WHITE,PTMT
127-LS,Cocks Standard,WHITE,PTMT
127-LSB,Cocks Standard,BLUE,PTMT
127-O,Cocks Standard,BURGUNDY,PTMT
127-O,Cocks Standard,GREEN,PTMT
127-O,Cocks Standard,IVORY,PTMT
127-O,Cocks Standard,M GREEN,PTMT
127-O,Cocks Standard,PINK,PTMT
127-O,Cocks Standard,WHITE,PTMT
127-P,Cocks Standard,BURGUNDY,PTMT
127-P,Cocks Standard,GREEN,PTMT
127-P,Cocks Standard,IVORY,PTMT
127-P,Cocks Standard,M GREEN,PTMT
127-P,Cocks Standard,PINK,PTMT
127-P,Cocks Standard,WHITE,PTMT
127-S,Cocks Standard,BURGUNDY,PTMT
127-S,Cocks Standard,GREEN,PTMT
127-S,Cocks Standard,IVORY,PTMT
127-S,Cocks Standard,M GREEN,PTMT
127-S,Cocks Standard,PINK,PTMT
127-S,Cocks Standard,WHITE,PTMT
127-SG,Cocks Premium,,PTMT
127-SP,Cocks Premium,,PTMT
127-SR,Cocks Premium,,PTMT
127-SW,Cocks Premium,,PTMT
127-V,Cocks Standard,BURGUNDY,PTMT
127-V,Cocks Standard,GREEN,PTMT
127-V,Cocks Standard,IVORY,PTMT
127-V,Cocks Standard,M GREEN,PTMT
127-V,Cocks Standard,PINK,PTMT
127-V,Cocks Standard,WHITE,PTMT
127-VG,Cocks Premium,,PTMT
127-VP,Cocks Premium,,PTMT
127-VR,Cocks Premium,,PTMT
127-VW,Cocks Premium,,PTMT
128,Accessorise,IVORY,PTMT
128,Accessorise,PINK,PTMT
128,Accessorise,WHITE,PTMT
129,Cocks Standard,BLUE,PTMT
129,Cocks Standard,BURGUNDY,PTMT
129,Cocks Standard,GREEN,PTMT
129,Cocks Standard,IVORY,PTMT
129,Cocks Standard,M GREEN,PTMT
129,Cocks Standard,PINK,PTMT
129,Cocks Standard,WHITE,PTMT
129-A,Cocks Standard,WHITE,PTMT
129-AB,Cocks Standard,,PTMT
129-AP,Cocks Standard,IVORY,PTMT
129-AP,Cocks Standard,WHITE,PTMT
129-AS,Cocks Standard,IVORY,PTMT
129-AS,Cocks Standard,WHITE,PTMT
129-B,Cocks Standard,BURGUNDY,PTMT
129-B,Cocks Standard,GREEN,PTMT
129-B,Cocks Standard,IVORY,PTMT
129-B,Cocks Standard,M GREEN,PTMT
129-B,Cocks Standard,PINK,PTMT
129-B,Cocks Standard,WHITE,PTMT
129-C,Cocks Standard,BURGUNDY,PTMT
129-C,Cocks Standard,GREEN,PTMT
129-C,Cocks Standard,IVORY,PTMT
129-C,Cocks Standard,M GREEN,PTMT
129-C,Cocks Standard,PINK,PTMT
129-C,Cocks Standard,WHITE,PTMT
129-D,Cocks Standard,BURGUNDY,PTMT
129-D,Cocks Standard,GREEN,PTMT
129-D,Cocks Standard,IVORY,PTMT
129-D,Cocks Standard,M GREEN,PTMT
129-D,Cocks Standard,PINK,PTMT
129-D,Cocks Standard,WHITE,PTMT
129-DB,Cocks Standard,BLACK,PTMT
129-DG,Cocks Premium,,PTMT
129-DP,Cocks Premium,,PTMT
129-DR,Cocks Premium,,PTMT
129-DW,Cocks Premium,,PTMT
129-E,Cocks Standard,BURGUNDY,PTMT
129-E,Cocks Standard,GREEN,PTMT
129-E,Cocks Standard,IVORY,PTMT
129-E,Cocks Standard,M GREEN,PTMT
129-E,Cocks Standard,PINK,PTMT
129-E,Cocks Standard,WHITE,PTMT
129-EB,Cocks Standard,IVORY,PTMT
129-EB,Cocks Standard,WHITE,PTMT
129-H,Cocks Standard,BURGUNDY,PTMT
129-H,Cocks Standard,GREEN,PTMT
129-H,Cocks Standard,IVORY,PTMT
129-H,Cocks Standard,M GREEN,PTMT
129-H,Cocks Standard,PINK,PTMT
129-H,Cocks Standard,WHITE,PTMT
129-HG,Cocks Premium,,PTMT
129-HP,Cocks Premium,,PTMT
129-HR,Cocks Premium,99,PTMT
129-HW,Cocks Premium,,PTMT
129-I,Cocks Standard,IVORY,PTMT
129-I,Cocks Standard,WHITE,PTMT
129-IG,Cocks Premium,,PTMT
129-IP,Cocks Premium,,PTMT
129-IR,Cocks Premium,,PTMT
129-IW,Cocks Premium,,PTMT
129-K,Cocks Standard,WHITE,PTMT
129-L,Cocks Standard,WHITE,PTMT
129-LG,Cocks Premium,,PTMT
129-LP,Cocks Premium,,PTMT
129-LR,Cocks Premium,,PTMT
129-LS,Cocks Standard,WHITE,PTMT
129-LSB,Cocks Standard,BLUE,PTMT
129-LW,Cocks Premium,,PTMT
129-N,Cocks Standard,IVORY,PTMT
129-N,Cocks Standard,WHITE,PTMT
129-NB,Cocks Premium,,PTMT
129-NG,Cocks Premium,,PTMT
129-NP,Cocks Premium,,PTMT
129-NR,Cocks Premium,,PTMT
129-NW,Cocks Premium,,PTMT
129-O,Cocks Standard,BURGUNDY,PTMT
129-O,Cocks Standard,GREEN,PTMT
129-O,Cocks Standard,IVORY,PTMT
129-O,Cocks Standard,M GREEN,PTMT
129-O,Cocks Standard,PINK,PTMT
129-O,Cocks Standard,WHITE,PTMT
129-P,Cocks Standard,BURGUNDY,PTMT
129-P,Cocks Standard,GREEN,PTMT
129-P,Cocks Standard,IVORY,PTMT
129-P,Cocks Standard,M GREEN,PTMT
129-P,Cocks Standard,PINK,PTMT
129-P,Cocks Standard,WHITE,PTMT
129-Q,Cocks Standard,BURGUNDY,PTMT
129-Q,Cocks Standard,GREEN,PTMT
129-Q,Cocks Standard,IVORY,PTMT
129-Q,Cocks Standard,M GREEN,PTMT
129-Q,Cocks Standard,PINK,PTMT
129-Q,Cocks Standard,WHITE,PTMT
129-QG,Cocks Premium,,PTMT
129-QP,Cocks Premium,,PTMT
129-QR,Cocks Premium,107,PTMT
129-QW,Cocks Premium,,PTMT
129-R,Cocks Standard,BURGUNDY,PTMT
129-R,Cocks Standard,GREEN,PTMT
129-R,Cocks Standard,IVORY,PTMT
129-R,Cocks Standard,M GREEN,PTMT
129-R,Cocks Standard,PINK,PTMT
129-R,Cocks Standard,WHITE,PTMT
129-RG,Cocks Premium,,PTMT
129-RP,Cocks Premium,,PTMT
129-RR,Cocks Premium,,PTMT
129-RW,Cocks Premium,,PTMT
129-S,Cocks Standard,BURGUNDY,PTMT
129-S,Cocks Standard,GREEN,PTMT
129-S,Cocks Standard,IVORY,PTMT
129-S,Cocks Standard,M GREEN,PTMT
129-S,Cocks Standard,PINK,PTMT
129-S,Cocks Standard,WHITE,PTMT
129-SG,Cocks Premium,,PTMT
129-SP,Cocks Premium,,PTMT
129-SR,Cocks Premium,,PTMT
129-SW,Cocks Premium,,PTMT
129-U,Cocks Standard,BURGUNDY,PTMT
129-U,Cocks Standard,GREEN,PTMT
129-U,Cocks Standard,IVORY,PTMT
129-U,Cocks Standard,M GREEN,PTMT
129-U,Cocks Standard,PINK,PTMT
129-U,Cocks Standard,WHITE,PTMT
129-UG,Cocks Premium,,PTMT
129-UP,Cocks Premium,,PTMT
129-UR,Cocks Premium,,PTMT
129-UW,Cocks Premium,,PTMT
129-V,Cocks Standard,BURGUNDY,PTMT
129-V,Cocks Standard,GREEN,PTMT
129-V,Cocks Standard,IVORY,PTMT
129-V,Cocks Standard,M GREEN,PTMT
129-V,Cocks Standard,PINK,PTMT
129-V,Cocks Standard,WHITE,PTMT
129-VG,Cocks Premium,,PTMT
129-VP,Cocks Premium,14,PTMT
129-VR,Cocks Premium,,PTMT
129-VW,Cocks Premium,,PTMT
1291,Cocks Standard,BURGUNDY,PTMT
1291,Cocks Standard,GREEN,PTMT
1291,Cocks Standard,IVORY,PTMT
1291,Cocks Standard,M GREEN,PTMT
1291,Cocks Standard,PINK,PTMT
1291,Cocks Standard,WHITE,PTMT
130,Cocks Standard,BLUE,PTMT
130,Cocks Standard,BURGUNDY,PTMT
130,Cocks Standard,GREEN,PTMT
130,Cocks Standard,IVORY,PTMT
130,Cocks Standard,M GREEN,PTMT
130,Cocks Standard,PINK,PTMT
130,Cocks Standard,WHITE,PTMT
130-A,Cocks Standard,WHITE,PTMT
130-AB,Cocks Standard,,PTMT
130-AP,Cocks Standard,IVORY,PTMT
130-AP,Cocks Standard,WHITE,PTMT
130-AS,Cocks Standard,IVORY,PTMT
130-AS,Cocks Standard,WHITE,PTMT
130-B,Cocks Standard,BURGUNDY,PTMT
130-B,Cocks Standard,GREEN,PTMT
130-B,Cocks Standard,IVORY,PTMT
130-B,Cocks Standard,M GREEN,PTMT
130-B,Cocks Standard,PINK,PTMT
130-B,Cocks Standard,WHITE,PTMT
130-C,Cocks Standard,BURGUNDY,PTMT
130-C,Cocks Standard,GREEN,PTMT
130-C,Cocks Standard,IVORY,PTMT
130-C,Cocks Standard,M GREEN,PTMT
130-C,Cocks Standard,PINK,PTMT
130-C,Cocks Standard,WHITE,PTMT
130-D,Cocks Standard,BURGUNDY,PTMT
130-D,Cocks Standard,GREEN,PTMT
130-D,Cocks Standard,IVORY,PTMT
130-D,Cocks Standard,M GREEN,PTMT
130-D,Cocks Standard,PINK,PTMT
130-D,Cocks Standard,WHITE,PTMT
130-DB,Cocks Standard,BLACK,PTMT
130-DG,Cocks Premium,,PTMT
130-DP,Cocks Premium,,PTMT
130-DR,Cocks Premium,,PTMT
130-DW,Cocks Premium,,PTMT
130-E,Cocks Standard,BURGUNDY,PTMT
130-E,Cocks Standard,GREEN,PTMT
130-E,Cocks Standard,IVORY,PTMT
130-E,Cocks Standard,M GREEN,PTMT
130-E,Cocks Standard,PINK,PTMT
130-E,Cocks Standard,WHITE,PTMT
130-EB,Cocks Standard,IVORY,PTMT
130-EB,Cocks Standard,WHITE,PTMT
130-H,Cocks Standard,BURGUNDY,PTMT
130-H,Cocks Standard,GREEN,PTMT
130-H,Cocks Standard,IVORY,PTMT
130-H,Cocks Standard,M GREEN,PTMT
130-H,Cocks Standard,PINK,PTMT
130-H,Cocks Standard,WHITE,PTMT
130-HG,Cocks Premium,,PTMT
130-HP,Cocks Premium,,PTMT
130-HR,Cocks Premium,,PTMT
130-HW,Cocks Premium,,PTMT
130-I,Cocks Standard,IVORY,PTMT
130-I,Cocks Standard,WHITE,PTMT
130-IG,Cocks Premium,,PTMT
130-IP,Cocks Premium,,PTMT
130-IR,Cocks Premium,,PTMT
130-IW,Cocks Premium,,PTMT
130-K,Cocks Standard,WHITE,PTMT
130-L,Cocks Standard,WHITE,PTMT
130-LG,Cocks Premium,,PTMT
130-LP,Cocks Premium,,PTMT
130-LR,Cocks Premium,,PTMT
130-LS,Cocks Standard,WHITE,PTMT
130-LSB,Cocks Standard,BLUE,PTMT
130-LW,Cocks Premium,,PTMT
130-N,Cocks Standard,IVORY,PTMT
130-N,Cocks Standard,WHITE,PTMT
130-NB,Cocks Premium,,PTMT
130-NG,Cocks Premium,,PTMT
130-NP,Cocks Premium,,PTMT
130-NR,Cocks Premium,,PTMT
130-NW,Cocks Premium,,PTMT
130-O,Cocks Standard,BURGUNDY,PTMT
130-O,Cocks Standard,GREEN,PTMT
130-O,Cocks Standard,IVORY,PTMT
130-O,Cocks Standard,M GREEN,PTMT
130-O,Cocks Standard,PINK,PTMT
130-O,Cocks Standard,WHITE,PTMT
130-P,Cocks Standard,BURGUNDY,PTMT
130-P,Cocks Standard,GREEN,PTMT
130-P,Cocks Standard,IVORY,PTMT
130-P,Cocks Standard,M GREEN,PTMT
130-P,Cocks Standard,PINK,PTMT
130-P,Cocks Standard,WHITE,PTMT
130-Q,Cocks Standard,BURGUNDY,PTMT
130-Q,Cocks Standard,GREEN,PTMT
130-Q,Cocks Standard,IVORY,PTMT
130-Q,Cocks Standard,M GREEN,PTMT
130-Q,Cocks Standard,PINK,PTMT
130-Q,Cocks Standard,WHITE,PTMT
130-QG,Cocks Premium,,PTMT
130-QP,Cocks Premium,,PTMT
130-QR,Cocks Premium,36,PTMT
130-QW,Cocks Premium,,PTMT
130-R,Cocks Standard,BURGUNDY,PTMT
130-R,Cocks Standard,GREEN,PTMT
130-R,Cocks Standard,IVORY,PTMT
130-R,Cocks Standard,M GREEN,PTMT
130-R,Cocks Standard,PINK,PTMT
130-R,Cocks Standard,WHITE,PTMT
130-RG,Cocks Premium,,PTMT
130-RN,Cocks Premium,34,PTMT
130-RN,Cocks Standard,IVORY,PTMT
130-RN,Cocks Standard,WHITE,PTMT
130-RNG,Cocks Premium,,PTMT
130-RNP,Cocks Premium,,PTMT
130-RNR,Cocks Premium,,PTMT
130-RNW,Cocks Premium,,PTMT
130-RP,Cocks Premium,,PTMT
130-RR,Cocks Premium,,PTMT
130-RW,Cocks Premium,,PTMT
130-S,Cocks Standard,BURGUNDY,PTMT
130-S,Cocks Standard,GREEN,PTMT
130-S,Cocks Standard,IVORY,PTMT
130-S,Cocks Standard,M GREEN,PTMT
130-S,Cocks Standard,PINK,PTMT
130-S,Cocks Standard,WHITE,PTMT
130-SG,Cocks Premium,,PTMT
130-SP,Cocks Premium,,PTMT
130-SR,Cocks Premium,,PTMT
130-SW,Cocks Premium,,PTMT
130-U,Cocks Standard,BURGUNDY,PTMT
130-U,Cocks Standard,GREEN,PTMT
130-U,Cocks Standard,IVORY,PTMT
130-U,Cocks Standard,M GREEN,PTMT
130-U,Cocks Standard,PINK,PTMT
130-U,Cocks Standard,WHITE,PTMT
130-UG,Cocks Premium,,PTMT
130-UP,Cocks Premium,30,PTMT
130-UR,Cocks Premium,13,PTMT
130-UW,Cocks Premium,,PTMT
130-V,Cocks Standard,BURGUNDY,PTMT
130-V,Cocks Standard,GREEN,PTMT
130-V,Cocks Standard,IVORY,PTMT
130-V,Cocks Standard,M GREEN,PTMT
130-V,Cocks Standard,PINK,PTMT
130-V,Cocks Standard,WHITE,PTMT
130-VG,Cocks Premium,,PTMT
130-VP,Cocks Premium,60,PTMT
130-VR,Cocks Premium,,PTMT
130-VW,Cocks Premium,,PTMT
131,Cocks Standard,BURGUNDY,PTMT
131,Cocks Standard,GREEN,PTMT
131,Cocks Standard,IVORY,PTMT
131,Cocks Standard,M GREEN,PTMT
131,Cocks Standard,PINK,PTMT
131,Cocks Standard,WHITE,PTMT
131-A,Cocks Standard,IVORY,PTMT
131-A,Cocks Standard,WHITE,PTMT
131-AB,Cocks Standard,,PTMT
131-C,Cocks Standard,BURGUNDY,PTMT
131-C,Cocks Standard,GREEN,PTMT
131-C,Cocks Standard,IVORY,PTMT
131-C,Cocks Standard,M GREEN,PTMT
131-C,Cocks Standard,PINK,PTMT
131-C,Cocks Standard,WHITE,PTMT
131-D,Cocks Standard,IVORY,PTMT
131-DB,Cocks Standard,BLACK,PTMT
131-DG,Cocks Standard,,PTMT
131-DP,Cocks Standard,PEACH,PTMT
131-DR,Cocks Standard,R BLUE,PTMT
131-DW,Cocks Standard,,PTMT
131-H,Cocks Standard,BURGUNDY,PTMT
131-H,Cocks Standard,GREEN,PTMT
131-H,Cocks Standard,IVORY,PTMT
131-H,Cocks Standard,M GREEN,PTMT
131-H,Cocks Standard,PINK,PTMT
131-H,Cocks Standard,WHITE,PTMT
131-HG,Cocks Premium,,PTMT
131-HP,Cocks Premium,,PTMT
131-HR,Cocks Premium,,PTMT
131-HW,Cocks Premium,,PTMT
131-I,Cocks Standard,IVORY,PTMT
131-I,Cocks Standard,WHITE,PTMT
131-IG,Cocks Premium,,PTMT
131-IP,Cocks Premium,,PTMT
131-IR,Cocks Premium,,PTMT
131-IW,Cocks Premium,,PTMT
131-K,Cocks Standard,WHITE,PTMT
131-L,Cocks Standard,WHITE,PTMT
131-LG,Cocks Premium,,PTMT
131-LP,Cocks Premium,,PTMT
131-LR,Cocks Premium,,PTMT
131-LS,Cocks Standard,WHITE,PTMT
131-LSB,Cocks Standard,BLUE,PTMT
131-LW,Cocks Premium,,PTMT
131-N,Cocks Standard,BURGUNDY,PTMT
131-N,Cocks Standard,GREEN,PTMT
131-N,Cocks Standard,IVORY,PTMT
131-N,Cocks Standard,M GREEN,PTMT
131-N,Cocks Standard,PINK,PTMT
131-N,Cocks Standard,WHITE,PTMT
131-NP,Cocks Standard,BURGUNDY,PTMT
131-NP,Cocks Standard,GREEN,PTMT
131-NP,Cocks Standard,IVORY,PTMT
131-NP,Cocks Standard,M GREEN,PTMT
131-NP,Cocks Standard,PINK,PTMT
131-NP,Cocks Standard,WHITE,PTMT
131-O,Cocks Standard,BURGUNDY,PTMT
131-O,Cocks Standard,GREEN,PTMT
131-O,Cocks Standard,IVORY,PTMT
131-O,Cocks Standard,M GREEN,PTMT
131-O,Cocks Standard,PINK,PTMT
131-O,Cocks Standard,WHITE,PTMT
131-P,Cocks Standard,BURGUNDY,PTMT
131-P,Cocks Standard,GREEN,PTMT
131-P,Cocks Standard,IVORY,PTMT
131-P,Cocks Standard,M GREEN,PTMT
131-P,Cocks Standard,PINK,PTMT
131-P,Cocks Standard,WHITE,PTMT
1311,Cocks Standard,BURGUNDY,PTMT
1311,Cocks Standard,GREEN,PTMT
1311,Cocks Standard,IVORY,PTMT
1311,Cocks Standard,M GREEN,PTMT
1311,Cocks Standard,PINK,PTMT
1311,Cocks Standard,WHITE,PTMT
1311-C,Cocks Standard,BURGUNDY,PTMT
1311-C,Cocks Standard,GREEN,PTMT
1311-C,Cocks Standard,IVORY,PTMT
1311-C,Cocks Standard,M GREEN,PTMT
1311-C,Cocks Standard,PINK,PTMT
1311-C,Cocks Standard,WHITE,PTMT
1311-H,Cocks Standard,BURGUNDY,PTMT
1311-H,Cocks Standard,GREEN,PTMT
1311-H,Cocks Standard,IVORY,PTMT
1311-H,Cocks Standard,M GREEN,PTMT
1311-H,Cocks Standard,PINK,PTMT
1311-H,Cocks Standard,WHITE,PTMT
1311-HG,Cocks Premium,,PTMT
1311-HP,Cocks Premium,,PTMT
1311-HR,Cocks Premium,,PTMT
1311-HW,Cocks Premium,,PTMT
1311-K,Cocks Standard,WHITE,PTMT
1311-N,Cocks Standard,BURGUNDY,PTMT
1311-N,Cocks Standard,GREEN,PTMT
1311-N,Cocks Standard,IVORY,PTMT
1311-N,Cocks Standard,M GREEN,PTMT
1311-N,Cocks Standard,PINK,PTMT
1311-N,Cocks Standard,WHITE,PTMT
132,Cocks Standard,BURGUNDY,PTMT
132,Cocks Standard,GREEN,PTMT
132,Cocks Standard,IVORY,PTMT
132,Cocks Standard,M GREEN,PTMT
132,Cocks Standard,PINK,PTMT
132,Cocks Standard,WHITE,PTMT
132-A,Cocks Standard,IVORY,PTMT
132-A,Cocks Standard,WHITE,PTMT
132-AB,Cocks Standard,,PTMT
132-AP,Cocks Standard,IVORY,PTMT
132-AP,Cocks Standard,WHITE,PTMT
132-AS,Cocks Standard,IVORY,PTMT
132-AS,Cocks Standard,WHITE,PTMT
132-B,Cocks Standard,BURGUNDY,PTMT
132-B,Cocks Standard,GREEN,PTMT
132-B,Cocks Standard,IVORY,PTMT
132-B,Cocks Standard,M GREEN,PTMT
132-B,Cocks Standard,PINK,PTMT
132-B,Cocks Standard,WHITE,PTMT
132-C,Cocks Standard,BURGUNDY,PTMT
132-C,Cocks Standard,GREEN,PTMT
132-C,Cocks Standard,IVORY,PTMT
132-C,Cocks Standard,M GREEN,PTMT
132-C,Cocks Standard,PINK,PTMT
132-C,Cocks Standard,WHITE,PTMT
132-D,Cocks Standard,BURGUNDY,PTMT
132-D,Cocks Standard,GREEN,PTMT
132-D,Cocks Standard,IVORY,PTMT
132-D,Cocks Standard,M GREEN,PTMT
132-D,Cocks Standard,PINK,PTMT
132-D,Cocks Standard,WHITE,PTMT
132-DB,Cocks Standard,BLACK,PTMT
132-DG,Cocks Premium,,PTMT
132-DP,Cocks Premium,,PTMT
132-DR,Cocks Premium,,PTMT
132-DW,Cocks Premium,,PTMT
132-E,Cocks Standard,BURGUNDY,PTMT
132-E,Cocks Standard,GREEN,PTMT
132-E,Cocks Standard,IVORY,PTMT
132-E,Cocks Standard,M GREEN,PTMT
132-E,Cocks Standard,PINK,PTMT
132-E,Cocks Standard,WHITE,PTMT
132-EB,Cocks Standard,WHITE,PTMT
132-H,Cocks Standard,BURGUNDY,PTMT
132-H,Cocks Standard,IVORY,PTMT
132-H,Cocks Standard,PINK,PTMT
132-H,Cocks Standard,WHITE,PTMT
132-HG,Cocks Premium,,PTMT
132-HP,Cocks Premium,,PTMT
132-HR,Cocks Premium,,PTMT
132-HW,Cocks Premium,,PTMT
132-I,Cocks Standard,IVORY,PTMT
132-I,Cocks Standard,WHITE,PTMT
132-IG,Cocks Premium,,PTMT
132-IP,Cocks Premium,,PTMT
132-IR,Cocks Premium,,PTMT
132-IW,Cocks Premium,,PTMT
132-K,Cocks Standard,WHITE,PTMT
132-L,Cocks Standard,IVORY,PTMT
132-L,Cocks Standard,WHITE,PTMT
132-LG,Cocks Premium,,PTMT
132-LP,Cocks Premium,,PTMT
132-LR,Cocks Premium,,PTMT
132-LS,Cocks Standard,WHITE,PTMT
132-LSB,Cocks Standard,BLUE,PTMT
132-LST,Cocks Standard,,PTMT
132-LSTB,Cocks Standard,BLUE,PTMT
132-LW,Cocks Premium,,PTMT
132-N,Cocks Standard,IVORY,PTMT
132-N,Cocks Standard,WHITE,PTMT
132-NB,Cocks Premium,,PTMT
132-NG,Cocks Premium,,PTMT
132-NP,Cocks Premium,,PTMT
132-NR,Cocks Premium,,PTMT
132-NW,Cocks Premium,,PTMT
132-O,Cocks Standard,BURGUNDY,PTMT
132-O,Cocks Standard,GREEN,PTMT
132-O,Cocks Standard,IVORY,PTMT
132-O,Cocks Standard,M GREEN,PTMT
132-O,Cocks Standard,PINK,PTMT
132-O,Cocks Standard,WHITE,PTMT
132-OT,Cocks Standard,BURGUNDY,PTMT
132-OT,Cocks Standard,GREEN,PTMT
132-OT,Cocks Standard,IVORY,PTMT
132-OT,Cocks Standard,M GREEN,PTMT
132-OT,Cocks Standard,PINK,PTMT
132-OT,Cocks Standard,WHITE,PTMT
132-P,Cocks Standard,BURGUNDY,PTMT
132-P,Cocks Standard,GREEN,PTMT
132-P,Cocks Standard,IVORY,PTMT
132-P,Cocks Standard,M GREEN,PTMT
132-P,Cocks Standard,PINK,PTMT
132-P,Cocks Standard,WHITE,PTMT
132-Q,Cocks Standard,BURGUNDY,PTMT
132-Q,Cocks Standard,GREEN,PTMT
132-Q,Cocks Standard,IVORY,PTMT
132-Q,Cocks Standard,M GREEN,PTMT
132-Q,Cocks Standard,PINK,PTMT
132-Q,Cocks Standard,WHITE,PTMT
132-QG,Cocks Premium,,PTMT
132-QP,Cocks Premium,,PTMT
132-QR,Cocks Premium,62,PTMT
132-QW,Cocks Premium,,PTMT
132-R,Cocks Standard,BURGUNDY,PTMT
132-R,Cocks Standard,GREEN,PTMT
132-R,Cocks Standard,IVORY,PTMT
132-R,Cocks Standard,M GREEN,PTMT
132-R,Cocks Standard,PINK,PTMT
132-R,Cocks Standard,WHITE,PTMT
132-RG,Cocks Premium,,PTMT
132-RP,Cocks Premium,,PTMT
132-RR,Cocks Premium,,PTMT
132-RW,Cocks Premium,3,PTMT
132-S,Cocks Standard,BURGUNDY,PTMT
132-S,Cocks Standard,GREEN,PTMT
132-S,Cocks Standard,IVORY,PTMT
132-S,Cocks Standard,M GREEN,PTMT
132-S,Cocks Standard,PINK,PTMT
132-S,Cocks Standard,WHITE,PTMT
132-SG,Cocks Premium,,PTMT
132-SP,Cocks Premium,,PTMT
132-SR,Cocks Premium,,PTMT
132-SW,Cocks Premium,,PTMT
132-T,Cocks Standard,BURGUNDY,PTMT
132-T,Cocks Standard,GREEN,PTMT
132-T,Cocks Standard,IVORY,PTMT
132-T,Cocks Standard,M GREEN,PTMT
132-T,Cocks Standard,PINK,PTMT
132-T,Cocks Standard,WHITE,PTMT
132-U,Cocks Standard,BURGUNDY,PTMT
132-U,Cocks Standard,GREEN,PTMT
132-U,Cocks Standard,IVORY,PTMT
132-U,Cocks Standard,M GREEN,PTMT
132-U,Cocks Standard,PINK,PTMT
132-U,Cocks Standard,WHITE,PTMT
132-UG,Cocks Premium,,PTMT
132-UP,Cocks Premium,,PTMT
132-UR,Cocks Premium,9,PTMT
132-UW,Cocks Premium,,PTMT
132-V,Cocks Standard,BURGUNDY,PTMT
132-V,Cocks Standard,GREEN,PTMT
132-V,Cocks Standard,IVORY,PTMT
132-V,Cocks Standard,M GREEN,PTMT
132-V,Cocks Standard,PINK,PTMT
132-V,Cocks Standard,WHITE,PTMT
132-VG,Cocks Premium,,PTMT
132-VP,Cocks Premium,,PTMT
132-VR,Cocks Premium,,PTMT
132-VW,Cocks Premium,,PTMT
1321,Cocks Standard,BURGUNDY,PTMT
1321,Cocks Standard,GREEN,PTMT
1321,Cocks Standard,IVORY,PTMT
1321,Cocks Standard,M GREEN,PTMT
1321,Cocks Standard,PINK,PTMT
1321,Cocks Standard,WHITE,PTMT
1322-AP,Cocks Standard,IVORY,PTMT
1322-AP,Cocks Standard,WHITE,PTMT
1322-AS,Cocks Standard,IVORY,PTMT
1322-AS,Cocks Standard,WHITE,PTMT
1322-B,Cocks Standard,BURGUNDY,PTMT
1322-B,Cocks Standard,GREEN,PTMT
1322-B,Cocks Standard,IVORY,PTMT
1322-B,Cocks Standard,M GREEN,PTMT
1322-B,Cocks Standard,PINK,PTMT
1322-B,Cocks Standard,WHITE,PTMT
1322-D,Cocks Standard,IVORY,PTMT
1322-D,Cocks Standard,WHITE,PTMT
1322-DB,Cocks Standard,BLACK,PTMT
1322-DG,Cocks Premium,,PTMT
1322-DP,Cocks Premium,,PTMT
1322-DR,Cocks Premium,,PTMT
1322-DW,Cocks Premium,,PTMT
1322-EB,Cocks Standard,IVORY,PTMT
1322-EB,Cocks Standard,WHITE,PTMT
1322-HN,Cocks Premium,,PTMT
1322-HN,Cocks Standard,IVORY,PTMT
1322-HN,Cocks Standard,WHITE,PTMT
1322-HNG,Cocks Premium,,PTMT
1322-HNP,Cocks Premium,,PTMT
1322-HNR,Cocks Premium,,PTMT
1322-HNW,Cocks Premium,,PTMT
1322-S,Cocks Standard,BURGUNDY,PTMT
1322-S,Cocks Standard,GREEN,PTMT
1322-S,Cocks Standard,IVORY,PTMT
1322-S,Cocks Standard,M GREEN,PTMT
1322-S,Cocks Standard,PINK,PTMT
1322-S,Cocks Standard,WHITE,PTMT
1322-SG,Cocks Premium,,PTMT
1322-SP,Cocks Premium,,PTMT
1322-SR,Cocks Premium,,PTMT
1322-SW,Cocks Premium,,PTMT
1322-V,Cocks Standard,BURGUNDY,PTMT
1322-V,Cocks Standard,GREEN,PTMT
1322-V,Cocks Standard,IVORY,PTMT
1322-V,Cocks Standard,M GREEN,PTMT
1322-V,Cocks Standard,PINK,PTMT
1322-V,Cocks Standard,WHITE,PTMT
1322-VG,Cocks Premium,,PTMT
1322-VP,Cocks Premium,78,PTMT
1322-VR,Cocks Premium,,PTMT
1322-VW,Cocks Premium,,PTMT
1323,Cocks Standard,BURGUNDY,PTMT
1323,Cocks Standard,GREEN,PTMT
1323,Cocks Standard,IVORY,PTMT
1323,Cocks Standard,M GREEN,PTMT
