id,item_code,colour,avg_3mo_sale,stock,pending_current,pending_last_month
419554,125-O,WHITE,528,0,0,359
419555,125-S,IVORY,126,21,0,0
419556,125-S,WHITE,54,393,0,0
419557,125-WS,IVORY,180,202,0,0
419558,125-WS,WHITE,252,82,0,0
419559,126,,0,0,0,0
419560,126,IVORY,43.33,0,0,0
419561,126,WHITE,83.33,0,0,0
419562,126-I,,0,0,0,0
419563,126-SQ,,100,0,0,0
419564,126-SQ,,100,0,0,0
419565,126-SQ,IVORY,0,0,0,0
419566,126-SQ,PINK,0,0,0,0
419567,126-SQ,WHITE,0,0,0,0
419568,127,BURGUNDY,0,0,0,0
419569,127,GREEN,0,0,0,0
419570,127,IVORY,1414.67,0,0,728
419571,127,M GREEN,0,0,0,0
419572,127,PINK,0,0,0,0
419573,127,WHITE,2497.33,0,0,1223
419574,127-7E,,0,0,0,0
419575,127-A,WHITE,22,40,0,0
419576,127-AB,,0,0,0,0
419577,127-AP,IVORY,0,153,0,0
419578,127-AP,WHITE,0,37,0,0
419579,127-AS,IVORY,132,11,0,0
419580,127-AS,WHITE,44,102,0,0
419581,127-B,BURGUNDY,0,0,0,0
419582,127-B,GREEN,0,0,0,0
419583,127-B,IVORY,88,28,0,0
419584,127-B,M GREEN,0,0,0,0
419585,127-B,PINK,0,0,0,0
419586,127-B,WHITE,44,77,0,0
419587,127-C,BURGUNDY,0,0,0,0
419588,127-C,GREEN,0,0,0,0
419589,127-C,IVORY,0,0,0,0
419590,127-C,M GREEN,0,0,0,0
419591,127-C,PINK,0,0,0,0
419592,127-C,WHITE,990,0,0,569
419593,127-D,WHITE,11,15,33,0
419594,127-DB,BLACK,99,0,0,209
419595,127-DG,,0,0,0,0
419596,127-DP,PEACH,13,88,0,0
419597,127-DR,R BLUE,0,101,0,0
419598,127-DW,,0,0,33,0
419599,127-E,BURGUNDY,0,0,0,0
419600,127-E,GREEN,0,0,0,0
419601,127-E,IVORY,0,218,0,0
419602,127-E,M GREEN,0,0,0,0
419603,127-E,PINK,0,0,0,0
419604,127-E,WHITE,23,80,0,0
419605,127-EB,IVORY,0,89,0,0
419606,127-EB,WHITE,198,0,0,230
419607,127-H,BURGUNDY,0,0,0,0
419608,127-H,GREEN,0,0,0,0
419609,127-H,IVORY,0,240,0,0
419610,127-H,M GREEN,0,0,0,0
419611,127-H,PINK,0,0,0,0
419612,127-H,WHITE,484,526,0,0
419613,127-HG,,22,0,0,61
419614,127-HP,,0,113,0,0
419615,127-HR,,0,159,0,0
419616,127-HW,,22,0,0,50
419617,127-K,WHITE,330,0,0,872
419618,127-LS,WHITE,0,29,0,0
