item_code,colour,category,issued_demand
130-QR,36,Cocks Premium,294.33
130-QW,,Cocks Premium,0
130-RG,,Cocks Premium,21
130-RNG,,Cocks Premium,0
130-RNP,,Cocks Premium,0
130-RNR,,Cocks Premium,0
130-RNW,,Cocks Premium,0
130-RP,,Cocks Premium,0
130-RR,,Cocks Premium,0
130-RW,,Cocks Premium,0
130-SG,,Cocks Premium,0
130-SP,,Cocks Premium,227
130-SR,,Cocks Premium,671
130-SW,,Cocks Premium,0
130-UG,,Cocks Premium,0
130-UP,30,Cocks Premium,0
130-UR,13,Cocks Premium,19
130-UW,,Cocks Premium,0
130-VG,,Cocks Premium,25
130-VP,60,Cocks Premium,38
130-VR,,Cocks Premium,0
130-VW,,Cocks Premium,0
131-HG,,Cocks Premium,0
131-HP,,Cocks Premium,0
131-HR,,Cocks Premium,0
131-HW,,Cocks Premium,0
131-IG,,Cocks Premium,0
131-IP,,Cocks Premium,0
131-IR,,Cocks Premium,0
131-IW,,Cocks Premium,0
131-LG,,Cocks Premium,0
131-LP,,Cocks Premium,0
131-LR,,Cocks Premium,0
131-LW,,Cocks Premium,0
1311-HG,,Cocks Premium,0
1311-HP,,Cocks Premium,0
1311-HR,,Cocks Premium,15
1311-HW,,Cocks Premium,0
132-DG,,Cocks Premium,0
132-DP,,Cocks Premium,10.67
132-DR,,Cocks Premium,236.33
132-DW,,Cocks Premium,14
132-HG,,Cocks Premium,0
132-HP,,Cocks Premium,0
132-HR,,Cocks Premium,0
132-HW,,Cocks Premium,0
132-IG,,Cocks Premium,4.33
132-IP,,Cocks Premium,40.33
132-IR,,Cocks Premium,0
132-IW,,Cocks Premium,0
132-LG,,Cocks Premium,0
132-LP,,Cocks Premium,0
132-LR,,Cocks Premium,0
132-LW,,Cocks Premium,0
132-NB,,Cocks Premium,26.67
132-NG,,Cocks Premium,0
132-NP,,Cocks Premium,0
132-NR,,Cocks Premium,0
132-NW,,Cocks Premium,0
132-QG,,Cocks Premium,9
132-QP,,Cocks Premium,24.33
132-QR,62,Cocks Premium,460
132-QW,,Cocks Premium,0
132-RG,,Cocks Premium,0
132-RP,,Cocks Premium,0
