segment,code,category,colour,initial_gap_reason,post_audit_status,catalogue_presence
PTMT,CH-01,Accessorise,WHITE,catalogue-code-present-under-other-segment,map-to-PTMT-for-exact-combined-division,null/Ceramic Sanitaryware | PTMT & Plastic Fittings
PTMT,CNS-15,Accessorise,.,catalogue-code-present-under-other-segment,manual-review,null/CP Fittings / Faucets | PTMT & Plastic Fittings
PTMT,CNS-20,Accessorise,.,catalogue-code-present-under-other-segment,manual-review,null/CP Fittings / Faucets | PTMT & Plastic Fittings
PTMT,CS-01,Accessorise,IVORY,catalogue-code-present-under-other-segment,map-to-PTMT-for-exact-combined-division,null/Ceramic Sanitaryware | PTMT & Plastic Fittings
PTMT,DB-01,Accessorise,IVORY,catalogue-code-present-under-other-segment,map-to-PTMT-for-exact-combined-division,null/Ceramic Sanitaryware | PTMT & Plastic Fittings
PTMT,DB-02,Accessorise,IVORY,catalogue-code-present-under-other-segment,map-to-PTMT-for-exact-combined-division,null/Ceramic Sanitaryware | PTMT & Plastic Fittings
PTMT,DB-04,Accessorise,IVORY,catalogue-code-present-under-other-segment,map-to-PTMT-for-exact-combined-division,null/Ceramic Sanitaryware | PTMT & Plastic Fittings
PTMT,DF-01,Accessorise,.,catalogue-code-present-under-other-segment,map-to-PTMT-for-exact-combined-division,null/Ceramic Sanitaryware | PTMT & Plastic Fittings
PTMT,H-86,Faucets & Jetsprays & Shower,IVORY,catalogue-code-present-under-other-segment,manual-review,null/CP (QUAA / FERN)
PTMT,H-87,Faucets & Jetsprays & Shower,IVORY,catalogue-code-present-under-other-segment,manual-review,null/CP (QUAA / FERN)
PTMT,H-88,Faucets & Jetsprays & Shower,IVORY,catalogue-code-present-under-other-segment,manual-review,null/CP (QUAA / FERN)
PTMT,LB-01,Accessorise,IVORY,catalogue-code-present-under-other-segment,map-to-PTMT-for-exact-combined-division,null/Ceramic Sanitaryware | PTMT & Plastic Fittings
PTMT,SB-01,Accessorise,WHITE,catalogue-code-present-under-other-segment,map-to-PTMT-for-exact-combined-division,null/Ceramic Sanitaryware | PTMT & Plastic Fittings
PTMT,SF-01,Accessorise,.,catalogue-code-present-under-other-segment,map-to-PTMT-for-exact-combined-division,null/Ceramic Sanitaryware | PTMT & Plastic Fittings
PTMT,SP-02,Accessorise,IVORY,catalogue-code-present-under-other-segment,map-to-PTMT-for-exact-combined-division,null/Ceramic Sanitaryware | PTMT & Plastic Fittings
