id,run_id,cat_no,colour,qty
1,5,SNPTCSL-1,WHITE,20
2,5,SNPTCSL-9,IVORY,20
3,5,SNPTC-1,WHITE,20
4,5,SNPTC-9,IVORY,20
5,5,SNPT-89HF,WHITE,50
6,5,131-D,IVORY,13
7,5,124-Q,IVORY,0
8,5,144-Q,IVORY,0
9,5,129-Q,IVORY,0
10,5,132-Q,IVORY,0
11,5,145-Q,IVORY,0
12,5,1375-Q,IVORY,0
13,5,127-QP,PEACH,0
14,5,704,WHITE,0
15,5,P-121,GREY,0
16,5,P-124,GREY,0
17,5,P-144,GREY,0
18,5,323,WHITE,0
19,5,3272,WHITE,0
20,5,3272-B,WHITE,0
21,5,103,WHITE,0
22,5,1815-C,IVORY,0
23,5,1817-C,IVORY,0
24,5,1821-C,IVORY,0
25,5,188,WHITE,0
26,5,5221,WHITE,0
27,5,183,IVORY,0
28,5,169,,0
29,5,175,GREEN,0
30,5,123-Q,IVORY,0
31,5,124-QB,BLACK,0
32,5,144-QB,BLACK,0
33,5,1375-QP,PEACH,0
34,5,1831,IVORY,0
35,5,127-Q,IVORY,0
36,5,133-Q,IVORY,0
37,5,133-QB,BLACK,0
38,5,134-QB,BLACK,0
39,5,135-QB,BLACK,0
40,5,1375-QB,BLACK,0
41,5,145-QB,BLACK,0
42,5,131-DP,PEACH,10
43,5,145-I,WHITE,23
44,5,129,WHITE,0
45,5,130,WHITE,0
46,5,131,WHITE,0
47,5,132,WHITE,0
48,5,144,WHITE,0
49,5,145,WHITE,0
50,5,147,WHITE,0
51,5,127,WHITE,0
52,5,124,WHITE,0
53,5,123,WHITE,0
54,5,149-N,WHITE,0
55,5,147-SQ,WHITE,0
56,5,133-NEW,WHITE,0
57,5,132-T,WHITE,0
58,5,131-N,WHITE,0
59,5,1375-S,WHITE,0
60,5,122-I,WHITE,0
61,5,123-N,WHITE,0
62,5,130-I,WHITE,0
63,5,132-I,WHITE,0
64,5,133-I,WHITE,0
65,5,144-I,WHITE,0
66,5,150-I,WHITE,0
67,5,134,WHITE,0
68,5,135,WHITE,0
69,5,123-I,WHITE,0
70,5,667,WHITE,36
71,5,120-WS,WHITE,0
72,5,PTA-14,WHITE,0
73,5,PTA-52,WHITE,0
74,5,PTA-63,WHITE,0
75,5,PTA-69,WHITE,0
76,5,PTA-70,WHITE,0
77,5,PTA-71,WHITE,0
78,5,PTA-78,WHITE,0
79,5,3451,WHITE,0
80,5,3727,WHITE,0
81,5,PTA-3,WHITE,0
82,5,663,WHITE,0
83,5,665,WHITE,0
84,5,506,WHITE,50
85,5,CWP-01,WHITE,0
86,5,321,WHITE,0
87,5,325,WHITE,0
88,5,326,WHITE,0
89,5,513,PINK,0
90,5,513,BLUE,0
91,5,517,GREEN,0
92,5,701,BLUE,0
93,5,701,PINK,0
94,5,130,WHITE,0
95,5,142,WHITE,0
96,5,145,WHITE,0
97,5,147,WHITE,0
98,5,181-C,WHITE,0
99,5,1813-C,WHITE,0
100,5,144,WHITE,0
101,5,183,WHITE,0
102,5,107,WHITE,0
103,5,187-R,R BLUE,0
104,5,149-N,WHITE,0
105,5,LF-153,,0
106,5,LF-154,,0
107,5,151,GOLD,0
108,5,121-HR,R BLUE,0
109,5,129-HR,R BLUE,0
110,5,144-HR,R BLUE,0
111,5,121-HW,WINE,0
112,5,144-HW,WINE,0
113,5,144-QR,R BLUE,0
114,5,147-QR,R BLUE,0
115,5,1375-S,WHITE,0
116,5,123-QR,R BLUE,0
117,5,129-QR,R BLUE,0
118,5,130-QR,R BLUE,0
119,5,132-QR,R BLUE,0
120,5,187-W,WINE,0
121,5,1375-A,WHITE,24
122,5,121-A,WHITE,0
123,5,144-A,WHITE,0
124,5,1813-B,WHITE,0
125,5,121-SR,R BLUE,0
126,5,124,WHITE,0
127,5,1817-C,WHITE,0
128,5,188,WHITE,0
129,5,151,GOLD,0
130,5,152,GOLD,0
131,5,153,GOLD,0
132,5,145-V,IVORY,30
133,5,124-F,IVORY,0
134,5,129,IVORY,0
135,5,1813-C,IVORY,0
136,5,200,IVORY,0
137,5,132-T,IVORY,0
138,5,131-N,IVORY,0
139,5,121,IVORY,0
140,5,123,IVORY,0
141,5,144,IVORY,0
142,5,324,WHITE,0
143,5,325,WHITE,0
144,5,120-WS,IVORY,0
145,5,187,IVORY,0
146,5,132-RG,GOLD,0
147,5,132-RR,R BLUE,0
148,5,132-RW,WINE,0
149,5,1817-C,IVORY,0
150,5,130-Q,IVORY,0
151,5,132-R,IVORY,0
152,5,P-121,GREY,0
153,5,P-144,GREY,0
154,5,1391,IVORY,0
155,5,136-L,WHITE,50
156,5,1375-C,WHITE,0
157,5,1375-S,WHITE,0
158,5,LF-153,,0
159,5,LF-154,,0
160,5,LF-156,,0
161,5,119,WHITE,0
162,5,LF-155,,0
163,5,123-DR,R BLUE,0
164,5,124-DR,R BLUE,0
165,5,186,WHITE,0
166,5,103,WHITE,0
167,5,105,WHITE,0
168,5,115,WHITE,0
169,5,120,WHITE,0
170,5,124,WHITE,0
171,5,129,WHITE,0
172,5,130,WHITE,0
173,5,132,WHITE,0
174,5,140,WHITE,0
175,5,141,WHITE,0
176,5,144,WHITE,0
177,5,147,WHITE,0
178,5,P-121,GREY,0
179,5,P-124,GREY,0
180,5,PS-121,GREY,0
181,5,PS-124,GREY,0
182,5,PS-144,GREY,0
183,5,121,WHITE,0
184,5,152,GOLD,0
185,5,153,GOLD,0
186,5,155,GOLD,0
187,5,187,WHITE,0
188,5,188,WHITE,0
189,5,189,WHITE,0
190,5,191,WHITE,0
191,5,195,WHITE,0
192,5,323,WHITE,0
193,5,324,WHITE,0
194,5,1391,WHITE,0
195,5,3272,WHITE,0
196,5,120-C,WHITE,0
197,5,120-M,WHITE,0
198,5,120-S,WHITE,0
199,5,120-W,WHITE,0
200,5,120-WS,WHITE,0
201,5,123-C,WHITE,0
202,5,124-C,WHITE,0
203,5,124-W,WHITE,0
204,5,125-S,WHITE,0
205,5,131,WHITE,0
206,5,132-C,WHITE,0
207,5,132-T,WHITE,0
208,5,144-C,WHITE,0
209,5,144-T,WHITE,0
210,5,147-SQ,WHITE,0
211,5,1491-C,WHITE,0
212,5,149-N,WHITE,0
213,5,1815-C,WHITE,0
214,5,181-C,WHITE,0
215,5,228-Q,WHITE,0
216,5,228-QT,WHITE,0
217,5,3272-B,WHITE,0
218,5,CF-01,WHITE,0
219,5,CF-03,WHITE,0
220,5,107,WHITE,0
221,5,156,GOLD,0
222,5,153-S,GOLD,0
223,5,184,WHITE,0
224,5,1375-A,WHITE,24
225,5,1375-HW,WINE,0
226,5,1375-S,WHITE,0
227,5,123-AF,WHITE,0
228,5,131-A,WHITE,0
229,5,LB-01,WHITE,0
230,5,143,WHITE,0
