source_tab,source_row,SO NO,SO Date,PARTY NAME,State,PO No.,Item Group,Item Code,Item Name,COLOR,COLUOR,Size,Description,So Qty,Rate,So Amount,Inv. Qty,Bal. Qty,Bal. Value,Stock Qty,1,2,3,4,SEGMENT,STATE HEAD,STATE,STATE HEAD B,STATE HEAD  A
report,2,72600002,9-Apr-2026,ASHISH BATH GALAXY,,,GP-364-TT,GARDEN PIPE TRANSPARENT PLAIN 30 MTRS 25MM,,,,,,,,6,,6,4950,,,,,,GARDEN PIPE,SANDEEP JI,W-BENGAL,GARDEN PIPESANDEEP JIW-BENGAL,SANDEEP JI
report,3,72600002,9-Apr-2026,ASHISH BATH GALAXY,,,GP-364-TB,GARDEN PIPE TRANSPARENT BLUE PLAIN 30 MTRS 25MM,,,,,,,,6,,6,4950,,,,,,GARDEN PIPE,SANDEEP JI,W-BENGAL,GARDEN PIPESANDEEP JIW-BENGAL,SANDEEP JI
report,4,72600004,9-Apr-2026,LAXMI STORES (BURDWAN),,,WT-4LC-05,WATER TANK 4 LAYER COLOUR 500 LTR,BLUE,,,,,,,1,,1,3925,,,,,,WATER TANK,SANDEEP JI,W-BENGAL,WATER TANKSANDEEP JIW-BENGAL,SANDEEP JI
report,5,72600004,9-Apr-2026,LAXMI STORES (BURDWAN),,,WT-3LL-10,WATER TANK 3 LAYER LIGHT 1000 LTR,WHITE,,,,,,,2,,2,12501,,,,,,WATER TANK,SANDEEP JI,W-BENGAL,WATER TANKSANDEEP JIW-BENGAL,SANDEEP JI
report,6,72600004,9-Apr-2026,LAXMI STORES (BURDWAN),,,WT-3LC-10,WATER TANK 3 LAYER COLOUR 1000 LTR,BLUE,,,,,,,1,,1,6251,,,,,,WATER TANK,SANDEEP JI,W-BENGAL,WATER TANKSANDEEP JIW-BENGAL,SANDEEP JI
report,7,72600004,9-Apr-2026,LAXMI STORES (BURDWAN),,,WT-3LC-10,WATER TANK 3 LAYER COLOUR 1000 LTR,P.GREEN,,,,,,,1,,1,6251,,,,,,WATER TANK,SANDEEP JI,W-BENGAL,WATER TANKSANDEEP JIW-BENGAL,SANDEEP JI
report,8,72600006,10-Apr-2026,KARMAKAR ENTERPRISE,,,WT-3LC-07,WATER TANK 3 LAYER COLOUR 750 LTR,L.BLUE,,,,,,,1,,1,4762,,,,,,WATER TANK,SANDEEP JI,W-BENGAL,WATER TANKSANDEEP JIW-BENGAL,SANDEEP JI
report,9,72600006,10-Apr-2026,KARMAKAR ENTERPRISE,,,WT-3LC-07,WATER TANK 3 LAYER COLOUR 750 LTR,P.GREEN,,,,,,,3,,3,14286,,,,,,WATER TANK,SANDEEP JI,W-BENGAL,WATER TANKSANDEEP JIW-BENGAL,SANDEEP JI
report,10,72600006,10-Apr-2026,KARMAKAR ENTERPRISE,,,WT-3LL-07,WATER TANK 3 LAYER LIGHT 750 LTR,WHITE,,,,,,,2,,2,9524,,,,,,WATER TANK,SANDEEP JI,W-BENGAL,WATER TANKSANDEEP JIW-BENGAL,SANDEEP JI
report,11,72600007,11-Apr-2026,SAINTHIA PAINTS HOUSE (WB),,,WT-4LC-07,WATER TANK 4 LAYER COLOUR 750 LTR,PINK,,,,,,,4,,4,23548,,,,,,WATER TANK,SANDEEP JI,W-BENGAL,WATER TANKSANDEEP JIW-BENGAL,SANDEEP JI
report,12,72600007,11-Apr-2026,SAINTHIA PAINTS HOUSE (WB),,,WT-4LL-07,WATER TANK 4 LAYER LIGHT 750 LTR,WHITE,,,,,,,6,,6,35322,,,,,,WATER TANK,SANDEEP JI,W-BENGAL,WATER TANKSANDEEP JIW-BENGAL,SANDEEP JI
report,13,72600007,11-Apr-2026,SAINTHIA PAINTS HOUSE (WB),,,WT-3LL-20,WATER TANK 3 LAYER LIGHT 2000 LTR,WHITE,,,,,,,1,,1,12699,,,,,,WATER TANK,SANDEEP JI,W-BENGAL,WATER TANKSANDEEP JIW-BENGAL,SANDEEP JI
report,14,72600007,11-Apr-2026,SAINTHIA PAINTS HOUSE (WB),,,WT-3LL-10,WATER TANK 3 LAYER LIGHT 1000 LTR,WHITE,,,,,,,1,,3,18752,,,,,,WATER TANK,SANDEEP JI,W-BENGAL,WATER TANKSANDEEP JIW-BENGAL,SANDEEP JI
report,15,12600166,16-Apr-2026,PRAYAG POLYMERS LIMITED (DELHI),,,PFV-015,F/V STOPPER BUSH WASHER SET,,,,,,,,100,,100,1920,,,,,,C P,OTHER,OTHER,C POTHEROTHER,OTHER
report,16,12600166,16-Apr-2026,PRAYAG POLYMERS LIMITED (DELHI),,,PFV-016,GLEN WASHER,,,,,,,,50,,50,840,,,,,,C P,OTHER,OTHER,C POTHEROTHER,OTHER
report,17,12600166,16-Apr-2026,PRAYAG POLYMERS LIMITED (DELHI),,,PFV-017,O RING FOR CHAKRI,,,,,,,,50,,50,480,,,,,,C P,OTHER,OTHER,C POTHEROTHER,OTHER
report,18,12600166,16-Apr-2026,PRAYAG POLYMERS LIMITED (DELHI),,,PFV-021,WASHER FOR SPINDLE OF F/V,,,,,,,,100,,100,1440,,,,,,C P,OTHER,OTHER,C POTHEROTHER,OTHER
report,19,72600013,23-Apr-2026,UNIQUE PIPE & SANITATION (BANKUDA),,,WT-3LC-07,WATER TANK 3 LAYER COLOUR 750 LTR,PINK,,,,,,,1,,1,4238,,,,,,WATER TANK,SANDEEP JI,W-BENGAL,WATER TANKSANDEEP JIW-BENGAL,SANDEEP JI
report,20,72600015,23-Apr-2026,SUBHAM ENTERPRISE (W.B),,,GP-346-TB,GARDEN PIPE TRANSPARNT BLUE PLAIN 30 MTRS 20MM,,,,,,,,24,,24,12303,,,,,,GARDEN PIPE,SANDEEP JI,W-BENGAL,GARDEN PIPESANDEEP JIW-BENGAL,SANDEEP JI
report,21,72600015,23-Apr-2026,SUBHAM ENTERPRISE (W.B),,,GP-364-TO,GARDEN PIPE TRANSPARENT ORANGE PLAIN 30 MTRS 25MM,,,,,,,,42,,72,50340,,,,,,GARDEN PIPE,SANDEEP JI,W-BENGAL,GARDEN PIPESANDEEP JIW-BENGAL,SANDEEP JI
report,22,72600015,23-Apr-2026,SUBHAM ENTERPRISE (W.B),,,GP-367-TT,GARDEN PIPE TRANSPARENT PLAIN 30 MTRS 32MM,,,,,,,,50,,60,66083,,,,,,GARDEN PIPE,SANDEEP JI,W-BENGAL,GARDEN PIPESANDEEP JIW-BENGAL,SANDEEP JI
report,23,72600017,23-Apr-2026,LAXMI STORES (BURDWAN),,,GP-367-TG,GARDEN PIPE TRANSPARNT GREEN PLAIN 30 MTRS 32MM,,,,,,,,8,,8,9593,,,,,,GARDEN PIPE,SANDEEP JI,W-BENGAL,GARDEN PIPESANDEEP JIW-BENGAL,SANDEEP JI
report,24,72600017,23-Apr-2026,LAXMI STORES (BURDWAN),,,GP-367-TB,GARDEN PIPE TRANSPARENT BLUE PLAIN 30 MTRS 32MM,,,,,,,,8,,8,9593,,,,,,GARDEN PIPE,SANDEEP JI,W-BENGAL,GARDEN PIPESANDEEP JIW-BENGAL,SANDEEP JI
report,25,72600017,23-Apr-2026,LAXMI STORES (BURDWAN),,,GP-367-TT,GARDEN PIPE TRANSPARENT PLAIN 30 MTRS 32MM,,,,,,,,1,,8,9594,,,,,,GARDEN PIPE,SANDEEP JI,W-BENGAL,GARDEN PIPESANDEEP JIW-BENGAL,SANDEEP JI
report,26,72600018,23-Apr-2026,KARMAKAR ENTERPRISE,,,WT-3LC-03,WATER TANK 3 LAYER COLOUR 300 LTR,L.BLUE,,,,,,,2,,2,3330,,,,,,WATER TANK,SANDEEP JI,W-BENGAL,WATER TANKSANDEEP JIW-BENGAL,SANDEEP JI
report,27,72600018,23-Apr-2026,KARMAKAR ENTERPRISE,,,WT-3LC-03,WATER TANK 3 LAYER COLOUR 300 LTR,P.GREEN,,,,,,,2,,2,3330,,,,,,WATER TANK,SANDEEP JI,W-BENGAL,WATER TANKSANDEEP JIW-BENGAL,SANDEEP JI
report,28,72600020,25-Apr-2026,TAPAN SMRITI HARDWARE,,,WT-3LL-10,WATER TANK 3 LAYER LIGHT 1000 LTR,WHITE,,,,,,,1,,1,5651,,,,,,WATER TANK,SANDEEP JI,W-BENGAL,WATER TANKSANDEEP JIW-BENGAL,SANDEEP JI
report,29,72600020,25-Apr-2026,TAPAN SMRITI HARDWARE,,,WT-3LC-10,WATER TANK 3 LAYER COLOUR 1000 LTR,BLUE,,,,,,,3,,3,16952,,,,,,WATER TANK,SANDEEP JI,W-BENGAL,WATER TANKSANDEEP JIW-BENGAL,SANDEEP JI
report,30,72600020,25-Apr-2026,TAPAN SMRITI HARDWARE,,,WT-3LC-10,WATER TANK 3 LAYER COLOUR 1000 LTR,PINK,,,,,,,5,,5,28253,,,,,,WATER TANK,SANDEEP JI,W-BENGAL,WATER TANKSANDEEP JIW-BENGAL,SANDEEP JI
report,31,72600020,25-Apr-2026,TAPAN SMRITI HARDWARE,,,WT-3LC-07,WATER TANK 3 LAYER COLOUR 750 LTR,P.GREEN,,,,,,,4,,4,16952,,,,,,WATER TANK,SANDEEP JI,W-BENGAL,WATER TANKSANDEEP JIW-BENGAL,SANDEEP JI
report,32,72600020,25-Apr-2026,TAPAN SMRITI HARDWARE,,,WT-3LC-05,WATER TANK 3 LAYER COLOUR 500 LTR,P.GREEN,,,,,,,2,,2,5751,,,,,,WATER TANK,SANDEEP JI,W-BENGAL,WATER TANKSANDEEP JIW-BENGAL,SANDEEP JI
report,33,72600020,25-Apr-2026,TAPAN SMRITI HARDWARE,,,WT-3LC-05,WATER TANK 3 LAYER COLOUR 500 LTR,BLUE,,,,,,,1,,1,2875,,,,,,WATER TANK,SANDEEP JI,W-BENGAL,WATER TANKSANDEEP JIW-BENGAL,SANDEEP JI
report,34,72600020,25-Apr-2026,TAPAN SMRITI HARDWARE,,,WT-4LL-05,WATER TANK 4 LAYER LIGHT 500 LTR,WHITE,,,,,,,3,,5,17625,,,,,,WATER TANK,SANDEEP JI,W-BENGAL,WATER TANKSANDEEP JIW-BENGAL,SANDEEP JI
report,35,72600021,25-Apr-2026,SUBHAM ENTERPRISE (W.B),,,WT-4LC-07,WATER TANK 4 LAYER COLOUR 750 LTR,GREEN,,,,,,,1,,1,5175,,,,,,WATER TANK,SANDEEP JI,W-BENGAL,WATER TANKSANDEEP JIW-BENGAL,SANDEEP JI
report,36,72600021,25-Apr-2026,SUBHAM ENTERPRISE (W.B),,,WT-4LC-07,WATER TANK 4 LAYER COLOUR 750 LTR,L.BLUE,,,,,,,1,,2,10349,,,,,,WATER TANK,SANDEEP JI,W-BENGAL,WATER TANKSANDEEP JIW-BENGAL,SANDEEP JI
report,37,72600021,25-Apr-2026,SUBHAM ENTERPRISE (W.B),,,WT-4LC-10,WATER TANK 4 LAYER COLOUR 1000 LTR,RED,,,,,,,1,,1,6900,,,,,,WATER TANK,SANDEEP JI,W-BENGAL,WATER TANKSANDEEP JIW-BENGAL,SANDEEP JI
report,38,72600021,25-Apr-2026,SUBHAM ENTERPRISE (W.B),,,WT-4LC-10,WATER TANK 4 LAYER COLOUR 1000 LTR,BLUE,,,,,,,1,,1,6900,,,,,,WATER TANK,SANDEEP JI,W-BENGAL,WATER TANKSANDEEP JIW-BENGAL,SANDEEP JI
report,39,72600021,25-Apr-2026,SUBHAM ENTERPRISE (W.B),,,WT-4LL-10,WATER TANK 4 LAYER LIGHT 1000 LTR,WHITE,,,,,,,2,,6,41397,,,,,,WATER TANK,SANDEEP JI,W-BENGAL,WATER TANKSANDEEP JIW-BENGAL,SANDEEP JI
report,40,72600021,25-Apr-2026,SUBHAM ENTERPRISE (W.B),,,WT-4LC-10,WATER TANK 4 LAYER COLOUR 1000 LTR,L.BLUE,,,,,,,1,,3,20699,,,,,,WATER TANK,SANDEEP JI,W-BENGAL,WATER TANKSANDEEP JIW-BENGAL,SANDEEP JI
report,41,72600022,25-Apr-2026,TAPAN SMRITI HARDWARE,,,GP-367-MB,GARDEN PIPE MILKY BLUE PLAIN 30 MTRS 32MM,,,,,,,,20,,20,22025,,,,,,GARDEN PIPE,SANDEEP JI,W-BENGAL,GARDEN PIPESANDEEP JIW-BENGAL,SANDEEP JI
report,42,72600024,27-Apr-2026,TAPAN SMRITI HARDWARE,,,WT-4LL-07,WATER TANK 4 LAYER LIGHT 750 LTR,WHITE,,,,,,,2,,5,25873,,,,,,WATER TANK,SANDEEP JI,W-BENGAL,WATER TANKSANDEEP JIW-BENGAL,SANDEEP JI
report,43,72600026,28-Apr-2026,NATIONAL CASTING & METALS(RANCHI),,,WT-4LL-10,WATER TANK 4 LAYER LIGHT 1000 LTR,WHITE,,,,,,,4,,8,55196,,,,,,WATER TANK,SANDEEP JI,JHARKHAND,WATER TANKSANDEEP JIJHARKHAND,SANDEEP JI
report,44,72600028,28-Apr-2026,KARMAKAR ENTERPRISE,,,WT-3LC-03,WATER TANK 3 LAYER COLOUR 300 LTR,L.BLUE,,,,,,,2,,2,3330,,,,,,WATER TANK,SANDEEP JI,W-BENGAL,WATER TANKSANDEEP JIW-BENGAL,SANDEEP JI
report,45,72600029,28-Apr-2026,BASUKI COMMOTRADE PVT. LTD.( JAMSHEDPUR),,,GP-364-TO,GARDEN PIPE TRANSPARENT ORANGE PLAIN 30 MTRS 25MM,,,,,,,,10,,30,20975,,,,,,GARDEN PIPE,SANDEEP JI,JHARKHAND,GARDEN PIPESANDEEP JIJHARKHAND,SANDEEP JI
report,46,72600029,28-Apr-2026,BASUKI COMMOTRADE PVT. LTD.( JAMSHEDPUR),,,GP-364-TY,GARDEN PIPE TRANSPARENT YELLOW PLAIN 30 MTRS 25MM,,,,,,,,10,,30,20975,,,,,,GARDEN PIPE,SANDEEP JI,JHARKHAND,GARDEN PIPESANDEEP JIJHARKHAND,SANDEEP JI
report,47,72600029,28-Apr-2026,BASUKI COMMOTRADE PVT. LTD.( JAMSHEDPUR),,,GP-364-TP,GARDEN PIPE TRANSPARENT PINK PLAIN 30 MTRS 25MM,,,,,,,,20,,30,20976,,,,,,GARDEN PIPE,SANDEEP JI,JHARKHAND,GARDEN PIPESANDEEP JIJHARKHAND,SANDEEP JI
report,48,72600029,28-Apr-2026,BASUKI COMMOTRADE PVT. LTD.( JAMSHEDPUR),,,GP-364-TB,GARDEN PIPE TRANSPARENT BLUE PLAIN 30 MTRS 25MM,,,,,,,,10,,30,20975,,,,,,GARDEN PIPE,SANDEEP JI,JHARKHAND,GARDEN PIPESANDEEP JIJHARKHAND,SANDEEP JI
report,49,52600021,30-Apr-2026,KHAN ENTERPRISES (J&K),,,407,Crystal Top push Cistern(10 Ltr),WHITE,,,,,,,50,,50,20752,,,,,,CISTERN,NASIR HUSAIN,KASHMIR,CISTERNNASIR HUSAINKASHMIR,NASIR HUSAIN
report,50,72600031,30-Apr-2026,SUBHAM ENTERPRISE (W.B),,,WT-4LC-10,WATER TANK 4 LAYER COLOUR 1000 LTR,ORANGE,,,,,,,2,,2,13799,,,,,,WATER TANK,SANDEEP JI,W-BENGAL,WATER TANKSANDEEP JIW-BENGAL,SANDEEP JI
report,51,72600031,30-Apr-2026,SUBHAM ENTERPRISE (W.B),,,WT-4LC-10,WATER TANK 4 LAYER COLOUR 1000 LTR,BLUE,,,,,,,1,,2,13799,,,,,,WATER TANK,SANDEEP JI,W-BENGAL,WATER TANKSANDEEP JIW-BENGAL,SANDEEP JI
report,52,72600031,30-Apr-2026,SUBHAM ENTERPRISE (W.B),,,WT-4LC-05,WATER TANK 4 LAYER COLOUR 500 LTR,L.BLUE,,,,,,,1,,2,7050,,,,,,WATER TANK,SANDEEP JI,W-BENGAL,WATER TANKSANDEEP JIW-BENGAL,SANDEEP JI
report,53,72600032,30-Apr-2026,SUBHAM ENTERPRISE (W.B),,,WT-4LC-07,WATER TANK 4 LAYER COLOUR 750 LTR,BLUE,,,,,,,2,,2,10349,,,,,,WATER TANK,SANDEEP JI,W-BENGAL,WATER TANKSANDEEP JIW-BENGAL,SANDEEP JI
report,54,72600032,30-Apr-2026,SUBHAM ENTERPRISE (W.B),,,WT-4LC-10,WATER TANK 4 LAYER COLOUR 1000 LTR,BLUE,,,,,,,2,,2,13799,,,,,,WATER TANK,SANDEEP JI,W-BENGAL,WATER TANKSANDEEP JIW-BENGAL,SANDEEP JI
report,55,72600032,30-Apr-2026,SUBHAM ENTERPRISE (W.B),,,WT-4LC-05,WATER TANK 4 LAYER COLOUR 500 LTR,L.BLUE,,,,,,,2,,2,7050,,,,,,WATER TANK,SANDEEP JI,W-BENGAL,WATER TANKSANDEEP JIW-BENGAL,SANDEEP JI
report,56,72600032,30-Apr-2026,SUBHAM ENTERPRISE (W.B),,,WT-4LC-05,WATER TANK 4 LAYER COLOUR 500 LTR,PINK,,,,,,,1,,2,7050,,,,,,WATER TANK,SANDEEP JI,W-BENGAL,WATER TANKSANDEEP JIW-BENGAL,SANDEEP JI
report,57,72600032,30-Apr-2026,SUBHAM ENTERPRISE (W.B),,,WT-4LC-05,WATER TANK 4 LAYER COLOUR 500 LTR,YELLOW,,,,,,,1,,2,7050,,,,,,WATER TANK,SANDEEP JI,W-BENGAL,WATER TANKSANDEEP JIW-BENGAL,SANDEEP JI
report,58,72600035,30-Apr-2026,MAJI TRADING,,,GP-367-TT,GARDEN PIPE TRANSPARENT PLAIN 30 MTRS 32MM,,,,,,,,20,,20,22028,,,,,,GARDEN PIPE,SANDEEP JI,W-BENGAL,GARDEN PIPESANDEEP JIW-BENGAL,SANDEEP JI
report,59,72600035,30-Apr-2026,MAJI TRADING,,,GP-364-TG,GARDEN PIPE TRANSPARENT GREEN PLAIN 30 MTRS 25MM,,,,,,,,60,,60,45901,,,,,,GARDEN PIPE,SANDEEP JI,W-BENGAL,GARDEN PIPESANDEEP JIW-BENGAL,SANDEEP JI
report,60,72600035,30-Apr-2026,MAJI TRADING,,,GP-364-TO,GARDEN PIPE TRANSPARENT ORANGE PLAIN 30 MTRS 25MM,,,,,,,,60,,60,45901,,,,,,GARDEN PIPE,SANDEEP JI,W-BENGAL,GARDEN PIPESANDEEP JIW-BENGAL,SANDEEP JI
report,61,72600035,30-Apr-2026,MAJI TRADING,,,GP-367-MW,GARDEN PIPE MILKY WHITE PLAIN 30 MTRS 32MM,,,,,,,,20,,20,22028,,,,,,GARDEN PIPE,SANDEEP JI,W-BENGAL,GARDEN PIPESANDEEP JIW-BENGAL,SANDEEP JI
report,62,72600035,30-Apr-2026,MAJI TRADING,,,GP-345-TT,GARDEN PIPE TRANSPARENT PLAIN 30 MTRS 15 MM,,,,,,,,110,,120,42514,,,,,,GARDEN PIPE,SANDEEP JI,W-BENGAL,GARDEN PIPESANDEEP JIW-BENGAL,SANDEEP JI
report,63,72600035,30-Apr-2026,MAJI TRADING,,,GP-345-TY,GARDEN PIPE TRANSPART YELLOW PLAIN 30 MTRS 15 MM,,,,,,,,110,,120,42514,,,,,,GARDEN PIPE,SANDEEP JI,W-BENGAL,GARDEN PIPESANDEEP JIW-BENGAL,SANDEEP JI
report,64,72600035,30-Apr-2026,MAJI TRADING,,,GP-346-TT,GARDEN PIPE TRANSPARENT PLAIN 30 MTRS 20MM,,,,,,,,70,,80,41010,,,,,,GARDEN PIPE,SANDEEP JI,W-BENGAL,GARDEN PIPESANDEEP JIW-BENGAL,SANDEEP JI
report,65,72600035,30-Apr-2026,MAJI TRADING,,,GP-346-TY,GARDEN PIPE TRANSPRNT YELLOW PLAIN 30 MTRS 20MM,,,,,,,,70,,80,41010,,,,,,GARDEN PIPE,SANDEEP JI,W-BENGAL,GARDEN PIPESANDEEP JIW-BENGAL,SANDEEP JI
report,66,72600035,30-Apr-2026,MAJI TRADING,,,GP-364-TT,GARDEN PIPE TRANSPARENT PLAIN 30 MTRS 25MM,,,,,,,,50,,60,45901,,,,,,GARDEN PIPE,SANDEEP JI,W-BENGAL,GARDEN PIPESANDEEP JIW-BENGAL,SANDEEP JI
report,67,72600035,30-Apr-2026,MAJI TRADING,,,GP-364-TY,GARDEN PIPE TRANSPARENT YELLOW PLAIN 30 MTRS 25MM,,,,,,,,50,,60,45901,,,,,,GARDEN PIPE,SANDEEP JI,W-BENGAL,GARDEN PIPESANDEEP JIW-BENGAL,SANDEEP JI
report,68,72600035,30-Apr-2026,MAJI TRADING,,,GP-345-TB,GARDEN PIPE TRANSPARNT BLUE PLAIN 30 MTRS 15 MM,,,,,,,,50,,60,21257,,,,,,GARDEN PIPE,SANDEEP JI,W-BENGAL,GARDEN PIPESANDEEP JIW-BENGAL,SANDEEP JI
report,69,72600035,30-Apr-2026,MAJI TRADING,,,GP-345-TO,GARDEN PIPE TRANSPART ORANG PLAIN 30 MTRS 15 MM,,,,,,,,50,,60,21257,,,,,,GARDEN PIPE,SANDEEP JI,W-BENGAL,GARDEN PIPESANDEEP JIW-BENGAL,SANDEEP JI
report,70,72600035,30-Apr-2026,MAJI TRADING,,,GP-346-TG,GARDEN PIPE TRANSPARNT GREEN PLAIN 30 MTRS 20MM,,,,,,,,70,,80,41010,,,,,,GARDEN PIPE,SANDEEP JI,W-BENGAL,GARDEN PIPESANDEEP JIW-BENGAL,SANDEEP JI
report,71,72600035,30-Apr-2026,MAJI TRADING,,,GP-346-TO,GARDEN PIPE TRANSPARNT ORANG PLAIN 30 MTRS 20MM,,,,,,,,70,,80,41010,,,,,,GARDEN PIPE,SANDEEP JI,W-BENGAL,GARDEN PIPESANDEEP JIW-BENGAL,SANDEEP JI
report,72,72600035,30-Apr-2026,MAJI TRADING,,,GP-346-TB,GARDEN PIPE TRANSPARNT BLUE PLAIN 30 MTRS 20MM,,,,,,,,30,,40,20505,,,,,,GARDEN PIPE,SANDEEP JI,W-BENGAL,GARDEN PIPESANDEEP JIW-BENGAL,SANDEEP JI
report,73,72600035,30-Apr-2026,MAJI TRADING,,,GP-364-TB,GARDEN PIPE TRANSPARENT BLUE PLAIN 30 MTRS 25MM,,,,,,,,20,,30,22950,,,,,,GARDEN PIPE,SANDEEP JI,W-BENGAL,GARDEN PIPESANDEEP JIW-BENGAL,SANDEEP JI
report,74,12600408,30-Apr-2026,PRAYAG SALES CORPORATION (BHUBANESHWAR),,,W-201,WASH BASIN 204,,,,,,,,4,,20,23370,,,,,,CP ACCESSORIES,SANDEEP JI,ODISHA,CP ACCESSORIESSANDEEP JIODISHA,SANDEEP JI
report,75,72600036,30-Apr-2026,SUBHAM ENTERPRISE (W.B),,,WT-4LC-07,WATER TANK 4 LAYER COLOUR 750 LTR,L.BLUE,,,,,,,5,,5,25873,,,,,,WATER TANK,SANDEEP JI,W-BENGAL,WATER TANKSANDEEP JIW-BENGAL,SANDEEP JI
report,76,72600036,30-Apr-2026,SUBHAM ENTERPRISE (W.B),,,WT-4LC-10,WATER TANK 4 LAYER COLOUR 1000 LTR,L.BLUE,,,,,,,5,,5,34498,,,,,,WATER TANK,SANDEEP JI,W-BENGAL,WATER TANKSANDEEP JIW-BENGAL,SANDEEP JI
report,77,72600036,30-Apr-2026,SUBHAM ENTERPRISE (W.B),,,WT-4LL-10,WATER TANK 4 LAYER LIGHT 1000 LTR,WHITE,,,,,,,3,,3,20699,,,,,,WATER TANK,SANDEEP JI,W-BENGAL,WATER TANKSANDEEP JIW-BENGAL,SANDEEP JI
report,78,72600036,30-Apr-2026,SUBHAM ENTERPRISE (W.B),,,WT-4LC-10,WATER TANK 4 LAYER COLOUR 1000 LTR,PINK,,,,,,,1,,1,6900,,,,,,WATER TANK,SANDEEP JI,W-BENGAL,WATER TANKSANDEEP JIW-BENGAL,SANDEEP JI
report,79,72600036,30-Apr-2026,SUBHAM ENTERPRISE (W.B),,,WT-4LC-10,WATER TANK 4 LAYER COLOUR 1000 LTR,GREEN,,,,,,,1,,1,6900,,,,,,WATER TANK,SANDEEP JI,W-BENGAL,WATER TANKSANDEEP JIW-BENGAL,SANDEEP JI
report,80,72600036,30-Apr-2026,SUBHAM ENTERPRISE (W.B),,,WT-4LL-07,WATER TANK 4 LAYER LIGHT 750 LTR,WHITE,,,,,,,5,,5,25873,,,,,,WATER TANK,SANDEEP JI,W-BENGAL,WATER TANKSANDEEP JIW-BENGAL,SANDEEP JI
report,81,72600036,30-Apr-2026,SUBHAM ENTERPRISE (W.B),,,WT-4LL-05,WATER TANK 4 LAYER LIGHT 500 LTR,WHITE,,,,,,,1,,1,3525,,,,,,WATER TANK,SANDEEP JI,W-BENGAL,WATER TANKSANDEEP JIW-BENGAL,SANDEEP JI
report,82,72600036,30-Apr-2026,SUBHAM ENTERPRISE (W.B),,,WT-4LC-05,WATER TANK 4 LAYER COLOUR 500 LTR,L.BLUE,,,,,,,2,,2,7050,,,,,,WATER TANK,SANDEEP JI,W-BENGAL,WATER TANKSANDEEP JIW-BENGAL,SANDEEP JI
report,83,72600036,30-Apr-2026,SUBHAM ENTERPRISE (W.B),,,WT-4LC-05,WATER TANK 4 LAYER COLOUR 500 LTR,PINK,,,,,,,1,,1,3525,,,,,,WATER TANK,SANDEEP JI,W-BENGAL,WATER TANKSANDEEP JIW-BENGAL,SANDEEP JI
report,84,72600037,30-Apr-2026,SUBHAM ENTERPRISE (W.B),,,WT-4LC-07,WATER TANK 4 LAYER COLOUR 750 LTR,GREEN,,,,,,,2,,2,10349,,,,,,WATER TANK,SANDEEP JI,W-BENGAL,WATER TANKSANDEEP JIW-BENGAL,SANDEEP JI
report,85,72600037,30-Apr-2026,SUBHAM ENTERPRISE (W.B),,,WT-4LC-07,WATER TANK 4 LAYER COLOUR 750 LTR,L.BLUE,,,,,,,1,,3,15524,,,,,,WATER TANK,SANDEEP JI,W-BENGAL,WATER TANKSANDEEP JIW-BENGAL,SANDEEP JI
report,86,72600037,30-Apr-2026,SUBHAM ENTERPRISE (W.B),,,WT-4LL-10,WATER TANK 4 LAYER LIGHT 1000 LTR,WHITE,,,,,,,3,,3,20699,,,,,,WATER TANK,SANDEEP JI,W-BENGAL,WATER TANKSANDEEP JIW-BENGAL,SANDEEP JI
report,87,72600037,30-Apr-2026,SUBHAM ENTERPRISE (W.B),,,WT-4LC-10,WATER TANK 4 LAYER COLOUR 1000 LTR,GREEN,,,,,,,2,,2,13799,,,,,,WATER TANK,SANDEEP JI,W-BENGAL,WATER TANKSANDEEP JIW-BENGAL,SANDEEP JI
report,88,72600037,30-Apr-2026,SUBHAM ENTERPRISE (W.B),,,WT-4LL-07,WATER TANK 4 LAYER LIGHT 750 LTR,WHITE,,,,,,,3,,3,15524,,,,,,WATER TANK,SANDEEP JI,W-BENGAL,WATER TANKSANDEEP JIW-BENGAL,SANDEEP JI
report,89,72600037,30-Apr-2026,SUBHAM ENTERPRISE (W.B),,,WT-4LL-05,WATER TANK 4 LAYER LIGHT 500 LTR,WHITE,,,,,,,2,,2,7050,,,,,,WATER TANK,SANDEEP JI,W-BENGAL,WATER TANKSANDEEP JIW-BENGAL,SANDEEP JI
report,90,72600037,30-Apr-2026,SUBHAM ENTERPRISE (W.B),,,WT-4LC-05,WATER TANK 4 LAYER COLOUR 500 LTR,L.BLUE,,,,,,,2,,2,7050,,,,,,WATER TANK,SANDEEP JI,W-BENGAL,WATER TANKSANDEEP JIW-BENGAL,SANDEEP JI
report,91,72600037,30-Apr-2026,SUBHAM ENTERPRISE (W.B),,,WT-4LC-05,WATER TANK 4 LAYER COLOUR 500 LTR,GREEN,,,,,,,1,,1,3525,,,,,,WATER TANK,SANDEEP JI,W-BENGAL,WATER TANKSANDEEP JIW-BENGAL,SANDEEP JI
report,92,72600037,30-Apr-2026,SUBHAM ENTERPRISE (W.B),,,WT-4LC-10,WATER TANK 4 LAYER COLOUR 1000 LTR,L.BLUE,,,,,,,1,,3,20699,,,,,,WATER TANK,SANDEEP JI,W-BENGAL,WATER TANKSANDEEP JIW-BENGAL,SANDEEP JI
