id,month,segment,filename,item_count,summary_json,uploaded_at,effective_from
1,2026-08,Plumbing,capacity_feasible_plan_2026-08_(1)_1786018262005.xlsx,430,"[{""type"":""PIPE"",""material"":""AGRI"",""feasibleKg"":79920,""feasiblePcs"":18115,""requestedKg"":80798.5,""shortfallKg"":878.5,""requestedPcs"":18613,""shortfallPcs"":497,""shortfallPct"":""2.7%""},{""type"":""PIPE"",""material"":""CPVC"",""feasibleKg"":105000.2,""feasiblePcs"":124047,""requestedKg"":163733.9,""shortfallKg"":58733.6,""requestedPcs"":180761,""shortfallPcs"":56714,""shortfallPct"":""31.4%""},{""type"":""PIPE"",""material"":""SWR"",""feasibleKg"":273883.8,""feasiblePcs"":82920,""requestedKg"":276103.6,""shortfallKg"":2219.8,""requestedPcs"":83904,""shortfallPcs"":984,""shortfallPct"":""1.2%""},{""type"":""PIPE"",""material"":""UPVC"",""feasibleKg"":172310.3,""feasiblePcs"":99392,""requestedKg"":172462.6,""shortfallKg"":152.2,""requestedPcs"":99422,""shortfallPcs"":29,""shortfallPct"":""0.0%""},{""type"":""FITTING"",""material"":""AGRI"",""feasibleKg"":10292.1,""feasiblePcs"":51953,""requestedKg"":10292.1,""shortfallKg"":0,""requestedPcs"":51953,""shortfallPcs"":0,""shortfallPct"":""0.0%""},{""type"":""FITTING"",""material"":""CPVC"",""feasibleKg"":37516.8,""feasiblePcs"":845049,""requestedKg"":37516.8,""shortfallKg"":0,""requestedPcs"":845049,""shortfallPcs"":0,""shortfallPct"":""0.0%""},{""type"":""FITTING"",""material"":""SWR"",""feasibleKg"":64616.2,""feasiblePcs"":223336,""requestedKg"":69941.2,""shortfallKg"":5325,""requestedPcs"":241523,""shortfallPcs"":18187,""shortfallPct"":""7.5%""},{""type"":""FITTING"",""material"":""UPVC"",""feasibleKg"":56403.1,""feasiblePcs"":826465,""requestedKg"":56930.9,""shortfallKg"":527.8,""requestedPcs"":828423,""shortfallPcs"":1958,""shortfallPct"":""0.2%""}]",2026-08-06T12:18:34.619Z,2026-08-06
2,2026-08,Plumbing,Consolidated_Plan_2026-08_1786197685034.xlsx,433,"[{""type"":""Pipe"",""material"":""AGRI"",""feasibleKg"":80828.2,""feasiblePcs"":16367,""requestedKg"":80828.2,""shortfallKg"":0,""requestedPcs"":16367,""shortfallPcs"":0,""shortfallPct"":""100.0%""},{""type"":""Pipe"",""material"":""CPVC"",""feasibleKg"":164897.6,""feasiblePcs"":160953,""requestedKg"":164897.6,""shortfallKg"":0,""requestedPcs"":160953,""shortfallPcs"":0,""shortfallPct"":""100.0%""},{""type"":""Pipe"",""material"":""SWR"",""feasibleKg"":276103.6,""feasiblePcs"":75647,""requestedKg"":276103.6,""shortfallKg"":0,""requestedPcs"":75647,""shortfallPcs"":0,""shortfallPct"":""100.0%""},{""type"":""Pipe"",""material"":""UPVC"",""feasibleKg"":177270.1,""feasiblePcs"":94061,""requestedKg"":177270.1,""shortfallKg"":0,""requestedPcs"":94061,""shortfallPcs"":0,""shortfallPct"":""100.0%""},{""type"":""Fitting"",""material"":""AGRI"",""feasibleKg"":10376.7,""feasiblePcs"":51692,""requestedKg"":10376.7,""shortfallKg"":0,""requestedPcs"":51692,""shortfallPcs"":0,""shortfallPct"":""100.0%""},{""type"":""Fitting"",""material"":""CPVC"",""feasibleKg"":37927.4,""feasiblePcs"":844110,""requestedKg"":37927.4,""shortfallKg"":0,""requestedPcs"":844110,""shortfallPcs"":0,""shortfallPct"":""100.0%""},{""type"":""Fitting"",""material"":""SWR"",""feasibleKg"":70198,""feasiblePcs"":243724,""requestedKg"":70198,""shortfallKg"":0,""requestedPcs"":243724,""shortfallPcs"":0,""shortfallPct"":""100.0%""},{""type"":""Fitting"",""material"":""UPVC"",""feasibleKg"":56950.8,""feasiblePcs"":821149,""requestedKg"":56950.8,""shortfallKg"":0,""requestedPcs"":821149,""shortfallPcs"":0,""shortfallPct"":""100.0%""}]",2026-08-08T14:04:46.590Z,2026-08-08
