id,run_id,item_code,colour,avg_3mo_sale,stock,pending_current,pending_last_month
175,1,C862,,43.33,1714,0,0
176,1,C863,,80,693,0,0
177,1,C864,,154.67,1087,0,0
178,1,C865,,93.33,1540,0,0
179,1,C876,,3.33,283,0,0
180,1,C886,,0,278,0,0
181,1,C896,,0,83,0,0
182,1,C897,,0,134,0,0
183,1,C920,,8776.67,0,0,8004
184,1,C921,,300,1884,0,0
185,1,C930,,4025,211,0,0
186,1,C932,,5043.33,0,0,1796
187,1,C940,,691.67,144,0,0
188,1,C943,,1050,0,0,28
189,1,PC1,,0,4600,0,0
190,1,PC2,,1066.67,8419,0,0
191,1,PC3,,500,4485,0,0
192,1,PP1,,60666.67,45012,0,0
193,1,PP2,,516.67,2336,0,0
194,1,CH72,,490.67,0,0,256
195,1,CH72F,,1002.67,0,0,856
196,1,CH72QS,,42.67,0,0,32
197,1,CH74,,42.67,0,0,64
198,1,CH74F,,0,79,0,0
199,1,CH74QS,,0,407,0,0
200,1,CH76,,309.33,0,0,448
201,1,CH76F,,10.67,158,0,0
202,1,CH76QS,,32,310,0,0
203,1,CH78,,288,0,0,243
204,1,CH78F,,0,96,0,0
205,1,CH78QS,,53.33,20,0,0
206,1,CH79,,373.33,0,0,576
207,1,CH79F,,0,256,0,0
208,1,CH79QS,,0,184,0,0
209,1,CH80,,32,2,0,0
210,1,CH80F,,76,0,0,100
211,1,CH80QS,,0,62,0,0
212,1,C252,,216.67,26,0,0
213,1,C254,,150,0,0,50
214,1,C262,,63.33,90,0,0
215,1,C263,,40,0,0,80
216,1,C264,,33.33,0,0,58
217,1,C265,,26.67,0,0,8
218,1,C942,,690,499,0,0
219,1,C952,,127.33,201,0,0
220,1,C953,,518.33,84,0,0
221,1,C954,,320,505,0,0
222,1,C962,,23.33,26,0,0
223,1,C963,,56.67,0,0,150
224,1,C964,,40,0,0,92
225,1,C965,,43.33,0,0,60
226,1,C14,,190.67,0,0,157
227,1,C39,,0,40,0,0
228,1,C279N,,0,1,0,0
229,1,CF13,,0,57,0,0
230,1,CF14,,33.33,13,0,0
