id,month,as_of_at,status,factors_json,note,created_at,segment,effective_from,weekly_release_version
22,2026-07,2026-08-05T13:23:31.389Z,draft,"{""Cabinet"":1.2,""Ball Cock"":1.5,""Accessorise"":1.5,""Cocks Premium"":1.2,""Cocks Standard"":1.5,""Cistern & Seat Cover"":1.2,""Faucets & Jetsprays & Shower"":1.5}",suite-NC9,2026-08-05T13:23:31.389Z,PTMT,,0
441,2026-07,2026-08-21T16:52:32.439Z,draft,"{""Cabinet"":1.2,""Ball Cock"":1.5,""Accessorise"":1.5,""Cocks Premium"":1.2,""Cocks Standard"":1.5,""Cistern & Seat Cover"":1.2,""Faucets & Jetsprays & Shower"":1.5}",suite-NC9,2026-08-21T16:52:32.439Z,PTMT,2026-07-01,1
444,2026-07,2026-08-21T17:11:32.081Z,draft,"{""Cabinet"":1.2,""Ball Cock"":1.5,""Accessorise"":1.5,""Cocks Premium"":1.2,""Cocks Standard"":1.5,""Cistern & Seat Cover"":1.2,""Faucets & Jetsprays & Shower"":1.5}",suite-NC9,2026-08-21T17:11:32.081Z,PTMT,2026-07-01,1
23,2026-07,2026-08-07T07:00:34.039Z,draft,"{""Cabinet"":1.2,""Ball Cock"":1.5,""Accessorise"":1.5,""Cocks Premium"":1.2,""Cocks Standard"":1.5,""Cistern & Seat Cover"":1.2,""Faucets & Jetsprays & Shower"":1.5}",suite-NC9,2026-08-07T07:00:34.039Z,PTMT,,0
24,2026-07,2026-08-07T07:06:22.783Z,draft,"{""Cabinet"":1.2,""Ball Cock"":1.5,""Accessorise"":1.5,""Cocks Premium"":1.2,""Cocks Standard"":1.5,""Cistern & Seat Cover"":1.2,""Faucets & Jetsprays & Shower"":1.5}",suite-NC9,2026-08-07T07:06:22.783Z,PTMT,,0
25,2026-07,2026-08-07T07:15:27.325Z,draft,"{""Cabinet"":1.2,""Ball Cock"":1.5,""Accessorise"":1.5,""Cocks Premium"":1.2,""Cocks Standard"":1.5,""Cistern & Seat Cover"":1.2,""Faucets & Jetsprays & Shower"":1.5}",suite-NC9,2026-08-07T07:15:27.325Z,PTMT,,0
26,2026-07,2026-08-07T07:20:29.041Z,draft,"{""Cabinet"":1.2,""Ball Cock"":1.5,""Accessorise"":1.5,""Cocks Premium"":1.2,""Cocks Standard"":1.5,""Cistern & Seat Cover"":1.2,""Faucets & Jetsprays & Shower"":1.5}",suite-NC9,2026-08-07T07:20:29.041Z,PTMT,,0
27,2026-07,2026-08-07T07:26:18.724Z,draft,"{""Cabinet"":1.2,""Ball Cock"":1.5,""Accessorise"":1.5,""Cocks Premium"":1.2,""Cocks Standard"":1.5,""Cistern & Seat Cover"":1.2,""Faucets & Jetsprays & Shower"":1.5}",suite-NC9,2026-08-07T07:26:18.724Z,PTMT,,0
28,2026-07,2026-08-07T07:59:43.778Z,draft,"{""Cabinet"":1.2,""Ball Cock"":1.5,""Accessorise"":1.5,""Cocks Premium"":1.2,""Cocks Standard"":1.5,""Cistern & Seat Cover"":1.2,""Faucets & Jetsprays & Shower"":1.5}",suite-NC9,2026-08-07T07:59:43.778Z,PTMT,,0
29,2026-07,2026-08-07T08:04:28.153Z,draft,"{""Cabinet"":1.2,""Ball Cock"":1.5,""Accessorise"":1.5,""Cocks Premium"":1.2,""Cocks Standard"":1.5,""Cistern & Seat Cover"":1.2,""Faucets & Jetsprays & Shower"":1.5}",suite-NC9,2026-08-07T08:04:28.153Z,PTMT,,0
30,2026-07,2026-08-07T08:10:41.288Z,draft,"{""Cabinet"":1.2,""Ball Cock"":1.5,""Accessorise"":1.5,""Cocks Premium"":1.2,""Cocks Standard"":1.5,""Cistern & Seat Cover"":1.2,""Faucets & Jetsprays & Shower"":1.5}",suite-NC9,2026-08-07T08:10:41.288Z,PTMT,,0
31,2026-07,2026-08-07T08:15:32.956Z,draft,"{""Cabinet"":1.2,""Ball Cock"":1.5,""Accessorise"":1.5,""Cocks Premium"":1.2,""Cocks Standard"":1.5,""Cistern & Seat Cover"":1.2,""Faucets & Jetsprays & Shower"":1.5}",suite-NC9,2026-08-07T08:15:32.956Z,PTMT,,0
