id,run_id,item_code,colour,category,buffer_req,min_production,production_plan,release_week,w1,w2,w3,w4
75,1,C62,,CPVC Fitting,20550.02,16707.33,27492.02,,0,0,0,0
76,1,C63,,CPVC Fitting,22878,18600,30323,,0,0,0,0
77,1,C64,,CPVC Fitting,2138.56,711.67,1111.56,,0,0,0,0
78,1,C65,,CPVC Fitting,1484.2,1092.67,1370.2,,0,0,0,0
79,1,C66,,CPVC Fitting,399.75,0,0,,0,0,0,0
80,1,C67,,CPVC Fitting,0,0,0,,0,0,0,0
81,1,C68,,CPVC Fitting,18.86,0,0,,0,0,0,0
82,1,C69,,CPVC Fitting,0.41,0,0,,0,0,0,0
83,1,C71,,CPVC Fitting,8448.05,6844.33,8424.05,,0,0,0,0
84,1,C72,,CPVC Fitting,2777.75,2258.33,2947.75,,0,0,0,0
85,1,C73,,CPVC Fitting,1929.05,1568.33,3177.05,,0,0,0,0
86,1,C74,,CPVC Fitting,366.95,298.33,594.95,,0,0,0,0
87,1,C75,,CPVC Fitting,223.45,175.67,217.45,,0,0,0,0
88,1,C76,,CPVC Fitting,26.65,0,0,,0,0,0,0
89,1,C82,,CPVC Fitting,250.1,0,0,,0,0,0,0
90,1,C83,,CPVC Fitting,631.4,0,8.4,,0,0,0,0
91,1,C84,,CPVC Fitting,229.6,95.67,138.6,,0,0,0,0
92,1,C85,,CPVC Fitting,166.05,0,27.05,,0,0,0,0
93,1,C86,,CPVC Fitting,24.6,0,0,,0,0,0,0
94,1,C90,,CPVC Fitting,164,0,0,,0,0,0,0
95,1,C91,,CPVC Fitting,215.25,0,0,,0,0,0,0
96,1,C92,,CPVC Fitting,533,0,0,,0,0,0,0
97,1,C93,,CPVC Fitting,3618.25,2941.67,4241.25,,0,0,0,0
98,1,C94,,CPVC Fitting,615,0,0,,0,0,0,0
99,1,C95,,CPVC Fitting,246,0,0,,0,0,0,0
100,1,C96,,CPVC Fitting,75.85,0,0,,0,0,0,0
101,1,C97,,CPVC Fitting,0,0,0,,0,0,0,0
102,1,C98,,CPVC Fitting,0,0,0,,0,0,0,0
103,1,C99,,CPVC Fitting,0,0,0,,0,0,0,0
104,1,C101,,CPVC Fitting,861,0,0,,0,0,0,0
105,1,C102,,CPVC Fitting,1968,0,0,,0,0,0,0
106,1,C103,,CPVC Fitting,4243.5,3450,7329.5,,0,0,0,0
107,1,C104,,CPVC Fitting,1090.6,0,174.6,,0,0,0,0
108,1,C105,,CPVC Fitting,200.9,0,0,,0,0,0,0
109,1,C106,,CPVC Fitting,57.4,0,0,,0,0,0,0
110,1,C107,,CPVC Fitting,0,0,0,,0,0,0,0
111,1,C108,,CPVC Fitting,9.84,0,0,,0,0,0,0
112,1,C109,,CPVC Fitting,0,0,0,,0,0,0,0
113,1,C131,,CPVC Fitting,0,0,0,,0,0,0,0
114,1,C132,,CPVC Fitting,984,0,0,,0,0,0,0
115,1,C221,,CPVC Fitting,0,0,0,,0,0,0,0
116,1,C230L,,CPVC Fitting,0,0,0,,0,0,0,0
117,1,C232,,CPVC Fitting,6264.8,87.33,1258.8,,0,0,0,0
118,1,C242,,CPVC Fitting,416.56,338.67,440.56,,0,0,0,0
119,1,C243,,CPVC Fitting,512.5,75.67,171.5,,0,0,0,0
120,1,C253,,CPVC Fitting,467.4,0,0,,0,0,0,0
121,1,C272N,,CPVC Fitting,943,681.67,858,,0,0,0,0
122,1,C273N,,CPVC Fitting,4223,3433.33,8212,,0,0,0,0
123,1,C274N,,CPVC Fitting,1076.66,875.33,1627.66,,0,0,0,0
124,1,C275N,,CPVC Fitting,545.3,443.33,745.3,,0,0,0,0
125,1,C276N,,CPVC Fitting,186.55,151.67,273.55,,0,0,0,0
126,1,C272,,CPVC Fitting,557.6,243.33,347.6,,0,0,0,0
127,1,C273,,CPVC Fitting,1545.7,1256.67,1602.7,,0,0,0,0
128,1,C274,,CPVC Fitting,116.44,94.67,186.44,,0,0,0,0
129,1,C275,,CPVC Fitting,254.2,206.67,330.2,,0,0,0,0
130,1,C276,,CPVC Fitting,24.6,0,0,,0,0,0,0
131,1,C320,,CPVC Fitting,492,0,0,,0,0,0,0
132,1,C321,,CPVC Fitting,561.7,0,0,,0,0,0,0
133,1,C322,,CPVC Fitting,12310.25,10008.33,17697.25,,0,0,0,0
134,1,C323,,CPVC Fitting,7564.5,6150,8457.5,,0,0,0,0
135,1,C330,,CPVC Fitting,348.5,0,0,,0,0,0,0
136,1,C333,,CPVC Fitting,41,0,0,,0,0,0,0
137,1,C342,,CPVC Fitting,45.1,0,0,,0,0,0,0
138,1,C344,,CPVC Fitting,12.3,0,0,,0,0,0,0
139,1,C502,,CPVC Fitting,6932.69,5636.33,8256.69,,0,0,0,0
140,1,C503,,CPVC Fitting,8655.92,1884.33,3502.92,,0,0,0,0
141,1,C504,,CPVC Fitting,1030.74,838,1322.74,,0,0,0,0
142,1,C505,,CPVC Fitting,410,0,0,,0,0,0,0
143,1,C506,,CPVC Fitting,97.99,0,0,,0,0,0,0
144,1,C521,,CPVC Fitting,38326.8,31160,46235.8,,0,0,0,0
145,1,C523,,CPVC Fitting,12166.75,9891.67,23167.75,,0,0,0,0
146,1,C524,,CPVC Fitting,563.75,0,5.75,,0,0,0,0
147,1,C526,,CPVC Fitting,41,0,0,,0,0,0,0
148,1,C527,,CPVC Fitting,55.35,11,21.35,,0,0,0,0
149,1,C528,,CPVC Fitting,871.25,708.33,1404.25,,0,0,0,0
150,1,C529,,CPVC Fitting,69.7,56.67,151.7,,0,0,0,0
151,1,C532,,CPVC Fitting,3034,0,0,,0,0,0,0
152,1,C601,,CPVC Fitting,0,0,0,,0,0,0,0
153,1,C602,,CPVC Fitting,7023.3,0,0,,0,0,0,0
154,1,C603,,CPVC Fitting,6138.52,0,346.52,,0,0,0,0
155,1,C604,,CPVC Fitting,1168.5,0,0,,0,0,0,0
156,1,C605,,CPVC Fitting,377.2,0,0,,0,0,0,0
157,1,C606,,CPVC Fitting,86.1,0,0,,0,0,0,0
158,1,C607,,CPVC Fitting,0,0,0,,0,0,0,0
159,1,C608,,CPVC Fitting,0,0,0,,0,0,0,0
160,1,C609,,CPVC Fitting,0,0,0,,0,0,0,0
161,1,C702,,CPVC Fitting,3403,2766.67,4212,,0,0,0,0
162,1,C703,,CPVC Fitting,533,0,0,,0,0,0,0
163,1,C703N,,CPVC Fitting,2132,1344.33,1743,,0,0,0,0
164,1,C704,,CPVC Fitting,123,0,0,,0,0,0,0
165,1,C731,,CPVC Fitting,1773.25,1441.67,2010.25,,0,0,0,0
166,1,C732,,CPVC Fitting,2429.25,1975,4336.25,,0,0,0,0
167,1,C832,,CPVC Fitting,8243.46,6702,9439.46,,0,0,0,0
168,1,C841,,CPVC Fitting,123,0,0,,0,0,0,0
169,1,C842,,CPVC Fitting,803.6,384.33,534.6,,0,0,0,0
170,1,C843,,CPVC Fitting,1927,1566.67,3386,,0,0,0,0
171,1,C851,,CPVC Fitting,0,0,0,,0,0,0,0
172,1,C852,,CPVC Fitting,336.2,0,0,,0,0,0,0
173,1,C853,,CPVC Fitting,680.6,553.33,842.6,,0,0,0,0
174,1,C854,,CPVC Fitting,463.3,0,0,,0,0,0,0
175,1,C862,,CPVC Fitting,53.3,0,0,,0,0,0,0
176,1,C863,,CPVC Fitting,98.4,0,0,,0,0,0,0
