id,run_id,item_code,colour,category,avg_3mo_sale,buffer_multiplier,stock_open,produced_to_date,stock_now,pending_at_plan,pending_now,pending_last_month,original_plan,original_week,buffer_req_rev,plan_rev,remaining_to_produce,delta_new_orders,delta_production,delta_net,cover_now,new_week,w1_rev,w2_rev,w3_rev,w4_rev,status,is_new_item,kg_rev,remaining_kg
38,1,PS-18S,,CPVC Pipe,0,1.28,26,0,26,0,0,0,0,,0,0,0,0,0,0,,,0,0,0,0,replenished,0,0,0
39,1,PS-19S,,CPVC Pipe,0,1.28,26,0,26,0,0,0,0,,0,0,0,0,0,0,,,0,0,0,0,replenished,0,0,0
40,1,PS-20S,,CPVC Pipe,0,1.28,13,0,13,0,0,0,0,,0,0,0,0,0,0,,,0,0,0,0,replenished,0,0,0
41,1,C52,,CPVC Fitting,67645,1.23,0,0,0,0,0,40769,142236.5,1,83203.35,123972.35,123972.35,0,0,-18264.15,0,,0,0,0,0,unfulfillable,0,0,0
42,1,PP1,,CPVC Fitting,60667,1.23,45012,0,45012,0,0,0,45988.5,3,74620.41,29608.41,29608.41,0,0,-16380.09,0.74,,0,0,0,0,unfulfillable,0,0,0
43,1,C53,,CPVC Fitting,51039,1.23,0,0,0,0,0,31688,108246.5,1,62777.97,94465.97,94465.97,0,0,-13780.53,0,,0,0,0,0,unfulfillable,0,0,0
44,1,C521,,CPVC Fitting,31160,1.23,0,0,0,0,0,7909,55399,1,38326.8,46235.8,46235.8,0,0,-9163.2,0,,0,0,0,0,unfulfillable,0,0,0
45,1,C62,,CPVC Fitting,16707,1.23,0,0,0,0,0,6942,32002.5,1,20549.61,27491.61,27491.61,0,0,-4510.89,0,,0,0,0,0,unfulfillable,0,0,0
46,1,C42,,CPVC Fitting,16935,1.23,0,0,0,0,0,7518,32920.5,1,20830.05,28348.05,28348.05,0,0,-4572.45,0,,0,0,0,0,unfulfillable,0,0,0
47,1,C43,,CPVC Fitting,22875,1.23,0,0,0,0,0,12920,47232.5,1,28136.25,41056.25,41056.25,0,0,-6176.25,0,,0,0,0,0,unfulfillable,0,0,0
48,1,C63,,CPVC Fitting,18600,1.23,0,0,0,0,0,7445,35345,1,22878,30323,30323,0,0,-5022,0,,0,0,0,0,unfulfillable,0,0,0
49,1,C920,,CPVC Fitting,8777,1.23,0,0,0,0,0,8004,21169.5,1,10795.71,18799.71,18799.71,0,0,-2369.79,0,,0,0,0,0,unfulfillable,0,0,0
50,1,C322,,CPVC Fitting,10008,1.23,0,0,0,0,0,5387,20399,1,12309.84,17696.84,17696.84,0,0,-2702.16,0,,0,0,0,0,unfulfillable,0,0,0
51,1,C71,,CPVC Fitting,6868,1.23,24,0,24,0,0,0,10278,1,8447.64,8423.64,8423.64,0,0,-1854.36,0,,0,0,0,0,unfulfillable,0,0,0
52,1,C523,,CPVC Fitting,9892,1.23,0,0,0,0,0,11001,25839,1,12167.16,23168.16,23168.16,0,0,-2670.84,0,,0,0,0,0,unfulfillable,0,0,0
53,1,C602,,CPVC Fitting,5710,1.23,10368,0,10368,0,0,0,0,,7023.3,0,0,0,0,0,1.82,,0,0,0,0,replenished,0,0,0
54,1,C502,,CPVC Fitting,5636,1.23,0,0,0,0,0,1324,9778,1,6932.28,8256.28,8256.28,0,0,-1521.72,0,,0,0,0,0,unfulfillable,0,0,0
55,1,C932,,CPVC Fitting,5043,1.23,0,0,0,0,0,1796,9360.5,1,6202.89,7998.89,7998.89,0,0,-1361.61,0,,0,0,0,0,unfulfillable,0,0,0
56,1,C832,,CPVC Fitting,6702,1.23,0,0,0,0,0,1196,11249,1,8243.46,9439.46,9439.46,0,0,-1809.54,0,,0,0,0,0,unfulfillable,0,0,0
57,1,C232,,CPVC Fitting,5093,1.23,5006,0,5006,0,0,0,2783.5,4,6264.39,1258.39,1258.39,0,0,-1525.11,0.98,,0,0,0,0,unfulfillable,0,0,0
58,1,C503,,CPVC Fitting,7037,1.23,5153,0,5153,0,0,0,5402.5,3,8655.51,3502.51,3502.51,0,0,-1899.99,0.73,,0,0,0,0,unfulfillable,0,0,0
59,1,C72,,CPVC Fitting,2258,1.23,0,0,0,0,0,170,3557,1,2777.34,2947.34,2947.34,0,0,-609.66,0,,0,0,0,0,unfulfillable,0,0,0
60,1,C603,,CPVC Fitting,4991,1.23,5792,0,5792,0,0,0,1694.5,4,6138.93,346.93,346.93,0,0,-1347.57,1.16,,0,0,0,0,unfulfillable,0,0,0
61,1,C323,,CPVC Fitting,6150,1.23,0,0,0,0,0,893,10118,1,7564.5,8457.5,8457.5,0,0,-1660.5,0,,0,0,0,0,unfulfillable,0,0,0
62,1,PC22,,CPVC Fitting,3173,1.23,8430,0,8430,0,0,0,0,,3902.79,0,0,0,0,0,2.66,,0,0,0,0,replenished,0,0,0
63,1,C702,,CPVC Fitting,2767,1.23,0,0,0,0,0,809,4959.5,1,3403.41,4212.41,4212.41,0,0,-747.09,0,,0,0,0,0,unfulfillable,0,0,0
64,1,C54,,CPVC Fitting,4428,1.23,223,0,223,0,0,0,6419,1,5446.44,5223.44,5223.44,0,0,-1195.56,0.05,,0,0,0,0,unfulfillable,0,0,0
65,1,C33,,CPVC Fitting,3869,1.23,0,0,0,0,0,2532,8335.5,1,4758.87,7290.87,7290.87,0,0,-1044.63,0,,0,0,0,0,unfulfillable,0,0,0
66,1,C103,,CPVC Fitting,3450,1.23,0,0,0,0,0,3086,8261,1,4243.5,7329.5,7329.5,0,0,-931.5,0,,0,0,0,0,unfulfillable,0,0,0
67,1,C44,,CPVC Fitting,3078,1.23,2393,0,2393,0,0,0,2224,3,3785.94,1392.94,1392.94,0,0,-831.06,0.78,,0,0,0,0,unfulfillable,0,0,0
68,1,C12,,CPVC Fitting,3125,1.23,2382,0,2382,0,0,0,2305.5,3,3843.75,1461.75,1461.75,0,0,-843.75,0.76,,0,0,0,0,unfulfillable,0,0,0
69,1,C102,,CPVC Fitting,1600,1.23,4967,0,4967,0,0,0,0,,1968,0,0,0,0,0,3.1,,0,0,0,0,replenished,0,0,0
70,1,C703N,,CPVC Fitting,1733,1.23,389,0,389,0,0,0,2210.5,1,2131.59,1742.59,1742.59,0,0,-467.91,0.22,,0,0,0,0,unfulfillable,0,0,0
71,1,C930,,CPVC Fitting,4025,1.23,211,0,211,0,0,0,5826.5,1,4950.75,4739.75,4739.75,0,0,-1086.75,0.05,,0,0,0,0,unfulfillable,0,0,0
72,1,PC23,,CPVC Fitting,1720,1.23,6250,0,6250,0,0,0,0,,2115.6,0,0,0,0,0,3.63,,0,0,0,0,replenished,0,0,0
73,1,C273N,,CPVC Fitting,3433,1.23,0,0,0,0,0,3989,9138.5,1,4222.59,8211.59,8211.59,0,0,-926.91,0,,0,0,0,0,unfulfillable,0,0,0
74,1,C55,,CPVC Fitting,2117,1.23,506,0,506,0,0,0,2669.5,1,2603.91,2097.91,2097.91,0,0,-571.59,0.24,,0,0,0,0,unfulfillable,0,0,0
75,1,C23L,,CPVC Fitting,2673,1.23,0,0,0,0,0,1580,5589.5,1,3287.79,4867.79,4867.79,0,0,-721.71,0,,0,0,0,0,unfulfillable,0,0,0
76,1,C64,,CPVC Fitting,1739,1.23,1027,0,1027,0,0,0,1581.5,3,2138.97,1111.97,1111.97,0,0,-469.53,0.59,,0,0,0,0,unfulfillable,0,0,0
77,1,C532,,CPVC Fitting,2467,1.23,4601,0,4601,0,0,0,0,,3034.41,0,0,0,0,0,1.87,,0,0,0,0,replenished,0,0,0
78,1,C32,,CPVC Fitting,1900,1.23,0,0,0,0,0,968,3818,1,2337,3305,3305,0,0,-513,0,,0,0,0,0,unfulfillable,0,0,0
79,1,C45,,CPVC Fitting,2134,1.23,0,0,0,0,0,1105,4306,1,2624.82,3729.82,3729.82,0,0,-576.18,0,,0,0,0,0,unfulfillable,0,0,0
