id,category,item_code,colour,segment
563,Cocks Standard,129-I,IVORY,PTMT
564,Cocks Standard,129-I,WHITE,PTMT
565,Cocks Standard,129-K,WHITE,PTMT
566,Cocks Standard,129-L,WHITE,PTMT
567,Cocks Standard,129-LS,WHITE,PTMT
568,Cocks Standard,129-LSB,BLUE,PTMT
569,Cocks Standard,129-N,IVORY,PTMT
570,Cocks Standard,129-N,WHITE,PTMT
571,Cocks Standard,129-O,BURGUNDY,PTMT
572,Cocks Standard,129-O,GREEN,PTMT
573,Cocks Standard,129-O,IVORY,PTMT
574,Cocks Standard,129-O,M GREEN,PTMT
575,Cocks Standard,129-O,PINK,PTMT
576,Cocks Standard,129-O,WHITE,PTMT
577,Cocks Standard,129-P,BURGUNDY,PTMT
578,Cocks Standard,129-P,GREEN,PTMT
579,Cocks Standard,129-P,IVORY,PTMT
580,Cocks Standard,129-P,M GREEN,PTMT
581,Cocks Standard,129-P,PINK,PTMT
582,Cocks Standard,129-P,WHITE,PTMT
583,Cocks Standard,129-Q,BURGUNDY,PTMT
584,Cocks Standard,129-Q,GREEN,PTMT
585,Cocks Standard,129-Q,IVORY,PTMT
586,Cocks Standard,129-Q,M GREEN,PTMT
587,Cocks Standard,129-Q,PINK,PTMT
588,Cocks Standard,129-Q,WHITE,PTMT
589,Cocks Standard,129-R,BURGUNDY,PTMT
590,Cocks Standard,129-R,GREEN,PTMT
591,Cocks Standard,129-R,IVORY,PTMT
592,Cocks Standard,129-R,M GREEN,PTMT
593,Cocks Standard,129-R,PINK,PTMT
594,Cocks Standard,129-R,WHITE,PTMT
595,Cocks Standard,129-S,BURGUNDY,PTMT
596,Cocks Standard,129-S,GREEN,PTMT
597,Cocks Standard,129-S,IVORY,PTMT
598,Cocks Standard,129-S,M GREEN,PTMT
599,Cocks Standard,129-S,PINK,PTMT
600,Cocks Standard,129-S,WHITE,PTMT
601,Cocks Standard,129-U,BURGUNDY,PTMT
602,Cocks Standard,129-U,GREEN,PTMT
603,Cocks Standard,129-U,IVORY,PTMT
604,Cocks Standard,129-U,M GREEN,PTMT
605,Cocks Standard,129-U,PINK,PTMT
606,Cocks Standard,129-U,WHITE,PTMT
607,Cocks Standard,129-V,BURGUNDY,PTMT
608,Cocks Standard,129-V,GREEN,PTMT
609,Cocks Standard,129-V,IVORY,PTMT
610,Cocks Standard,129-V,M GREEN,PTMT
611,Cocks Standard,129-V,PINK,PTMT
612,Cocks Standard,129-V,WHITE,PTMT
613,Cocks Standard,129.0,BURGUNDY,PTMT
614,Cocks Standard,129.0,GREEN,PTMT
615,Cocks Standard,129.0,IVORY,PTMT
616,Cocks Standard,129.0,M GREEN,PTMT
617,Cocks Standard,129.0,PINK,PTMT
618,Cocks Standard,129.0,WHITE,PTMT
619,Cocks Standard,1291.0,BURGUNDY,PTMT
620,Cocks Standard,1291.0,GREEN,PTMT
621,Cocks Standard,1291.0,IVORY,PTMT
622,Cocks Standard,1291.0,M GREEN,PTMT
623,Cocks Standard,1291.0,PINK,PTMT
624,Cocks Standard,1291.0,WHITE,PTMT
625,Cocks Standard,130-A,WHITE,PTMT
626,Cocks Standard,130-AB,.,PTMT
627,Cocks Standard,130-AP,IVORY,PTMT
628,Cocks Standard,130-AP,WHITE,PTMT
629,Cocks Standard,130-AS,IVORY,PTMT
630,Cocks Standard,130-AS,WHITE,PTMT
631,Cocks Standard,130-B,BURGUNDY,PTMT
632,Cocks Standard,130-B,GREEN,PTMT
633,Cocks Standard,130-B,IVORY,PTMT
634,Cocks Standard,130-B,M GREEN,PTMT
635,Cocks Standard,130-B,PINK,PTMT
636,Cocks Standard,130-B,WHITE,PTMT
637,Cocks Standard,130-C,BURGUNDY,PTMT
638,Cocks Standard,130-C,GREEN,PTMT
639,Cocks Standard,130-C,IVORY,PTMT
640,Cocks Standard,130-C,M GREEN,PTMT
641,Cocks Standard,130-C,PINK,PTMT
642,Cocks Standard,130-C,WHITE,PTMT
643,Cocks Standard,130-D,BURGUNDY,PTMT
644,Cocks Standard,130-D,GREEN,PTMT
645,Cocks Standard,130-D,IVORY,PTMT
646,Cocks Standard,130-D,M GREEN,PTMT
647,Cocks Standard,130-D,PINK,PTMT
648,Cocks Standard,130-D,WHITE,PTMT
649,Cocks Standard,130-DB,BLACK,PTMT
650,Cocks Standard,130-E,BURGUNDY,PTMT
651,Cocks Standard,130-E,GREEN,PTMT
652,Cocks Standard,130-E,IVORY,PTMT
653,Cocks Standard,130-E,M GREEN,PTMT
654,Cocks Standard,130-E,PINK,PTMT
655,Cocks Standard,130-E,WHITE,PTMT
656,Cocks Standard,130-EB,IVORY,PTMT
657,Cocks Standard,130-EB,WHITE,PTMT
658,Cocks Standard,130-H,BURGUNDY,PTMT
659,Cocks Standard,130-H,GREEN,PTMT
660,Cocks Standard,130-H,IVORY,PTMT
661,Cocks Standard,130-H,M GREEN,PTMT
662,Cocks Standard,130-H,PINK,PTMT
663,Cocks Standard,130-H,WHITE,PTMT
664,Cocks Standard,130-I,IVORY,PTMT
665,Cocks Standard,130-I,WHITE,PTMT
666,Cocks Standard,130-K,WHITE,PTMT
667,Cocks Standard,130-L,WHITE,PTMT
668,Cocks Standard,130-LS,WHITE,PTMT
669,Cocks Standard,130-LSB,BLUE,PTMT
670,Cocks Standard,130-N,IVORY,PTMT
671,Cocks Standard,130-N,WHITE,PTMT
672,Cocks Standard,130-O,BURGUNDY,PTMT
673,Cocks Standard,130-O,GREEN,PTMT
674,Cocks Standard,130-O,IVORY,PTMT
675,Cocks Standard,130-O,M GREEN,PTMT
676,Cocks Standard,130-O,PINK,PTMT
677,Cocks Standard,130-O,WHITE,PTMT
678,Cocks Standard,130-P,BURGUNDY,PTMT
679,Cocks Standard,130-P,GREEN,PTMT
680,Cocks Standard,130-P,IVORY,PTMT
681,Cocks Standard,130-P,M GREEN,PTMT
682,Cocks Standard,130-P,PINK,PTMT
683,Cocks Standard,130-P,WHITE,PTMT
684,Cocks Standard,130-Q,BURGUNDY,PTMT
685,Cocks Standard,130-Q,GREEN,PTMT
686,Cocks Standard,130-Q,IVORY,PTMT
687,Cocks Standard,130-Q,M GREEN,PTMT
688,Cocks Standard,130-Q,PINK,PTMT
689,Cocks Standard,130-Q,WHITE,PTMT
690,Cocks Standard,130-R,BURGUNDY,PTMT
691,Cocks Standard,130-R,GREEN,PTMT
692,Cocks Standard,130-R,IVORY,PTMT
693,Cocks Standard,130-R,M GREEN,PTMT
694,Cocks Standard,130-R,PINK,PTMT
695,Cocks Standard,130-R,WHITE,PTMT
696,Cocks Standard,130-RN,IVORY,PTMT
697,Cocks Standard,130-RN,WHITE,PTMT
698,Cocks Standard,130-S,BURGUNDY,PTMT
699,Cocks Standard,130-S,GREEN,PTMT
700,Cocks Standard,130-S,IVORY,PTMT
701,Cocks Standard,130-S,M GREEN,PTMT
702,Cocks Standard,130-S,PINK,PTMT
703,Cocks Standard,130-S,WHITE,PTMT
704,Cocks Standard,130-U,BURGUNDY,PTMT
705,Cocks Standard,130-U,GREEN,PTMT
706,Cocks Standard,130-U,IVORY,PTMT
707,Cocks Standard,130-U,M GREEN,PTMT
708,Cocks Standard,130-U,PINK,PTMT
709,Cocks Standard,130-U,WHITE,PTMT
710,Cocks Standard,130-V,BURGUNDY,PTMT
711,Cocks Standard,130-V,GREEN,PTMT
712,Cocks Standard,130-V,IVORY,PTMT
713,Cocks Standard,130-V,M GREEN,PTMT
714,Cocks Standard,130-V,PINK,PTMT
715,Cocks Standard,130-V,WHITE,PTMT
716,Cocks Standard,130.0,BLUE,PTMT
717,Cocks Standard,130.0,BURGUNDY,PTMT
718,Cocks Standard,130.0,GREEN,PTMT
719,Cocks Standard,130.0,IVORY,PTMT
720,Cocks Standard,130.0,M GREEN,PTMT
721,Cocks Standard,130.0,PINK,PTMT
722,Cocks Standard,130.0,WHITE,PTMT
723,Cocks Standard,131-A,IVORY,PTMT
724,Cocks Standard,131-A,WHITE,PTMT
725,Cocks Standard,131-AB,.,PTMT
726,Cocks Standard,131-C,BURGUNDY,PTMT
727,Cocks Standard,131-C,GREEN,PTMT
728,Cocks Standard,131-C,IVORY,PTMT
729,Cocks Standard,131-C,M GREEN,PTMT
730,Cocks Standard,131-C,PINK,PTMT
731,Cocks Standard,131-C,WHITE,PTMT
732,Cocks Standard,131-D,IVORY,PTMT
733,Cocks Standard,131-DB,BLACK,PTMT
734,Cocks Standard,131-DG,.,PTMT
735,Cocks Standard,131-DP,PEACH,PTMT
736,Cocks Standard,131-DR,R BLUE,PTMT
737,Cocks Standard,131-DW,.,PTMT
738,Cocks Standard,131-H,BURGUNDY,PTMT
739,Cocks Standard,131-H,GREEN,PTMT
740,Cocks Standard,131-H,IVORY,PTMT
741,Cocks Standard,131-H,M GREEN,PTMT
742,Cocks Standard,131-H,PINK,PTMT
743,Cocks Standard,131-H,WHITE,PTMT
744,Cocks Standard,131-I,IVORY,PTMT
745,Cocks Standard,131-I,WHITE,PTMT
746,Cocks Standard,131-K,WHITE,PTMT
747,Cocks Standard,131-L,WHITE,PTMT
748,Cocks Standard,131-LS,WHITE,PTMT
749,Cocks Standard,131-LSB,BLUE,PTMT
750,Cocks Standard,131-N,BURGUNDY,PTMT
751,Cocks Standard,131-N,GREEN,PTMT
752,Cocks Standard,131-N,IVORY,PTMT
753,Cocks Standard,131-N,M GREEN,PTMT
754,Cocks Standard,131-N,PINK,PTMT
755,Cocks Standard,131-N,WHITE,PTMT
756,Cocks Standard,131-NP,BURGUNDY,PTMT
757,Cocks Standard,131-NP,GREEN,PTMT
758,Cocks Standard,131-NP,IVORY,PTMT
759,Cocks Standard,131-NP,M GREEN,PTMT
760,Cocks Standard,131-NP,PINK,PTMT
761,Cocks Standard,131-NP,WHITE,PTMT
762,Cocks Standard,131-O,BURGUNDY,PTMT
763,Cocks Standard,131-O,GREEN,PTMT
764,Cocks Standard,131-O,IVORY,PTMT
765,Cocks Standard,131-O,M GREEN,PTMT
766,Cocks Standard,131-O,PINK,PTMT
767,Cocks Standard,131-O,WHITE,PTMT
768,Cocks Standard,131-P,BURGUNDY,PTMT
769,Cocks Standard,131-P,GREEN,PTMT
770,Cocks Standard,131-P,IVORY,PTMT
771,Cocks Standard,131-P,M GREEN,PTMT
772,Cocks Standard,131-P,PINK,PTMT
773,Cocks Standard,131-P,WHITE,PTMT
774,Cocks Standard,131.0,BURGUNDY,PTMT
775,Cocks Standard,131.0,GREEN,PTMT
776,Cocks Standard,131.0,IVORY,PTMT
777,Cocks Standard,131.0,M GREEN,PTMT
778,Cocks Standard,131.0,PINK,PTMT
779,Cocks Standard,131.0,WHITE,PTMT
780,Cocks Standard,1311-C,BURGUNDY,PTMT
781,Cocks Standard,1311-C,GREEN,PTMT
782,Cocks Standard,1311-C,IVORY,PTMT
783,Cocks Standard,1311-C,M GREEN,PTMT
784,Cocks Standard,1311-C,PINK,PTMT
785,Cocks Standard,1311-C,WHITE,PTMT
786,Cocks Standard,1311-H,BURGUNDY,PTMT
787,Cocks Standard,1311-H,GREEN,PTMT
788,Cocks Standard,1311-H,IVORY,PTMT
789,Cocks Standard,1311-H,M GREEN,PTMT
790,Cocks Standard,1311-H,PINK,PTMT
791,Cocks Standard,1311-H,WHITE,PTMT
792,Cocks Standard,1311-K,WHITE,PTMT
793,Cocks Standard,1311-N,BURGUNDY,PTMT
794,Cocks Standard,1311-N,GREEN,PTMT
795,Cocks Standard,1311-N,IVORY,PTMT
796,Cocks Standard,1311-N,M GREEN,PTMT
797,Cocks Standard,1311-N,PINK,PTMT
798,Cocks Standard,1311-N,WHITE,PTMT
799,Cocks Standard,1311.0,BURGUNDY,PTMT
800,Cocks Standard,1311.0,GREEN,PTMT
801,Cocks Standard,1311.0,IVORY,PTMT
802,Cocks Standard,1311.0,M GREEN,PTMT
803,Cocks Standard,1311.0,PINK,PTMT
804,Cocks Standard,1311.0,WHITE,PTMT
805,Cocks Standard,132-A,IVORY,PTMT
806,Cocks Standard,132-A,WHITE,PTMT
807,Cocks Standard,132-AB,.,PTMT
808,Cocks Standard,132-AP,IVORY,PTMT
809,Cocks Standard,132-AP,WHITE,PTMT
810,Cocks Standard,132-AS,IVORY,PTMT
811,Cocks Standard,132-AS,WHITE,PTMT
812,Cocks Standard,132-B,BURGUNDY,PTMT
813,Cocks Standard,132-B,GREEN,PTMT
814,Cocks Standard,132-B,IVORY,PTMT
815,Cocks Standard,132-B,M GREEN,PTMT
816,Cocks Standard,132-B,PINK,PTMT
817,Cocks Standard,132-B,WHITE,PTMT
818,Cocks Standard,132-C,BURGUNDY,PTMT
819,Cocks Standard,132-C,GREEN,PTMT
820,Cocks Standard,132-C,IVORY,PTMT
821,Cocks Standard,132-C,M GREEN,PTMT
822,Cocks Standard,132-C,PINK,PTMT
823,Cocks Standard,132-C,WHITE,PTMT
824,Cocks Standard,132-D,BURGUNDY,PTMT
825,Cocks Standard,132-D,GREEN,PTMT
826,Cocks Standard,132-D,IVORY,PTMT
827,Cocks Standard,132-D,M GREEN,PTMT
828,Cocks Standard,132-D,PINK,PTMT
829,Cocks Standard,132-D,WHITE,PTMT
830,Cocks Standard,132-DB,BLACK,PTMT
831,Cocks Standard,132-E,BURGUNDY,PTMT
832,Cocks Standard,132-E,GREEN,PTMT
833,Cocks Standard,132-E,IVORY,PTMT
834,Cocks Standard,132-E,M GREEN,PTMT
835,Cocks Standard,132-E,PINK,PTMT
836,Cocks Standard,132-E,WHITE,PTMT
837,Cocks Standard,132-EB,WHITE,PTMT
838,Cocks Standard,132-H,BURGUNDY,PTMT
839,Cocks Standard,132-H,IVORY,PTMT
840,Cocks Standard,132-H,PINK,PTMT
841,Cocks Standard,132-H,WHITE,PTMT
842,Cocks Standard,132-I,IVORY,PTMT
843,Cocks Standard,132-I,WHITE,PTMT
844,Cocks Standard,132-K,WHITE,PTMT
845,Cocks Standard,132-L,IVORY,PTMT
846,Cocks Standard,132-L,WHITE,PTMT
847,Cocks Standard,132-LS,WHITE,PTMT
848,Cocks Standard,132-LSB,BLUE,PTMT
849,Cocks Standard,132-LST,.,PTMT
850,Cocks Standard,132-LSTB,BLUE,PTMT
851,Cocks Standard,132-N,IVORY,PTMT
852,Cocks Standard,132-N,WHITE,PTMT
853,Cocks Standard,132-O,BURGUNDY,PTMT
854,Cocks Standard,132-O,GREEN,PTMT
855,Cocks Standard,132-O,IVORY,PTMT
856,Cocks Standard,132-O,M GREEN,PTMT
857,Cocks Standard,132-O,PINK,PTMT
858,Cocks Standard,132-O,WHITE,PTMT
859,Cocks Standard,132-OT,BURGUNDY,PTMT
860,Cocks Standard,132-OT,GREEN,PTMT
861,Cocks Standard,132-OT,IVORY,PTMT
862,Cocks Standard,132-OT,M GREEN,PTMT
863,Cocks Standard,132-OT,PINK,PTMT
864,Cocks Standard,132-OT,WHITE,PTMT
865,Cocks Standard,132-P,BURGUNDY,PTMT
866,Cocks Standard,132-P,GREEN,PTMT
867,Cocks Standard,132-P,IVORY,PTMT
868,Cocks Standard,132-P,M GREEN,PTMT
869,Cocks Standard,132-P,PINK,PTMT
870,Cocks Standard,132-P,WHITE,PTMT
871,Cocks Standard,132-Q,BURGUNDY,PTMT
872,Cocks Standard,132-Q,GREEN,PTMT
873,Cocks Standard,132-Q,IVORY,PTMT
874,Cocks Standard,132-Q,M GREEN,PTMT
875,Cocks Standard,132-Q,PINK,PTMT
876,Cocks Standard,132-Q,WHITE,PTMT
877,Cocks Standard,132-R,BURGUNDY,PTMT
878,Cocks Standard,132-R,GREEN,PTMT
879,Cocks Standard,132-R,IVORY,PTMT
880,Cocks Standard,132-R,M GREEN,PTMT
881,Cocks Standard,132-R,PINK,PTMT
882,Cocks Standard,132-R,WHITE,PTMT
883,Cocks Standard,132-S,BURGUNDY,PTMT
884,Cocks Standard,132-S,GREEN,PTMT
885,Cocks Standard,132-S,IVORY,PTMT
886,Cocks Standard,132-S,M GREEN,PTMT
887,Cocks Standard,132-S,PINK,PTMT
888,Cocks Standard,132-S,WHITE,PTMT
889,Cocks Standard,132-T,BURGUNDY,PTMT
890,Cocks Standard,132-T,GREEN,PTMT
891,Cocks Standard,132-T,IVORY,PTMT
892,Cocks Standard,132-T,M GREEN,PTMT
893,Cocks Standard,132-T,PINK,PTMT
894,Cocks Standard,132-T,WHITE,PTMT
895,Cocks Standard,132-U,BURGUNDY,PTMT
896,Cocks Standard,132-U,GREEN,PTMT
897,Cocks Standard,132-U,IVORY,PTMT
898,Cocks Standard,132-U,M GREEN,PTMT
899,Cocks Standard,132-U,PINK,PTMT
900,Cocks Standard,132-U,WHITE,PTMT
901,Cocks Standard,132-V,BURGUNDY,PTMT
902,Cocks Standard,132-V,GREEN,PTMT
903,Cocks Standard,132-V,IVORY,PTMT
904,Cocks Standard,132-V,M GREEN,PTMT
905,Cocks Standard,132-V,PINK,PTMT
906,Cocks Standard,132-V,WHITE,PTMT
907,Cocks Standard,132.0,BURGUNDY,PTMT
908,Cocks Standard,132.0,GREEN,PTMT
909,Cocks Standard,132.0,IVORY,PTMT
910,Cocks Standard,132.0,M GREEN,PTMT
911,Cocks Standard,132.0,PINK,PTMT
912,Cocks Standard,132.0,WHITE,PTMT
913,Cocks Standard,1321.0,BURGUNDY,PTMT
914,Cocks Standard,1321.0,GREEN,PTMT
915,Cocks Standard,1321.0,IVORY,PTMT
916,Cocks Standard,1321.0,M GREEN,PTMT
917,Cocks Standard,1321.0,PINK,PTMT
918,Cocks Standard,1321.0,WHITE,PTMT
919,Cocks Standard,1322-AP,IVORY,PTMT
920,Cocks Standard,1322-AP,WHITE,PTMT
921,Cocks Standard,1322-AS,IVORY,PTMT
922,Cocks Standard,1322-AS,WHITE,PTMT
923,Cocks Standard,1322-B,BURGUNDY,PTMT
924,Cocks Standard,1322-B,GREEN,PTMT
925,Cocks Standard,1322-B,IVORY,PTMT
926,Cocks Standard,1322-B,M GREEN,PTMT
927,Cocks Standard,1322-B,PINK,PTMT
928,Cocks Standard,1322-B,WHITE,PTMT
929,Cocks Standard,1322-D,IVORY,PTMT
930,Cocks Standard,1322-D,WHITE,PTMT
931,Cocks Standard,1322-DB,BLACK,PTMT
932,Cocks Standard,1322-EB,IVORY,PTMT
933,Cocks Standard,1322-EB,WHITE,PTMT
934,Cocks Standard,1322-HN,IVORY,PTMT
935,Cocks Standard,1322-HN,WHITE,PTMT
936,Cocks Standard,1322-S,BURGUNDY,PTMT
937,Cocks Standard,1322-S,GREEN,PTMT
938,Cocks Standard,1322-S,IVORY,PTMT
939,Cocks Standard,1322-S,M GREEN,PTMT
940,Cocks Standard,1322-S,PINK,PTMT
941,Cocks Standard,1322-S,WHITE,PTMT
942,Cocks Standard,1322-V,BURGUNDY,PTMT
943,Cocks Standard,1322-V,GREEN,PTMT
944,Cocks Standard,1322-V,IVORY,PTMT
945,Cocks Standard,1322-V,M GREEN,PTMT
946,Cocks Standard,1322-V,PINK,PTMT
947,Cocks Standard,1322-V,WHITE,PTMT
948,Cocks Standard,1323.0,BURGUNDY,PTMT
949,Cocks Standard,1323.0,GREEN,PTMT
950,Cocks Standard,1323.0,IVORY,PTMT
951,Cocks Standard,1323.0,M GREEN,PTMT
952,Cocks Standard,1323.0,PINK,PTMT
953,Cocks Standard,1323.0,WHITE,PTMT
954,Cocks Standard,133-A,WHITE,PTMT
955,Cocks Standard,133-AB,.,PTMT
956,Cocks Standard,133-AP,IVORY,PTMT
957,Cocks Standard,133-AP,WHITE,PTMT
958,Cocks Standard,133-AS,IVORY,PTMT
959,Cocks Standard,133-AS,WHITE,PTMT
960,Cocks Standard,133-B,BURGUNDY,PTMT
961,Cocks Standard,133-B,GREEN,PTMT
962,Cocks Standard,133-B,IVORY,PTMT
963,Cocks Standard,133-B,M GREEN,PTMT
964,Cocks Standard,133-B,PINK,PTMT
965,Cocks Standard,133-B,WHITE,PTMT
966,Cocks Standard,133-C,BURGUNDY,PTMT
967,Cocks Standard,133-C,GREEN,PTMT
968,Cocks Standard,133-C,IVORY,PTMT
969,Cocks Standard,133-C,M GREEN,PTMT
970,Cocks Standard,133-C,PINK,PTMT
971,Cocks Standard,133-C,WHITE,PTMT
972,Cocks Standard,133-D,BURGUNDY,PTMT
973,Cocks Standard,133-D,GREEN,PTMT
974,Cocks Standard,133-D,IVORY,PTMT
975,Cocks Standard,133-D,M GREEN,PTMT
976,Cocks Standard,133-D,PINK,PTMT
977,Cocks Standard,133-D,WHITE,PTMT
978,Cocks Standard,133-DB,BLACK,PTMT
979,Cocks Standard,133-E,BURGUNDY,PTMT
980,Cocks Standard,133-E,GREEN,PTMT
981,Cocks Standard,133-E,IVORY,PTMT
982,Cocks Standard,133-E,M GREEN,PTMT
983,Cocks Standard,133-E,PINK,PTMT
984,Cocks Standard,133-E,WHITE,PTMT
985,Cocks Standard,133-EB,WHITE,PTMT
986,Cocks Standard,133-H,BURGUNDY,PTMT
987,Cocks Standard,133-H,GREEN,PTMT
988,Cocks Standard,133-H,IVORY,PTMT
989,Cocks Standard,133-H,M GREEN,PTMT
990,Cocks Standard,133-H,PINK,PTMT
991,Cocks Standard,133-H,WHITE,PTMT
992,Cocks Standard,133-I,IVORY,PTMT
993,Cocks Standard,133-I,WHITE,PTMT
994,Cocks Standard,133-K,WHITE,PTMT
995,Cocks Standard,133-L,WHITE,PTMT
996,Cocks Standard,133-LS,.,PTMT
997,Cocks Standard,133-LSB,BLUE,PTMT
998,Cocks Standard,133-N,IVORY,PTMT
999,Cocks Standard,133-N,WHITE,PTMT
1000,Cocks Standard,133-NEW,BURGUNDY,PTMT
1001,Cocks Standard,133-NEW,GREEN,PTMT
1002,Cocks Standard,133-NEW,IVORY,PTMT
1003,Cocks Standard,133-NEW,M GREEN,PTMT
1004,Cocks Standard,133-NEW,PINK,PTMT
1005,Cocks Standard,133-NEW,WHITE,PTMT
1006,Cocks Standard,133-O,BURGUNDY,PTMT
1007,Cocks Standard,133-O,GREEN,PTMT
1008,Cocks Standard,133-O,IVORY,PTMT
1009,Cocks Standard,133-O,M GREEN,PTMT
1010,Cocks Standard,133-O,PINK,PTMT
1011,Cocks Standard,133-O,WHITE,PTMT
1012,Cocks Standard,133-P,BURGUNDY,PTMT
1013,Cocks Standard,133-P,GREEN,PTMT
1014,Cocks Standard,133-P,IVORY,PTMT
1015,Cocks Standard,133-P,M GREEN,PTMT
1016,Cocks Standard,133-P,PINK,PTMT
1017,Cocks Standard,133-P,WHITE,PTMT
1018,Cocks Standard,133-Q,BURGUNDY,PTMT
1019,Cocks Standard,133-Q,GREEN,PTMT
1020,Cocks Standard,133-Q,IVORY,PTMT
1021,Cocks Standard,133-Q,M GREEN,PTMT
1022,Cocks Standard,133-Q,PINK,PTMT
1023,Cocks Standard,133-Q,WHITE,PTMT
1024,Cocks Standard,133-R,BURGUNDY,PTMT
1025,Cocks Standard,133-R,GREEN,PTMT
1026,Cocks Standard,133-R,IVORY,PTMT
1027,Cocks Standard,133-R,M GREEN,PTMT
1028,Cocks Standard,133-R,PINK,PTMT
1029,Cocks Standard,133-R,WHITE,PTMT
1030,Cocks Standard,133-S,BURGUNDY,PTMT
1031,Cocks Standard,133-S,GREEN,PTMT
1032,Cocks Standard,133-S,IVORY,PTMT
1033,Cocks Standard,133-S,M GREEN,PTMT
1034,Cocks Standard,133-S,PINK,PTMT
1035,Cocks Standard,133-S,WHITE,PTMT
1036,Cocks Standard,133-U,BURGUNDY,PTMT
1037,Cocks Standard,133-U,GREEN,PTMT
1038,Cocks Standard,133-U,IVORY,PTMT
1039,Cocks Standard,133-U,M GREEN,PTMT
1040,Cocks Standard,133-U,PINK,PTMT
1041,Cocks Standard,133-U,WHITE,PTMT
1042,Cocks Standard,133-V,BURGUNDY,PTMT
1043,Cocks Standard,133-V,GREEN,PTMT
1044,Cocks Standard,133-V,IVORY,PTMT
1045,Cocks Standard,133-V,M GREEN,PTMT
1046,Cocks Standard,133-V,PINK,PTMT
1047,Cocks Standard,133-V,WHITE,PTMT
1048,Cocks Standard,1332.0,BURGUNDY,PTMT
1049,Cocks Standard,1332.0,GREEN,PTMT
1050,Cocks Standard,1332.0,IVORY,PTMT
1051,Cocks Standard,1332.0,M GREEN,PTMT
1052,Cocks Standard,1332.0,PINK,PTMT
1053,Cocks Standard,1332.0,WHITE,PTMT
1054,Cocks Standard,134-A,WHITE,PTMT
1055,Cocks Standard,134-AB,.,PTMT
1056,Cocks Standard,134-AP,IVORY,PTMT
1057,Cocks Standard,134-AS,.,PTMT
1058,Cocks Standard,134-B,IVORY,PTMT
1059,Cocks Standard,134-B,WHITE,PTMT
1060,Cocks Standard,134-C,BURGUNDY,PTMT
1061,Cocks Standard,134-C,GREEN,PTMT
1062,Cocks Standard,134-C,IVORY,PTMT
1063,Cocks Standard,134-C,M GREEN,PTMT
1064,Cocks Standard,134-C,PINK,PTMT
1065,Cocks Standard,134-C,WHITE,PTMT
1066,Cocks Standard,134-D,IVORY,PTMT
1067,Cocks Standard,134-D,WHITE,PTMT
1068,Cocks Standard,134-DB,BLACK,PTMT
1069,Cocks Standard,134-EB,.,PTMT
1070,Cocks Standard,134-H,BURGUNDY,PTMT
1071,Cocks Standard,134-H,GREEN,PTMT
1072,Cocks Standard,134-H,IVORY,PTMT
1073,Cocks Standard,134-H,M GREEN,PTMT
1074,Cocks Standard,134-H,PINK,PTMT
1075,Cocks Standard,134-H,WHITE,PTMT
1076,Cocks Standard,134-K,WHITE,PTMT
1077,Cocks Standard,134-LS,.,PTMT
1078,Cocks Standard,134-LSB,BLUE,PTMT
1079,Cocks Standard,134-O,BURGUNDY,PTMT
1080,Cocks Standard,134-O,GREEN,PTMT
1081,Cocks Standard,134-O,IVORY,PTMT
1082,Cocks Standard,134-O,M GREEN,PTMT
1083,Cocks Standard,134-O,PINK,PTMT
1084,Cocks Standard,134-O,WHITE,PTMT
1085,Cocks Standard,134-P,BURGUNDY,PTMT
1086,Cocks Standard,134-P,GREEN,PTMT
1087,Cocks Standard,134-P,IVORY,PTMT
1088,Cocks Standard,134-P,M GREEN,PTMT
1089,Cocks Standard,134-P,PINK,PTMT
1090,Cocks Standard,134-P,WHITE,PTMT
1091,Cocks Standard,134-Q,IVORY,PTMT
1092,Cocks Standard,134-Q,WHITE,PTMT
1093,Cocks Standard,134-R,BURGUNDY,PTMT
1094,Cocks Standard,134-R,GREEN,PTMT
1095,Cocks Standard,134-R,IVORY,PTMT
1096,Cocks Standard,134-R,M GREEN,PTMT
1097,Cocks Standard,134-R,PINK,PTMT
1098,Cocks Standard,134-R,WHITE,PTMT
1099,Cocks Standard,134-U,IVORY,PTMT
1100,Cocks Standard,134-U,WHITE,PTMT
1101,Cocks Standard,134.0,BURGUNDY,PTMT
1102,Cocks Standard,134.0,GREEN,PTMT
1103,Cocks Standard,134.0,IVORY,PTMT
1104,Cocks Standard,134.0,M GREEN,PTMT
1105,Cocks Standard,134.0,PINK,PTMT
1106,Cocks Standard,134.0,WHITE,PTMT
1107,Cocks Standard,1341.0,BURGUNDY,PTMT
1108,Cocks Standard,1341.0,GREEN,PTMT
1109,Cocks Standard,1341.0,IVORY,PTMT
1110,Cocks Standard,1341.0,M GREEN,PTMT
1111,Cocks Standard,1341.0,PINK,PTMT
1112,Cocks Standard,1341.0,WHITE,PTMT
1113,Cocks Standard,135-A,WHITE,PTMT
1114,Cocks Standard,135-AB,.,PTMT
1115,Cocks Standard,135-AP,IVORY,PTMT
1116,Cocks Standard,135-AS,.,PTMT
1117,Cocks Standard,135-B,IVORY,PTMT
1118,Cocks Standard,135-B,WHITE,PTMT
1119,Cocks Standard,135-C,BURGUNDY,PTMT
1120,Cocks Standard,135-C,GREEN,PTMT
1121,Cocks Standard,135-C,IVORY,PTMT
1122,Cocks Standard,135-C,M GREEN,PTMT
1123,Cocks Standard,135-C,PINK,PTMT
