date,plant,machine,run_hours,ideal_hours,output,rejection,unit,period,segment,actual_hours,compound_type,downtime_min,downtime_reason,grain,has_oee,ideal_hours,ideal_hours_sheet,ideal_month_hours,ideal_output,ideal_rate,ideal_source,is_finishing,labour_cost,location,material,mould,output_basis,planned_output,planned_stops_min,power_cost,product,reject_count,reject_denominator,reject_unit,rejection_tracked,runhours_tracked,runner_lumps,secondary_counts,shift,shift_len_min,solar_cost,source_family,source_file,source_row,source_tab,tonnage_band,total_count,source_endpoint,source_requested_period
2025-04-15,PIPE,PIPE Pipe M/C-2,19,22,3322,300,kg,2025-04,Pipe,19,,0,,daily,false,22,0,17.24137931034483,5320,280,derived,false,0,,,,net,0,0,0,,300,0,,true,true,0,{},,0,0,Pipe,10GHWEV7pY_qcpFLmXqKwwDtmidAjL6FG0MOtAwUJ484,,Report-5,,3322,/records,2025-04
2025-04-16,PIPE,PIPE Pipe M/C-2,19,22,3006,295,kg,2025-04,Pipe,19,,0,,daily,false,22,0,17.24137931034483,5320,280,derived,false,0,,,,net,0,0,0,,295,0,,true,true,0,{},,0,0,Pipe,10GHWEV7pY_qcpFLmXqKwwDtmidAjL6FG0MOtAwUJ484,,Report-5,,3006,/records,2025-04
2025-04-17,PIPE,PIPE Pipe M/C-2,15,22,1591,190,kg,2025-04,Pipe,15,,0,,daily,false,22,0,17.24137931034483,4200,280,derived,false,0,,,,net,0,0,0,,190,0,,true,true,0,{},,0,0,Pipe,10GHWEV7pY_qcpFLmXqKwwDtmidAjL6FG0MOtAwUJ484,,Report-5,,1591,/records,2025-04
2025-04-18,PIPE,PIPE Pipe M/C-2,10,22,856,490,kg,2025-04,Pipe,10,,0,,daily,false,22,0,17.24137931034483,2800,280,derived,false,0,,,,net,0,0,0,,490,0,,true,true,0,{},,0,0,Pipe,10GHWEV7pY_qcpFLmXqKwwDtmidAjL6FG0MOtAwUJ484,,Report-5,,856,/records,2025-04
2025-04-19,PIPE,PIPE Pipe M/C-2,21,22,2565,330,kg,2025-04,Pipe,21,,0,,daily,false,22,0,17.24137931034483,5880,280,derived,false,0,,,,net,0,0,0,,330,0,,true,true,0,{},,0,0,Pipe,10GHWEV7pY_qcpFLmXqKwwDtmidAjL6FG0MOtAwUJ484,,Report-5,,2565,/records,2025-04
2025-04-20,PIPE,PIPE Pipe M/C-2,24,22,3225,290,kg,2025-04,Pipe,24,,0,,daily,false,22,0,17.24137931034483,6720,280,derived,false,0,,,,net,0,0,0,,290,0,,true,true,0,{},,0,0,Pipe,10GHWEV7pY_qcpFLmXqKwwDtmidAjL6FG0MOtAwUJ484,,Report-5,,3225,/records,2025-04
2025-04-21,PIPE,PIPE Pipe M/C-2,21,22,2805,370,kg,2025-04,Pipe,21,,0,,daily,false,22,0,17.24137931034483,5880,280,derived,false,0,,,,net,0,0,0,,370,0,,true,true,0,{},,0,0,Pipe,10GHWEV7pY_qcpFLmXqKwwDtmidAjL6FG0MOtAwUJ484,,Report-5,,2805,/records,2025-04
2025-04-22,PIPE,PIPE Pipe M/C-2,16,22,2151,225,kg,2025-04,Pipe,16,,0,,daily,false,22,0,17.24137931034483,4480,280,derived,false,0,,,,net,0,0,0,,225,0,,true,true,0,{},,0,0,Pipe,10GHWEV7pY_qcpFLmXqKwwDtmidAjL6FG0MOtAwUJ484,,Report-5,,2151,/records,2025-04
2025-04-23,PIPE,PIPE Pipe M/C-2,16,22,2573,570,kg,2025-04,Pipe,16,,0,,daily,false,22,0,17.24137931034483,4480,280,derived,false,0,,,,net,0,0,0,,570,0,,true,true,0,{},,0,0,Pipe,10GHWEV7pY_qcpFLmXqKwwDtmidAjL6FG0MOtAwUJ484,,Report-5,,2573,/records,2025-04
2025-04-24,PIPE,PIPE Pipe M/C-2,22,22,3985,240,kg,2025-04,Pipe,22,,0,,daily,false,22,0,17.24137931034483,6160,280,derived,false,0,,,,net,0,0,0,,240,0,,true,true,0,{},,0,0,Pipe,10GHWEV7pY_qcpFLmXqKwwDtmidAjL6FG0MOtAwUJ484,,Report-5,,3985,/records,2025-04
2025-04-25,PIPE,PIPE Pipe M/C-2,12,22,919,330,kg,2025-04,Pipe,12,,0,,daily,false,22,0,17.24137931034483,3360,280,derived,false,0,,,,net,0,0,0,,330,0,,true,true,0,{},,0,0,Pipe,10GHWEV7pY_qcpFLmXqKwwDtmidAjL6FG0MOtAwUJ484,,Report-5,,919,/records,2025-04
2025-04-26,PIPE,PIPE Pipe M/C-2,14,22,1330,230,kg,2025-04,Pipe,14,,0,,daily,false,22,0,17.24137931034483,3920,280,derived,false,0,,,,net,0,0,0,,230,0,,true,true,0,{},,0,0,Pipe,10GHWEV7pY_qcpFLmXqKwwDtmidAjL6FG0MOtAwUJ484,,Report-5,,1330,/records,2025-04
2025-04-28,PIPE,PIPE Pipe M/C-2,15,22,1497,310,kg,2025-04,Pipe,15,,0,,daily,false,22,0,17.24137931034483,4200,280,derived,false,0,,,,net,0,0,0,,310,0,,true,true,0,{},,0,0,Pipe,10GHWEV7pY_qcpFLmXqKwwDtmidAjL6FG0MOtAwUJ484,,Report-5,,1497,/records,2025-04
2025-04-29,PIPE,PIPE Pipe M/C-2,18.5,22,1812,225,kg,2025-04,Pipe,18.5,,0,,daily,false,22,0,17.24137931034483,5180,280,derived,false,0,,,,net,0,0,0,,225,0,,true,true,0,{},,0,0,Pipe,10GHWEV7pY_qcpFLmXqKwwDtmidAjL6FG0MOtAwUJ484,,Report-5,,1812,/records,2025-04
2025-04-30,PIPE,PIPE Pipe M/C-2,21,22,2033,330,kg,2025-04,Pipe,21,,0,,daily,false,22,0,17.24137931034483,5880,280,derived,false,0,,,,net,0,0,0,,330,0,,true,true,0,{},,0,0,Pipe,10GHWEV7pY_qcpFLmXqKwwDtmidAjL6FG0MOtAwUJ484,,Report-5,,2033,/records,2025-04
2025-04-01,PIPE,PIPE Pipe M/C-3,20,22,4415,410,kg,2025-04,Pipe,20,,0,,daily,false,22,0,18.51851851851852,6400,320,derived,false,0,,,,net,0,0,0,,410,0,,true,true,0,{},,0,0,Pipe,10GHWEV7pY_qcpFLmXqKwwDtmidAjL6FG0MOtAwUJ484,,Report-5,,4415,/records,2025-04
2025-04-02,PIPE,PIPE Pipe M/C-3,22,22,4186,340,kg,2025-04,Pipe,22,,0,,daily,false,22,0,18.51851851851852,7040,320,derived,false,0,,,,net,0,0,0,,340,0,,true,true,0,{},,0,0,Pipe,10GHWEV7pY_qcpFLmXqKwwDtmidAjL6FG0MOtAwUJ484,,Report-5,,4186,/records,2025-04
2025-04-03,PIPE,PIPE Pipe M/C-3,4,22,800,640,kg,2025-04,Pipe,4,,0,,daily,false,22,0,18.51851851851852,1280,320,derived,false,0,,,,net,0,0,0,,640,0,,true,true,0,{},,0,0,Pipe,10GHWEV7pY_qcpFLmXqKwwDtmidAjL6FG0MOtAwUJ484,,Report-5,,800,/records,2025-04
2025-04-04,PIPE,PIPE Pipe M/C-3,23,22,4393,240,kg,2025-04,Pipe,23,,0,,daily,false,22,0,18.51851851851852,7360,320,derived,false,0,,,,net,0,0,0,,240,0,,true,true,0,{},,0,0,Pipe,10GHWEV7pY_qcpFLmXqKwwDtmidAjL6FG0MOtAwUJ484,,Report-5,,4393,/records,2025-04
2025-04-05,PIPE,PIPE Pipe M/C-3,23,22,4496,220,kg,2025-04,Pipe,23,,0,,daily,false,22,0,18.51851851851852,7360,320,derived,false,0,,,,net,0,0,0,,220,0,,true,true,0,{},,0,0,Pipe,10GHWEV7pY_qcpFLmXqKwwDtmidAjL6FG0MOtAwUJ484,,Report-5,,4496,/records,2025-04
2025-04-06,PIPE,PIPE Pipe M/C-3,23,22,3990,400,kg,2025-04,Pipe,23,,0,,daily,false,22,0,18.51851851851852,7360,320,derived,false,0,,,,net,0,0,0,,400,0,,true,true,0,{},,0,0,Pipe,10GHWEV7pY_qcpFLmXqKwwDtmidAjL6FG0MOtAwUJ484,,Report-5,,3990,/records,2025-04
2025-04-07,PIPE,PIPE Pipe M/C-3,15,22,2470,560,kg,2025-04,Pipe,15,,0,,daily,false,22,0,18.51851851851852,4800,320,derived,false,0,,,,net,0,0,0,,560,0,,true,true,0,{},,0,0,Pipe,10GHWEV7pY_qcpFLmXqKwwDtmidAjL6FG0MOtAwUJ484,,Report-5,,2470,/records,2025-04
2025-04-08,PIPE,PIPE Pipe M/C-3,23,22,3717,490,kg,2025-04,Pipe,23,,0,,daily,false,22,0,18.51851851851852,7360,320,derived,false,0,,,,net,0,0,0,,490,0,,true,true,0,{},,0,0,Pipe,10GHWEV7pY_qcpFLmXqKwwDtmidAjL6FG0MOtAwUJ484,,Report-5,,3717,/records,2025-04
2025-04-09,PIPE,PIPE Pipe M/C-3,1,22,168,70,kg,2025-04,Pipe,1,,0,,daily,false,22,0,18.51851851851852,320,320,derived,false,0,,,,net,0,0,0,,70,0,,true,true,0,{},,0,0,Pipe,10GHWEV7pY_qcpFLmXqKwwDtmidAjL6FG0MOtAwUJ484,,Report-5,,168,/records,2025-04
2025-04-11,PIPE,PIPE Pipe M/C-3,12,22,676,740,kg,2025-04,Pipe,12,,0,,daily,false,22,0,18.51851851851852,3840,320,derived,false,0,,,,net,0,0,0,,740,0,,true,true,0,{},,0,0,Pipe,10GHWEV7pY_qcpFLmXqKwwDtmidAjL6FG0MOtAwUJ484,,Report-5,,676,/records,2025-04
2025-04-12,PIPE,PIPE Pipe M/C-3,15,22,2569,440,kg,2025-04,Pipe,15,,0,,daily,false,22,0,18.51851851851852,4800,320,derived,false,0,,,,net,0,0,0,,440,0,,true,true,0,{},,0,0,Pipe,10GHWEV7pY_qcpFLmXqKwwDtmidAjL6FG0MOtAwUJ484,,Report-5,,2569,/records,2025-04
2025-04-13,PIPE,PIPE Pipe M/C-3,8,22,837,600,kg,2025-04,Pipe,8,,0,,daily,false,22,0,18.51851851851852,2560,320,derived,false,0,,,,net,0,0,0,,600,0,,true,true,0,{},,0,0,Pipe,10GHWEV7pY_qcpFLmXqKwwDtmidAjL6FG0MOtAwUJ484,,Report-5,,837,/records,2025-04
2025-04-14,PIPE,PIPE Pipe M/C-3,13,22,1760,440,kg,2025-04,Pipe,13,,0,,daily,false,22,0,18.51851851851852,4160,320,derived,false,0,,,,net,0,0,0,,440,0,,true,true,0,{},,0,0,Pipe,10GHWEV7pY_qcpFLmXqKwwDtmidAjL6FG0MOtAwUJ484,,Report-5,,1760,/records,2025-04
2025-04-15,PIPE,PIPE Pipe M/C-3,18,22,1839,380,kg,2025-04,Pipe,18,,0,,daily,false,22,0,18.51851851851852,5760,320,derived,false,0,,,,net,0,0,0,,380,0,,true,true,0,{},,0,0,Pipe,10GHWEV7pY_qcpFLmXqKwwDtmidAjL6FG0MOtAwUJ484,,Report-5,,1839,/records,2025-04
2025-04-16,PIPE,PIPE Pipe M/C-3,22,22,3822,240,kg,2025-04,Pipe,22,,0,,daily,false,22,0,18.51851851851852,7040,320,derived,false,0,,,,net,0,0,0,,240,0,,true,true,0,{},,0,0,Pipe,10GHWEV7pY_qcpFLmXqKwwDtmidAjL6FG0MOtAwUJ484,,Report-5,,3822,/records,2025-04
2025-04-17,PIPE,PIPE Pipe M/C-3,12,22,1420,190,kg,2025-04,Pipe,12,,0,,daily,false,22,0,18.51851851851852,3840,320,derived,false,0,,,,net,0,0,0,,190,0,,true,true,0,{},,0,0,Pipe,10GHWEV7pY_qcpFLmXqKwwDtmidAjL6FG0MOtAwUJ484,,Report-5,,1420,/records,2025-04
2025-04-18,PIPE,PIPE Pipe M/C-3,6,22,945,150,kg,2025-04,Pipe,6,,0,,daily,false,22,0,18.51851851851852,1920,320,derived,false,0,,,,net,0,0,0,,150,0,,true,true,0,{},,0,0,Pipe,10GHWEV7pY_qcpFLmXqKwwDtmidAjL6FG0MOtAwUJ484,,Report-5,,945,/records,2025-04
2025-04-19,PIPE,PIPE Pipe M/C-3,14,22,3420,740,kg,2025-04,Pipe,14,,0,,daily,false,22,0,18.51851851851852,4480,320,derived,false,0,,,,net,0,0,0,,740,0,,true,true,0,{},,0,0,Pipe,10GHWEV7pY_qcpFLmXqKwwDtmidAjL6FG0MOtAwUJ484,,Report-5,,3420,/records,2025-04
2025-04-21,PIPE,PIPE Pipe M/C-3,7,22,795,200,kg,2025-04,Pipe,7,,0,,daily,false,22,0,18.51851851851852,2240,320,derived,false,0,,,,net,0,0,0,,200,0,,true,true,0,{},,0,0,Pipe,10GHWEV7pY_qcpFLmXqKwwDtmidAjL6FG0MOtAwUJ484,,Report-5,,795,/records,2025-04
2025-04-22,PIPE,PIPE Pipe M/C-3,7,22,827,460,kg,2025-04,Pipe,7,,0,,daily,false,22,0,18.51851851851852,2240,320,derived,false,0,,,,net,0,0,0,,460,0,,true,true,0,{},,0,0,Pipe,10GHWEV7pY_qcpFLmXqKwwDtmidAjL6FG0MOtAwUJ484,,Report-5,,827,/records,2025-04
2025-04-23,PIPE,PIPE Pipe M/C-3,8,22,1283,290,kg,2025-04,Pipe,8,,0,,daily,false,22,0,18.51851851851852,2560,320,derived,false,0,,,,net,0,0,0,,290,0,,true,true,0,{},,0,0,Pipe,10GHWEV7pY_qcpFLmXqKwwDtmidAjL6FG0MOtAwUJ484,,Report-5,,1283,/records,2025-04
