source_tab,source_row,Date,Document No.,Location.Name,Customer.Name,GROUP,Old ERP Code,Item.Color,Unit.Name,Quantity,Rate,Taxable Value,Month,STATION,STATE,STATE HEAD,STATE HEAD B,STATE HEAD A,source_col_18,GROUP_2
Combined,2,3-Aug-2026,12602624,BHIWADI,SHABIR & SONS,C P,DP-87,,,40,2277,41897,Aug-26,SRINAGAR,KASHMIR,NASIR HUSAIN,C PNASIR HUSAINKASHMIR,NASIR HUSAIN,NASIR HUSAINSRINAGAR,CP GROUP
Combined,3,3-Aug-2026,12602624,BHIWADI,SHABIR & SONS,PTMT,1821-CR,R BLUE,,15,756,5443,Aug-26,SRINAGAR,KASHMIR,NASIR HUSAIN,PTMTNASIR HUSAINKASHMIR,NASIR HUSAIN,NASIR HUSAINSRINAGAR,PTMT GROUP
Combined,4,3-Aug-2026,12602625,BHIWADI,Priyanka Trading Co (UP),PTMT,124-O,WHITE,,60,292,8410,Aug-26,MIRZAPUR,UP ( R ),RIZVI JI,PTMTRIZVI JIUP ( R ),RIZVI JI,RIZVI JIMIRZAPUR,PTMT GROUP
Combined,5,3-Aug-2026,12602625,BHIWADI,Priyanka Trading Co (UP),PTMT,132-O,WHITE,,13,682,4256,Aug-26,MIRZAPUR,UP ( R ),RIZVI JI,PTMTRIZVI JIUP ( R ),RIZVI JI,RIZVI JIMIRZAPUR,PTMT GROUP
Combined,6,3-Aug-2026,12602626,BHIWADI,WAHID MARKETING (WADI),CISTERN,704,WHITE,,150,1390,76955,Aug-26,WADI,MAHARASTRA R,RIZVI JI,CISTERNRIZVI JIMAHARASTRA R,RIZVI JI,RIZVI JIWADI,PTMT GROUP
Combined,7,3-Aug-2026,12602627,BHIWADI,SEWA BATH SOLUTIONS,SEAT COVER,513,WHITE,,430,732,118254.3,Aug-26,INDORE,MP,RIZVI JI,SEAT COVERRIZVI JIMP,RIZVI JI,RIZVI JIINDORE,PTMT GROUP
Combined,8,3-Aug-2026,12602627,BHIWADI,SEWA BATH SOLUTIONS,CISTERN,701,WHITE,,430,1450,221467.2,Aug-26,INDORE,MP,RIZVI JI,CISTERNRIZVI JIMP,RIZVI JI,RIZVI JIINDORE,PTMT GROUP
Combined,9,3-Aug-2026,12602628,BHIWADI,SEWA BATH SOLUTIONS,SINK,925-D,B/D,,60,4630,125343.6,Aug-26,INDORE,MP,RIZVI JI,SINKRIZVI JIMP,RIZVI JI,RIZVI JIINDORE,SINK GROUP
Combined,10,3-Aug-2026,22600810,KEHRANI-2,C.K. TRADING CO.,WATER TANK,WT-ISI-05,BLACK,Ltr.,2000,11850,12300,Aug-26,Prayagraj,UP ( R ),RIZVI JI,WATER TANKRIZVI JIUP ( R ),RIZVI JI,RIZVI JIPrayagraj,WATER TANK GROUP
Combined,11,3-Aug-2026,32600347,KEHRANI-3,YASH ENTERPRISES (Uttarakhand),WT LID,WT03,,,5,520,1300,Aug-26,Champawat,Uttarakhand,ANANT SINGH,WT LIDANANT SINGHUttarakhand,ANANT SINGH,ANANT SINGHChampawat,PLUMBING GROUP
